section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
HPC103,DEX Imaging Home Plate Club (HPC103-HPC108),Home Plate Club,"Home Plate Club seating is located in four exclusive sections directly behind home plate, positioned at field level just steps from the batter's box.",0,behind home plate,D-J,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section HPC107, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. This section is behind home plate, so seat 1 is on its third-base side.",not published,"""For baseball games, desirable view from behind home plate"" and ""Premium seating area as part of the Home Plate Club for Rays games"". DOME - no shade/sun statement printed and none applies. this section sits ""directly behind home plate, positioned at field level just steps from the batter's box"", i.e. inside the netted arc, and the club states ""Protective netting extends from home plate to the foul poles located in Sections 137 and 138"" with netted sections listed as plain numbers ""101, 102, 103, 104, ..."". The RateYourSeats page prints NO netting line for HPC103 and the club's list does not use the HPC identifier form, so no source read states netting for this identifier. Recorded as unstated, not inferred.","HIGH - zone, rows, location and seat direction stated by the source"
HPC104,DEX Imaging Home Plate Club (HPC103-HPC108),Home Plate Club,"Home Plate Club seating is located in four exclusive sections directly behind home plate, positioned at field level just steps from the batter's box.",0,behind home plate,D-J,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section HPC108. This section is behind home plate, so seat 1 is on its third-base side.",not published,"""For baseball games, desirable view from behind home plate"" and ""Premium seating area as part of the Home Plate Club for Rays games"". Only an no fan reviews. DOME - no shade/sun statement printed and none applies. URL slug ""HPC104"" vs page heading ""Home Plate Club 104""; no printed-ticket statement on the page. The location text is IDENTICAL word for word to HPC103, HPC107 and HPC108 - it is a zone-level sentence covering all four sections, NOT a 104-specific location line, and it does not say which side of home plate 104 sits on. Under the park's parity rule 104 is even = first-base side, but THE PAGE DOES NOT SAY SO.","HIGH - zone, rows, location and seat direction stated by the source"
HPC107,DEX Imaging Home Plate Club (HPC103-HPC108),Home Plate Club,"Home Plate Club seating is located in four exclusive sections directly behind home plate, positioned at field level just steps from the batter's box.",0,behind home plate,D-J,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section HPC103. This section is behind home plate, so seat 1 is on its third-base side.",not published,"""Premium seating area as part of the Home Plate Club for Rays games"". No ""desirable view from behind home plate"" line was printed on this page, unlike HPC103 and HPC104. multiple 5-star reviews are listed for ""Toronto Blue Jays at Tampa Bay Rays - May 24, 2023"" from ""Home Plate Club 107 / Row G"", but no review body text is shown - the star ratings and the row tag are all that is rendered. Row G falls inside the stated D-J range, which corroborates the row list. DOME - no shade/sun statement printed and none applies. URL slug ""HPC107"" vs page heading ""Home Plate Club 107""; no printed-ticket statement. The location sentence is the shared four-section zone line and does not say which side of home plate 107 sits on.","HIGH - zone, rows, location and seat direction stated by the source"
HPC108,DEX Imaging Home Plate Club (HPC103-HPC108),Home Plate Club,"Home Plate Club seating is located in four exclusive sections directly behind home plate, positioned at field level just steps from the batter's box.",0,behind home plate,D-J,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section HPC104, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. This section is behind home plate, so seat 1 is on its third-base side.",not published,"""Premium seating area as part of the Home Plate Club for Rays games"". No ""desirable view from behind home plate"" line printed. DOME - no shade/sun statement printed and none applies. URL slug ""HPC108"" vs page heading ""Home Plate Club 108""; no printed-ticket statement. All four Home Plate Club pages (103, 104, 107, 108) carry the SAME location sentence, the SAME row range D-J, no entrance row and no seats-per-row figure. The four pages are near-identical; only the Seating Notes and the presence of reviews differ.","HIGH - zone, rows, location and seat direction stated by the source"
101,100 Level (101-150),not named by the source,"Rows L-N, positioned behind the Home Plate Club seats"" / ""Home Plate Box seating is located on the Lower Level in the front of sections 101-110"" / ""Lower Level Infield seating at Tropicana Field includes sections 101-126."" / ""Sections 101-108 are located behind home plate with a clearer view",0,behind home plate,"L-Z, AA-JJ",JJ,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row JJ.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. This section is behind home plate, so seat 1 is on its third-base side.",not published,"""Top Pick for Great Views of the Field-Rows EE-JJ"", ""Home Plate View"", ""Rows L-Z, AA-JJ"". ""For baseball games, we recommend rows EE-JJ for great views"" and ""For baseball games, desirable view from behind home plate"". Fan review headed ""Behind Home Plate"". PAGE MIXES section-specific data (rows, entrance) with generic Home Plate Boxes / Lower Level Corner category reviews. INDIRECT SIDE EVIDENCE, FLAGGED AS INFERENCE NOT A STATEMENT: the fan line ""You can't see the first base bag from seat 1"" is consistent with seat 1 sitting on the fan's left (i.e. the third-base side of a section behind home plate, furthest from first base) and therefore with the boilerplate, but the page never says which side seat 1 is on.","MEDIUM - rows confirmed, ticket zone not named by the source"
102,100 Level (101-150),not named by the source,"Rows L-N, positioned behind the Home Plate Club seats"" / ""Sections 101-108 provide a centered, slightly elevated perspective behind home plate",0,behind home plate,"L-Z, AA-JJ",JJ,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row JJ.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 104. This section is behind home plate, so seat 1 is on its third-base side.",not published,"""Top Pick for Great Views of the FieldRows EE-JJ"", ""Home Plate View"", ""Rows L-Z, AA-JJ"". ""For baseball games, we recommend rows EE-JJ for great views"" and ""For baseball games, desirable view from behind home plate"". Fan review ""Great view of game with excellent view of the pitches. Sec 102 / Row U"" and a 5-star review headed ""Great seats at a 'reasonable' price"". Page mixes section-specific rows/entrance with generic Home Plate Box category content.","MEDIUM - rows confirmed, ticket zone not named by the source"
103,100 Level (101-150),not named by the source,"NOT STATED on the page - it prints no sentence placing Section 103 relative to home plate, a base line or the dugouts. (Insights only give ""Home Plate View"".)",1,toward third base / left field,"L-Z, AA-JJ",JJ,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row JJ.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 101. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Great Views of the FieldRows EE-JJ"", ""Home Plate View"", ""Rows L-Z, AA-JJ"". ""For baseball games, we recommend rows EE-JJ for great views of the field"" and ""For baseball games, desirable view from behind home plate"". NETTING/SCREEN from the page Q&A: ""While there are very few flaws with these seats, the biggest one would be that they are behind the screen."" - consistent with the club listing 103 among netted sections. Fan reviews fragments: ""Nice seats! Trop is round so seats a little tight at that location..."", ""Great view of the entire field - Seats were easy to get to..."", ""Chicago Cubs at Tampa Bay Rays - Apr 7, 2026 - Some of the best views."" (a 2026-dated review, i.e. post-reopening).","MEDIUM - rows confirmed, ticket zone not named by the source"
104,100 Level (101-150),not named by the source,NOT STATED on the page - no explicit location sentence for Section 104; the only placement cue is the generic Home Plate Boxes category context.,1,toward first base / right field,"L-Z, AA-JJ",JJ,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row JJ.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Home Plate View"", ""Rows L-Z, AA-JJ"". ""For baseball games, desirable view from behind home plate"". Fan reviews are five-star ratings dated May 28, Aug 13 and Oct 4 2023 citing only ""Sec 104 / Row U"" and ""Sec 104 / Row T"" with no descriptive seat or side detail. Page mixes generic Home Plate Boxes review with section-specific row labels and seat-view images.","MEDIUM - rows confirmed, ticket zone not named by the source"
105,100 Level (101-150),not named by the source,NOT STATED on the page - no sentence explicitly describes where Section 105 sits in the ballpark.,2,toward third base / left field,"L-Z, AA-JJ",JJ,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row JJ.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Great Views of the FieldRows EE-JJ"", ""Home Plate View"", ""Rows L-Z, AA-JJ"". ""For baseball games, we recommend rows EE-JJ for great views of the field"" and ""For baseball games, desirable view from behind home plate"". CONTRADICTION WITHIN THE PAGE, FLAGGED: a fan review is filed as ""Sec 105 / Row PP"" - ""Great view from these seats, worth the price. Sec 105 / Row PP - Baseball"" - but the row label line for 105 lists only ""L-Z, AA-JJ"", which contains no row PP. Either the row list is incomplete (neighbouring 107 does list a PP-XX block) or the review is mis-filed.","MEDIUM - rows confirmed, ticket zone not named by the source"
106,100 Level (101-150),not named by the source,"Rows L-N, positioned behind the Home Plate Club seats"" / ""Sections 101-108 provide a centered, slightly elevated perspective behind home plate"" / ""Sections 101-108 are located behind home plate with a clearer view",2,toward first base / right field,"L-Z, AA-JJ",JJ,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row JJ.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Home Plate View"", ""Rows L-Z, AA-JJ"". ""For baseball games, desirable view from behind home plate"". Page is partly generic - the Home Plate Box category text it carries applies to sections 101-108 collectively, not to 106 alone.","MEDIUM - rows confirmed, ticket zone not named by the source"
