section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
105,Lower Level (105-160),Lower Level Outfield,"""Lower Level Outfield seating is located just behind the outfield walls in right, left, and left-center field."" and ""Section 105 is a good option for Rockies fans as it is located directly beside the home team bullpen."" (RYS Expert Review, Lower Level Outfield, on the Section 105 page)",21,toward first base / right field,"2-14, C-W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered""; ""Rows 2-14, C-W""; ""Behind/Side Stage (most shows)"". ""Rows 11 and above are under cover"". Fan Feedback : ""The Rockies Bullpen is to the Right of Section 105 - Sit on the right side of Section 105 (closer to seat 1) to be near the Rockies bullpen."" Some seats in the last two rows (13 and 14) as well as the handicap seating at the very top of the section will have more shade due to the overhanging roof above, however most seating rows in Section 105 will have little protection from the sun during a July day game."" Concert view limit : ""105 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance."" consistent with the discovery orientation fact that right field and the first-base side are the sunny side at Coors Field.""","HIGH - zone, rows, location and seat direction stated by the source"
106,Lower Level (105-160),Lower Level Outfield,"""Lower Level Outfield seating is located just behind the outfield walls in right, left, and left-center field."" (RYS Expert Review, Lower Level Outfield, on the Section 106 page). The page states no separate location sentence naming Section 106 specifically.",20,toward first base / right field,"2-14, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered""; ""Rows 2-14, W"". ""Rows 11 and above are under cover"". ""While most of the seats are exposed to a good amount of sun for most day games, they are also the best place to sit at Coors Field to catch a home run ball."" outside the official Rockies netting run ""Netting runs from the front of Sections 112-147.""","HIGH - zone, rows, location and seat direction stated by the source"
107,Lower Level (105-160),Lower Level Outfield,"""Lower Level Outfield seating is located just behind the outfield walls in right, left, and left-center field."" (RYS Expert Review, Lower Level Outfield, on the Section 107 page). The page states no separate location sentence naming Section 107 specifically.",19,toward first base / right field,"2-14, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered""; ""Rows 2-14, W"". ""Rows 11 and above are under cover"". Fan Reviews : 5 stars, ""Milwaukee Brewers at Colorado Rockies - Sep 29, 2019 - The seat were great. Very enjoyable being that close to the game."" (Sec 107 / Row 3, Baseball); a second 5-star review for Sec 107 / Row 9 carries no text. ""While most of the seats are exposed to a good amount of sun for most day games, they are also the best place to sit at Coors Field to catch a home run ball."" outside the official Rockies netting run ""Netting runs from the front of Sections 112-147.""","HIGH - zone, rows, location and seat direction stated by the source"
108,Lower Level (105-160),Lower Level Outfield,"""Lower Level Outfield seating is located just behind the outfield walls in right, left, and left-center field."" (RYS Expert Review, Lower Level Outfield, on the Section 108 page). The page states no separate location sentence naming Section 108 specifically.",18,toward first base / right field,"2-14, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered""; ""Rows 2-14, W"". ""Rows 11 and above are under cover"". Fan Reviews : 5 stars, ""Atlanta Braves at Colorado Rockies - May 3, 2026 - Seat was perfect. It's under the awning so if it started to rain, we would be covered when we were shaded the entire game. Definitely our new favorite place to sit."" (Sec 108 / Row 13, Baseball). Two further 5-star reviews for Sec 108 / Row 13 (Jun 23, 2024) carry no text. That Row 13 shade/cover report is consistent with the page's own ""Rows 11 and above are under cover"". outside the official Rockies netting run ""Netting runs from the front of Sections 112-147.""","HIGH - zone, rows, location and seat direction stated by the source"
109,Lower Level (105-160),Lower Level Outfield,"""Lower Level Outfield seating is located just behind the outfield walls in right, left, and left-center field."" (RYS Expert Review, Lower Level Outfield, on the Section 109 page). The page states no separate location sentence naming Section 109 specifically.",17,toward first base / right field,"1-14, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered""; ""Rows 1-14, W"". ""Rows 11 and above are under cover"". outside the official Rockies netting run ""Netting runs from the front of Sections 112-147.""","HIGH - zone, rows, location and seat direction stated by the source"
110,Lower Level (105-160),Box Level Down the Line,"""Still located on the lowest tier of the field but further down the line, these Box Level seats are the best place to be on the Coors Field seating chart for catching a foul ball."" (RYS Expert Review, Box Level Down the Line, on the Section 110 page). The page states no separate location sentence naming Section 110 specifically.",16,toward first base / right field,"20-38, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 20-38, W"" - the only insight listed; no covered-rows insight and no Seating Notes block on this page. ""The sections have a large number of rows (with as many as 38 numbered seating rows), which makes for a long walk up to the concourse for fans in the closest rows."" Photos are captioned Row 32 and Row 25. outside the official Rockies netting run ""Netting runs from the front of Sections 112-147."" 105-109 carry the Lower Level Outfield review, 110 onward carry Box Level Down the Line.","HIGH - zone, rows, location and seat direction stated by the source"
111,Lower Level (105-160),Box Level Down the Line,"""Still located on the lowest tier of the field but further down the line, these Box Level seats are the best place to be on the Coors Field seating chart for catching a foul ball."" (RYS Expert Review, Box Level Down the Line, on the Section 111 page). The page states no separate location sentence naming Section 111 specifically.",15,toward first base / right field,"12-38, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 110, with seat numbers counting up toward the edge facing section 112. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 12-38, W"" - the only insight listed; no covered-rows insight and no Seating Notes block on this page. Photos are captioned Row 34 and Row 25. outside the official Rockies netting run ""Netting runs from the front of Sections 112-147."" the official Rockies Access Guide lists ""Gate B - Section 111, one (1) elevator"".","HIGH - zone, rows, location and seat direction stated by the source"
112,Lower Level (105-160),Box Level Down the Line,"""Sit in section 112 (near the right field corner) to be closest to the Blue Moon Brewing Company at the Sandlot, which features a comfortable patio, excellent food and beverage options, and microbrews."" and ""Still located on the lowest tier of the field but further down the line, these Box Level seats are the best place to be on the Coors Field seating chart for catching a foul ball."" (RYS Expert Review, Box Level Down the Line, on the Section 112 page)",14,toward first base / right field,"3-38, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 111, with seat numbers counting up toward the edge facing section 113. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Great Views of the FieldRows 30-38""; ""Rows 3-38, W"". ""For baseball games, we recommend rows 30-38 for great views of the field"". Fan Feedback : ""If it is a late afternoon game, bring your sunglasses. - Fortunately just behind this section of the park there is a large area, in the shade, where relief can be found and you can still watch the game."" That sun report is consistent with the discovery orientation fact that the first-base side and right field are the sunny side at Coors Field. this is the FIRST section of the official Rockies netting run - ""Netting runs from the front of Sections 112-147."" (https://www.mlb.com/rockies/ballpark/netting). The RateYourSeats fan-feedback netting note carried on other Coors pages gives a narrower range, ""Front of sections 122-139 are behind the netting - There is some amount of netting or screening in front of sections 122-139""; that RYS note is NOT present on the Section 112 page.","HIGH - zone, rows, location and seat direction stated by the source"
113,Lower Level (105-160),Box Level Down the Line,"""Still located on the lowest tier of the field but further down the line, these Box Level seats are the best place to be on the Coors Field seating chart for catching a foul ball."" (RYS Expert Review, Box Level Down the Line, on the Section 113 page). The page states no separate location sentence naming Section 113 specifically.",13,toward first base / right field,"21-38, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 112, with seat numbers counting up toward the edge facing section 114. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Great Views of the FieldRows 30-38""; ""Rows 21-38, W"". ""For baseball games, we recommend rows 30-38 for great views of the field"". inside the official Rockies netting run ""Netting runs from the front of Sections 112-147.""; the narrower RateYourSeats fan-feedback range ""in front of sections 122-139"" does not include 113 and that note is not carried on this page.","HIGH - zone, rows, location and seat direction stated by the source"
114,Lower Level (105-160),Box Level Down the Line,"""Still located on the lowest tier of the field but further down the line, these Box Level seats are the best place to be on the Coors Field seating chart for catching a foul ball."" (RYS Expert Review, Box Level Down the Line, on the Section 114 page). The page states no separate location sentence naming Section 114 specifically.",12,toward first base / right field,"22-38, W",W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 113, with seat numbers counting up toward the edge facing section 115. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 22-38, W"" - the only insight listed; no covered-rows insight and no Seating Notes block on this page. inside the official Rockies netting run ""Netting runs from the front of Sections 112-147.""; the narrower RateYourSeats fan-feedback range ""in front of sections 122-139"" does not include 114 and that note is not carried on this page. the official Rockies Access Guide lists an ATM ""Inside Gate B - By the Sandlot Brewery, near section 114"".","HIGH - zone, rows, location and seat direction stated by the source"
