section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Field Level (100s),Field Level Outfield,"Right field (right-center). RYS Field Level Outfield ""Section 101 in right center is a great option for home team fans as the Phillies bullpen is located just below."" ""The Phillies Bullpen is to the Right of Section 101.""",18,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 7.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,the majority of Field Level Outfield sections are exposed to the sun most of the day; the last four rows of sections 102-107 (right field) and 142-145 (left field) get relief from the overhanging club level outfield seating above -- 101 itself is not included in that shaded group by the review text. Seats on the left field side (not 101) have a near-impossible view of the videoboard.,"HIGH - zone, rows, location and seat direction stated by the source"
102,Field Level (100s),Field Level Outfield,Right field. Page states rows 11 & above are covered; part of the 102-107 right-field Field Level Outfield group per the shared expert review.,17,toward first base / right field,1-20,20,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 20.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered."" ""Rows 11 and above are under cover."" last four rows of sections 102-107 in right field get relief from sun thanks to the overhanging club level outfield seating above.","HIGH - zone, rows, location and seat direction stated by the source"
103,Field Level (100s),Field Level Outfield,Right field. Same Field Level Outfield zone/review as 101-107.,16,toward first base / right field,1-20,20,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 20.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered."" ""Rows 11 and above are under cover."" Shared Field Level Outfield review text (last four rows of 102-107 shaded by overhanging club level).","HIGH - zone, rows, location and seat direction stated by the source"
104,Field Level (100s),Field Level Outfield,Right field. Same Field Level Outfield zone/review as 101-107.,15,toward first base / right field,1-16,16,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 16.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered."" ""Rows 11 and above are under cover."" Row range (1-16) is shorter than 102/103/106 (1-20) though same zone and same 'rows 11+ covered' rule.","HIGH - zone, rows, location and seat direction stated by the source"
105,Field Level (100s),Field Level Outfield,Right field. Same Field Level Outfield zone/review as 101-107.,14,toward first base / right field,1-16,16,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 16.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 11 & Above - Covered."" ""Rows 11 and above are under cover.""","HIGH - zone, rows, location and seat direction stated by the source"
106,Field Level (100s),Field Level Outfield,Right field. Same Field Level Outfield zone/review as 101-107.,13,toward first base / right field,1-20,20,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 20.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","22 seats in each of Rows 12-16 (per RYS Seating & Ticket Q&A, verified Feb 2026): ""There are 22 seats in each Row 12-16 in Section 106 in Citizens Bank Park in Philadelphia. Seat 1 is on your right as you look toward the field, while seat 22 is on your left.""","""Rows 11 & Above - Covered."" ""Rows 11 and above are under cover.""","HIGH - zone, rows, location and seat direction stated by the source"
107,Field Level (100s),Field Level Outfield,Right field. Same Field Level Outfield zone/review as 101-107.,12,toward first base / right field,4-20,20,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 20.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Row range stated as 4-20 (does not start at Row 1, unlike neighboring 102/103/104/105/106 which start at Row 1) -- recorded not tidied. ""Rows 14 & Above - Covered"" (different cutoff than the ""Rows 11 & Above"" rule used on 102-106). ""Rows 14 and above are under cover.""","HIGH - zone, rows, location and seat direction stated by the source"
108,Field Level (100s),Field Level Down the Line,"Down the first/third base line, Field Level. ""Located in prime foul ball territory ... Seats on the third base side will see the sun first, while the first base side will be located right by the family friendly Phanatic Phun Zone."" Page does not state which specific side (1B/3B) Section 108 itself is on.",11,toward first base / right field,11-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 37 & Above - Covered."" ""Rows 37 and above are under cover."" Fan review (Row 36): ""Besides the person that is blocking the view between 1st and 2nd they are pretty good seats"" -- fan-reported sightline obstruction, not an official note.","HIGH - zone, rows, location and seat direction stated by the source"
109,Field Level (100s),Field Level Down the Line,"Down the line, Field Level (same zone/review as 108). ""Sections 108-110 will get more sun than most any other section at the ballpark, as well as sections 207-209.""",10,toward first base / right field,"1-37, 37WC",37WC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 37WC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Wheelchair seating is available behind Row 37."" ""Rows 36 and above are under cover.""","HIGH - zone, rows, location and seat direction stated by the source"
110,Field Level (100s),Field Level Down the Line,"Down the line, Field Level (same zone/review as 108-109).",9,toward first base / right field,1-40,38,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 38.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 37 & Above - Covered."" ""Rows 37 and above are under cover."" ""Great/expensive seats but blocked view"" -- view blocked by event staff during a concert (not a baseball-specific or structural obstruction).","HIGH - zone, rows, location and seat direction stated by the source"
111,Field Level (100s),Field Level Down the Line,"Down the line, Field Level (same zone/review as 108-110).",8,toward first base / right field,"1-37, 37WC",37WC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 37WC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 110, with seat numbers counting up toward the edge facing section 112. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience -- Rows 34-40""; ""Rows 36 & Above - Covered."" ""Wheelchair seating is available behind Row 37."" In Section 111, lower number seats (like Seat 1), have a better chance of being covered.""""","HIGH - zone, rows, location and seat direction stated by the source"
112,Field Level (100s),Field Level Down the Line,"Down the line, Field Level (same zone/review as 108-111).",7,toward first base / right field,"1-37, 37WC",37WC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 37WC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 111, with seat numbers counting up toward the edge facing section 113. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience -- Rows 34-40."" ""Wheelchair seating is available behind Row 37."" Fan review (Row 28): great view of video board.","HIGH - zone, rows, location and seat direction stated by the source"
113,Field Level (100s),Field Level Down the Line,"Down the line, Field Level (same zone/review as 108-112).",6,toward first base / right field,1-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 112, with seat numbers counting up toward the edge facing section 114. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,,"HIGH - zone, rows, location and seat direction stated by the source"
114,Field Level (100s),Field Level Down the Line,"Down the line, Field Level (same zone/review as 108-113).",5,toward first base / right field,1-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 113, with seat numbers counting up toward the edge facing section 115. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,,"HIGH - zone, rows, location and seat direction stated by the source"
115,Field Level (100s),Field Level Infield,"First base side, directly behind the Phillies (home) dugout. RYS Field Level Infield ""Fans can sit directly behind the Phillies bench in sections 115-118 on the first base side.""",4,toward first base / right field,1-40,38,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 38.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 114, with seat numbers counting up toward the edge facing section 116. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Great Views of the Field -- Rows 25-40""; ""Rows 36 & Above - Covered."" ""Row 1 is the first row behind the Phillies dugout in Section 115."" ""Front of sections 115-132 are behind the netting -- There is some amount of netting or screening in front of sections 115-132. The height and coverage of netting or screening will vary by section.""","HIGH - zone, rows, location and seat direction stated by the source"
