section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
100,Lower Level (100s),Outfield Reserved,Outfield Reserved seating includes sections 157-159 in left field and sections 100-105 in right field.,28,toward first base / right field,1-25,25,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 25.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 101. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","Varies by row, decreasing toward the back: Row 1: 7 seats; Row 2: 10; Row 3: 11; Rows 4-5: 12; Row 6: 11; Rows 7-9: 10; Row 10: 9; Rows 11-13: 8; Row 14: 7; Rows 15-16: 6; Rows 17-19: 5; Row 20: 4; Rows 21-22: 3; Rows 23-24: 2; Row 25: 1 seat","""Good view of field overall, but the sun could be a problem""; ""at times the sun can be in your eyes, and can be annoying even with sunglasses"". Obstructed view, netting, dugout adjacency","HIGH - zone, rows, location and seat direction stated by the source"
101,Lower Level (100s),Outfield Reserved,Outfield Reserved seating includes sections 157-159 in left field and sections 100-105 in right field.,27,toward first base / right field,"1-28, WCH",28,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 28.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 100, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 1: 16 seats; Rows 2-5: 17; Rows 6-9: 18; Rows 10-13: 19; Rows 14-17: 20; Rows 18-21: 21; Rows 22-25: 22; Rows 26-28: 23; Row WCH: 12 seats,"Wheelchair accessible Row WCH (12 seats). ""Outfield Reserved sections feature traditional stadium-style chairback seats"". Page notes proximity to the visitor bullpen and sun exposure for outfield sections during afternoon games. Netting, obstructed view","HIGH - zone, rows, location and seat direction stated by the source"
102,Lower Level (100s),Outfield Reserved,"Sections 100-105 in right field""; described as an Outfield Reserved area with ""easy access to the outfield concourse.",26,toward first base / right field,"1-28, WCH",28,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 28.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",17-23 seats per row varying by row (Rows 1-4: 17 seats; Rows 25-28: 23 seats); Row WCH: 12 seats,"""Difficult to see the action in deep center field""; ""you can't see all of center field"". ""Sections in left field receive some of the most sun exposure in the ballpark during afternoon games"". Row WCH with 12 accessible seats. Netting, dugout adjacency","HIGH - zone, rows, location and seat direction stated by the source"
103,Lower Level (100s),Outfield Reserved,Section 103 is a strong location for left-handed pull hitters,25,toward first base / right field,"1-28, WCH",28,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 28.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",17-23 seats per row varying by row (Rows 1-4: 17 seats; Rows 25-28: 23 seats); Row WCH: 12 seats,"""Handicap accessible seating is available at the very top of Section 103 in Row WCH"". ""Rows 24-28 are recommended for outstanding convenience"". ""Sections in left field receive some of the most sun exposure in the ballpark during afternoon games"". Obstructed view, netting, dugout adjacency","HIGH - zone, rows, location and seat direction stated by the source"
104,Lower Level (100s),Outfield Reserved,Sections 104-105 are located near the visitor bullpen in right field.,24,toward first base / right field,"9-26, WCH",26,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 26.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows 9-18: 17 seats; Rows 19-26: 18 seats; Row WCH: 12 seats,"Bullpen views of visiting team warmups; described as prime home run territory; traditional chairback stadium seats (not bleachers). Wheelchair Row WCH. Obstructed view, netting, dugout adjacency","HIGH - zone, rows, location and seat direction stated by the source"
105,Lower Level (100s),Outfield Reserved,"Sections 104-105 are located near the visitor bullpen in right field.""; ""The visiting team bullpen is in front of Sections 104 and 105",23,toward first base / right field,"9-28, WCH",28,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 28.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows 9-28: 24 seats; Row WCH: 12 seats,"Wheelchair accessible Row WCH. ""Bullpen Views: Seats near sections 157-158 overlook the White Sox bullpen, while sections 104-105 sit near the visitor bullpen."" ""Home Run Territory: These sections sit in prime areas for catching home run balls."" Sun, obstructed view, netting","HIGH - zone, rows, location and seat direction stated by the source"
108,Lower Level (100s),not named by the source,not stated by the source,22,toward first base / right field,"9-28, WCH",28,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 28.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",6-14 seats per row varying by row (Rows 9-10: 6 seats; Rows 26-28: 14 seats); Row WCH: 11 seats,"""Rows WCH and above are under cover"". ""There is some amount of netting or screening in front of all lower level sections in foul territory"". Fan comment that seats can be ""behind the foul pole"" but not obstructed if ""far enough back"". ""Sitting in a back row in this section is great because you have very easy access to the restrooms"" and ""some of baseball's best concessions"".","MEDIUM - rows confirmed, ticket zone not named by the source"
109,Lower Level (100s),not named by the source,not stated by the source,21,toward first base / right field,"7-35, WCH",35,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 35.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",2-27 seats per row varying by row (Row 7: 2 seats; Rows 33-35: 27 seats); Row WCH: 16 seats,"""Rows 33 and above are under cover"". ""There is some amount of netting or screening in front of all lower level sections"". ""Rows 34-37 are recommended for kids and family"". Sun/shade, obstructed view, dugout adjacency","MEDIUM - rows confirmed, ticket zone not named by the source"
110,Lower Level (100s),not named by the source,not stated by the source,20,toward first base / right field,"4-34, WCH"")",34,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 34.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",4-25 seats per row varying by row (Row 4: 4 seats; Rows 33-34: 25 seats); Row WCH: 14 seats,"""Rows 33 and above are under cover"". ""Front of sections 108-156 are behind the netting"". ""Rows 34-37 are recommended for kids and family"". Sun/shade, obstructed view, dugout adjacency","MEDIUM - rows confirmed, ticket zone not named by the source"
111,Lower Level (100s),Lower Box Seats,Lower Box seating includes sections 111-153 on the White Sox seating chart.,19,toward first base / right field,"1-35, WCH"")",35,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 35.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 110, with seat numbers counting up toward the edge facing section 112. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 1: 3 seats (labeled 8-10); Row 2: 8 seats (3-10); Rows 3-4: 9 seats (2-10); Rows 5-35: 10 seats (1-10); Row WCH: 6 seats (1-6),"""Rows 30 & Above - Covered"". ""Front of sections 108-156 are behind the netting"". ""Rows 34-37 are recommended for kids and family"". Wheelchair Row WCH. Sun/shade, obstructed view, dugout adjacency","HIGH - zone, rows, location and seat direction stated by the source"
