zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Field/Plaza Outfield,Field Level (100s),"101, 103, 150",3,"right up against the wall in the power alley""; ""The visiting team bullpen is to the left of Section 107 and to the right of Section 103.",2 different row ranges - see the section table,UNKNOWN
not named by the source,Field Level (100s),"102, 104-106, 151-152",6,"directly behind the visiting team bullpen"" in left field; ""In LF, sections 104-106 are directly behind the visiting team bullpen.",2 different row ranges - see the section table,varies by section
Field and Outfield Boxes,Field Level (100s),"107-115, 140-148",18,"On the Field Level at Kauffman Stadium, sections located farther from home plate are commonly referred to as Field Boxes and Outfield Boxes.",8 different row ranges - see the section table,varies by section
Dugout Boxes,Field Level (100s),"116-125, 130-139",20,Dugout Box seats make up the infield seating sections on the 100 Level at Kauffman Stadium and include Sections 116 through 125 and 130 through 139.,3 different row ranges - see the section table,varies by section
Diamond Club Seats,Field Level (100s),126-129,4,"Located directly behind the Crown Club with excellent views of the field"" and ""centered behind home plate","A-U, V-X",UNKNOWN
Fountain Seats,Plaza Level (200s),201-203,3,"Located in the left-center field area near the fountains, one of the most recognizable features of Kauffman Stadium.",2 different row ranges - see the section table,J
Plaza Level,Plaza Level (200s),"206-215, 240-252",23,"Sections in the 200s that ""sit farther down the baselines"", positioned along the outfield corners, offering ""better angles toward home plate than many comparable sections farther up the stadium""",2 different row ranges - see the section table,varies by section
Dugout Plaza,Plaza Level (200s),"216-219, 221, 223-225, 230-232, 234, 236-239",16,Sections 216 through 239 are known as Dugout Plaza seats. These sections sit near the infield and are considered some of the best seats on the Plaza Level.,AA-TT,varies by section
Loge Level,Loge Level (300s),303-321,19,300-Level Seating: Loge Level sections are labeled in the 300s on the seating chart. These sections sit above the lower seating bowl and below the View Level,2 different row ranges - see the section table,varies by section
Lexus Complete Seats,Loge Level (300s),322-325,4,Located in Sections 322-325 along the first base corner on the 300 level,A-J,J
View Level,View Level (400s),"402-404, 411-413, 415, 420, 425, 427-429, 431, 434, 436",15,"""Sections 401–439: Located on the highest seating level in the stadium."" Page also notes ""Sections 419–421 sit near concessions, restrooms, and the Captain Morgan Bar"" and lists ""Home Plate View"".",9 different row ranges - see the section table,varies by section
View Outfield Seats,View Level (400s),405,1,Sections 401-407 and 433-439 sit near the edges of the upper deck along the outfield; part of the View Level (highest seating tier),"A-S, AA-PP",J and K
View Outfield,View Level (400s),"406-407, 433, 438-439",5,"Sections 401–407 and 433–439"" sit ""near the edges of the upper deck along the outfield."" ""Sections 401–439: Located on the highest seating level in the stadium.",4 different row ranges - see the section table,varies by section
View Box,View Level (400s),"408-410, 414, 416-419, 421-424, 426, 430, 432",15,"""Located on the highest seating level in the stadium""; part of the ""View Level"" which ""stretches across the entire upper bowl"". Page notes ""Desirable view from behind home plate"".",5 different row ranges - see the section table,L
View Level / View Outfield Seats,View Level (400s),"435, 437",2,Sections 401–439: Located on the highest seating level in the stadium.,2 different row ranges - see the section table,varies by section
Standing room,"Clubs, suites and other named areas","Brew & View, Standing Room Only",2,"Standing Room Only areas at Kauffman Stadium are located in various spots around the ballpark, though the most popular SRO location sits beyond the wall in right-center field.",UNKNOWN,UNKNOWN
Bars and social areas,"Clubs, suites and other named areas","Craft and Draft, Craft and Draft Benches, Rivals Tables",3,"Located on the Loge Level down the left field line."" The page describes it as ""a fully covered area that is often shaded during Royals games.",UNKNOWN,UNKNOWN
Clubs and suites,"Clubs, suites and other named areas","Crown 1, Crown 2, Crown 3, Crown 4, Crown 5, Crown 6, Diamond Box A, Diamond Box B, Diamond Box C, Diamond Box D, Diamond Box E, Diamond Box F, Diamond Club Tables",13,"The Crown Club is located directly behind home plate at field level and includes Sections 1 through 6 on the Kauffman Stadium seating chart."" ""Located in Sections 1–6 directly behind home plate."" ""Positioned between the dugouts just feet from the action."" ""These sections sit between the two dugouts, placing fans extremely close to the field.",2 different row ranges - see the section table,UNKNOWN
Drink rail seating,"Clubs, suites and other named areas",Miller Lite Rail Seats,1,"Located in left field above the Fountain Seats,"" ""near the iconic Kauffman Stadium fountains.",A-B,UNKNOWN
Hospitality decks,"Clubs, suites and other named areas",QuickTrip Fountain Deck,1,"The QuikTrip Fountain Deck is located in right field at Kauffman Stadium, near the iconic fountains beyond the outfield wall.","A, which provides a front-row view overlooking the field",UNKNOWN
