zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Bleachers and RF Grandstand,Lower Level (100s),101-106,6,Section 104 is located in right field at Comerica Park - essentially in line with the second basemen when looking towards home plate.,3 different row ranges - see the section table,varies by section
Kaline's Corner,Lower Level (100s),107-111,5,"Kaline's Corner (Sections 107-111), located in right field near the foul pole at Comerica Park; ""Positioned near the foul pole with a limited infield angle""",2 different row ranges - see the section table,varies by section
Outfield and Baseline Boxes,Lower Level (100s),"112-113, 115, 117, 138-143",10,the seats down the line at Comerica Park are wildly different down the left and right field lines. Seats down the LF line (138-143) will have major issues with the sun and will have difficulty seeing the main scoreboard,5 different row ranges - see the section table,varies by section
not named by the source,Lower Level (100s),114,1,"Also known as Lower Baseline Box and Outfield Boxes, the seats down the line at Comerica Park are wildly different down the left and right field lines.","1-34, 33AC, 37-45, 44AC",44AC
Lower Baseline Box and Outfield Boxes,Lower Level (100s),116,1,the seats down the line at Comerica Park are wildly different down the left and right field lines,1-35,UNKNOWN
Infield Boxes,Lower Level (100s),"118-119, 121-137",19,"Sections 118-137 are commonly referred to as the Infield Boxes. Because of their close proximity to the field, these are considered some of the best seats at a Tigers game.",4 different row ranges - see the section table,UNKNOWN
On-Deck Circle Seats,Lower Level (100s),120,1,"For baseball games, these seats are located behind the visitor dugout",7-35,UNKNOWN
Left Field Pavilion,Lower Level (100s),144-151,8,"Located directly behind both bullpens in left field.""; ""Left Field Pavilion seating includes Sections 144-151, located in left field at Comerica Park.",8 different row ranges - see the section table,varies by section
Mezzanine Seats,Mezzanine (200s),210-219,10,"Section 211 is located on the mezzanine level, which is the upper seating tier down the first base line. The section is near the right field corner""; ""Sections 210-219 run from the right field corner toward the infield.",2 different row ranges - see the section table,F
Upper Box Club Seats,Upper Level (300s),"321-334, 336-337",16,"Located in the front rows behind home plate on the upper level""; part of ""sections 321-337, located on the upper seating tier behind home plate",2 different row ranges - see the section table,varies by section
not named by the source,Upper Level (300s),338-339,2,"Upper Grandstand and Skyline"" area; expert review notes these seats offer ""little in the way of amenities"" and ""a head-on view of the scorching sun","A-F, 1-20",F
Upper Grandstand and Skyline,Upper Level (300s),340-346,7,"""Offering little in the way of amenities -- and with a head-on view of the scorching sun""; positioned to see the main scoreboard",3 different row ranges - see the section table,varies by section
General admission,"Clubs, suites and other named areas",General Admission,1,not stated by the source,UNKNOWN,UNKNOWN
Bleachers,"Clubs, suites and other named areas",Jungle Bleachers,1,"The Jungle Bleachers are home to the furthest views in Comerica Park, located beyond the right field wall and up on a third level of seating.",UNKNOWN,UNKNOWN
Clubs and suites,"Clubs, suites and other named areas","Lower Suites, Priority Club 1, Priority Club 2, Priority Club 3, Priority Club 4, Priority Club 5, Upper Suites",7,"Priority Club seating - formerly known as the Home Plate Club - includes Sections HPC1-HPC5, located directly behind home plate. This area places fans closer to the field than anywhere else in the ballpark, offering a truly unmatched vantage point."" ""Sitting directly behind home plate places fans just steps from the batter's box, offering a perfectly centered perspective of every pitch, swing, and play.",2 different row ranges - see the section table,UNKNOWN
Right Field Balcony,"Clubs, suites and other named areas","Right Field Balcony 1, Right Field Balcony 2, Right Field Balcony 3",3,Right Field Balcony seating is located on the second tier beyond the right field wall at Comerica Park.,2 different row ranges - see the section table,UNKNOWN
Terrace,"Clubs, suites and other named areas","Terrace 116, Terrace 117, Terrace 118, Terrace 136, Terrace 137, Terrace 138, Terrace 139, Terrace 140",8,"""Terrace seating is located at the top of the lower level along the infield, sitting just above field-level sections."" The page places this section with the terrace sections above Sections 136-141 on the third base side.",A-H,H
Terrace Seats,"Clubs, suites and other named areas",Terrace 141,1,"""Terrace seating is located at the top of the lower level along the infield, sitting just above field-level sections."" The page groups it with ""Sections 136-141 (third base side)"".",A-H,H
Tiger Den Seats,"Clubs, suites and other named areas","Tiger Den 120, Tiger Den 121, Tiger Den 122, Tiger Den 123, Tiger Den 124, Tiger Den 125, Tiger Den 126, Tiger Den 127, Tiger Den 128, Tiger Den 129, Tiger Den 130, Tiger Den 131, Tiger Den 132, Tiger Den 133, Tiger Den 134, Tiger Den 135",16,"""positioned at the top of the 100 level along the infield at Comerica Park""; the Tiger Den sections generally are ""located at the top of the 100 level along the infield"".",2 different row ranges - see the section table,H
