section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,Field Level clubs (1-32),TD Lounge,"""Sections 1-5, located directly behind home plate and between the dugouts"". Page also headlines ""Prime Lower Bowl Location"" with ""elite, centered views"".",,"directly behind home plate - the TD Lounge is a separate five-row strip in front of sections 23-28, not part of the 16-32 ring, and no source states which end of it section 1 sits at, so no count is offered",1-5,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 2.",not published,"""Top Pick for Impressing a Guest""; ""TD Lounge""; ""Rows 1-5"". ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the TD Lounge"".","HIGH - zone, rows, location and seat direction stated by the source"
2,Field Level clubs (1-32),TD Lounge,not stated by the source,,"directly behind home plate - the TD Lounge is a separate five-row strip in front of sections 23-28, not part of the 16-32 ring, and no source states which end of it section 1 sits at, so no count is offered",1-5,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 3.",not published,"""Top Pick for Impressing a Guest""; ""TD Lounge""; ""Rows 1-5"". ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the TD Lounge"". ""Close but obstructed - Not bad seats they were pretty close. Only down side was minor blocks from equipment but overall still fairly good seats."" This is the only obstruction mention anywhere in this batch.","MEDIUM - rows and zone confirmed, the source does not place this section"
3,Field Level clubs (1-32),TD Lounge,"Sections 1-5, 21-26, and 122-125 offer elite, centered views"" and ""Sections 1-5, located directly behind home plate and between the dugouts.",,"directly behind home plate - the TD Lounge is a separate five-row strip in front of sections 23-28, not part of the 16-32 ring, and no source states which end of it section 1 sits at, so no count is offered",1-5,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the edge facing section 4.",not published,"""Top Pick for Impressing a Guest""; ""TD Lounge""; ""Rows 1-5"". ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the TD Lounge"".","HIGH - zone, rows, location and seat direction stated by the source"
4,Field Level clubs (1-32),TD Lounge,"Sections 1-5, 21-26, and 122-125 offer elite, centered views"" and ""Sections 1-5, located directly behind home plate and between the dugouts.",,"directly behind home plate - the TD Lounge is a separate five-row strip in front of sections 23-28, not part of the 16-32 ring, and no source states which end of it section 1 sits at, so no count is offered",1-5,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 5.",not published,"""Top Pick for Impressing a Guest""; ""TD Lounge""; ""Rows 1-5"". ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the TD Lounge"".","HIGH - zone, rows, location and seat direction stated by the source"
5,Field Level clubs (1-32),TD Lounge,"Sections 1-5, 21-26, and 122-125 offer elite, centered views"" and ""TD Lounge Club seating includes Sections 1-5, located directly behind home plate and between the dugouts.",,"directly behind home plate - the TD Lounge is a separate five-row strip in front of sections 23-28, not part of the 16-32 ring, and no source states which end of it section 1 sits at, so no count is offered",1-5,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 16.",not published,"""Top Pick for Impressing a Guest""; ""TD Lounge""; ""Rows 1-5"". ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the TD Lounge"".","HIGH - zone, rows, location and seat direction stated by the source"
16,Field Level clubs (1-32),KPMG Blueprint Club,"""Sections 16-22 sit just behind the visitor dugout near home plate."" and ""KPMG Blueprint Club seating includes Sections 16-22, located just behind the visitor dugout on the first base side at Rogers Centre."" and ""For baseball games, these seats are located behind the visitor dugout"".",5,toward first base / right field,1-11,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 17. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Blueprint Club - Blue Jays Games"". ""For baseball games, these seats are located behind the visitor dugout""; ""Premium seating area as part of the Blueprint Club for Blue Jays games"". Page also lists ""Upscale All-Inclusive Experience (Blue Jays): Premium dining, in-seat service, and elevated food stations included.""; ""Exclusive Club Access: Private lounge located directly beneath the seating sections.""; ""Unique Batting Cage Views: Direct views into the visitor batting cage from the club."". Section Insight also lists ""Rows 1-11"".","HIGH - zone, rows, location and seat direction stated by the source"
17,Field Level clubs (1-32),KPMG Blueprint Club,"""Sections 16-22 sit just behind the visitor dugout near home plate."" and ""for baseball games, these seats are located behind the visitor dugout"".",4,toward first base / right field,1-11,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 16, with seat numbers counting up toward the edge facing section 18. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Blueprint Club - Blue Jays Games"". ""For baseball games, these seats are located behind the visitor dugout""; ""Premium seating area as part of the Blueprint Club for Blue Jays games"". Page also lists ""Upscale All-Inclusive Experience (Blue Jays): Premium dining, in-seat service, and elevated food stations included.""; ""Exclusive Club Access: Private lounge located directly beneath the seating sections.""; ""Unique Batting Cage Views: Direct views into the visitor batting cage from the club."". Section Insight also lists ""Rows 1-11"".","HIGH - zone, rows, location and seat direction stated by the source"
18,Field Level clubs (1-32),KPMG Blueprint Club,"Sections 16-22 sit just behind the visitor dugout near home plate"" and ""located just behind the visitor dugout on the first base side at Rogers Centre.",3,toward first base / right field,1-11,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 17, with seat numbers counting up toward the edge facing section 19. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Blueprint Club - Blue Jays Games"". ""For baseball games, these seats are located behind the visitor dugout""; ""Premium seating area as part of the Blueprint Club for Blue Jays games"". Page also lists ""Upscale All-Inclusive Experience (Blue Jays): Premium dining, in-seat service, and elevated food stations included.""; ""Exclusive Club Access: Private lounge located directly beneath the seating sections.""; ""Unique Batting Cage Views: Direct views into the visitor batting cage from the club."". Section Insight also lists ""Rows 1-11"".","HIGH - zone, rows, location and seat direction stated by the source"
19,Field Level clubs (1-32),KPMG Blueprint Club,"""Sections 16-22 sit just behind the visitor dugout near home plate"" and ""KPMG Blueprint Club seating includes Sections 16-22, located just behind the visitor dugout on the first base side"" and ""For baseball games, these seats are located behind the visitor dugout"".",2,toward first base / right field,1-11,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 18, with seat numbers counting up toward the edge facing section 20. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Blueprint Club - Blue Jays Games"". ""For baseball games, these seats are located behind the visitor dugout""; ""Premium seating area as part of the Blueprint Club for Blue Jays games"". Page also lists ""Upscale All-Inclusive Experience (Blue Jays): Premium dining, in-seat service, and elevated food stations included.""; ""Exclusive Club Access: Private lounge located directly beneath the seating sections.""; ""Unique Batting Cage Views: Direct views into the visitor batting cage from the club."". Section Insight also lists ""Rows 1-11"".","HIGH - zone, rows, location and seat direction stated by the source"
20,Field Level clubs (1-32),KPMG Blueprint Club,"""Visitor Dugout Location: Sections 16-22 sit just behind the visitor dugout near home plate."" and ""For baseball games, these seats are located behind the visitor dugout"".",1,toward first base / right field,1-8,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 19, with seat numbers counting up toward the edge facing section 21. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Blueprint Club - Blue Jays Games"". ""For baseball games, these seats are located behind the visitor dugout""; ""Premium seating area as part of the Blueprint Club for Blue Jays games"". Page also lists ""Upscale All-Inclusive Experience (Blue Jays): Premium dining, in-seat service, and elevated food stations included.""; ""Exclusive Club Access: Private lounge located directly beneath the seating sections.""; ""Unique Batting Cage Views: Direct views into the visitor batting cage from the club."". Section Insight also lists ""Rows 1-8"".","HIGH - zone, rows, location and seat direction stated by the source"
21,Field Level clubs (1-32),KPMG Blueprint Club,"""Sections 16-22 sit just behind the visitor dugout near home plate"" and ""located just behind the visitor dugout on the first base side"".",0,behind home plate,1-8,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 20, with seat numbers counting up toward the edge facing section 22. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""Blueprint Club - Blue Jays Games"". ""For baseball games, these seats are located behind the visitor dugout""; ""Premium seating area as part of the Blueprint Club for Blue Jays games"". Page also lists ""Upscale All-Inclusive Experience (Blue Jays): Premium dining, in-seat service, and elevated food stations included.""; ""Exclusive Club Access: Private lounge located directly beneath the seating sections.""; ""Unique Batting Cage Views: Direct views into the visitor batting cage from the club."". Section Insight also lists ""Rows 1-8"".","HIGH - zone, rows, location and seat direction stated by the source"
22,Field Level clubs (1-32),KPMG Blueprint Club,"Sections 16-22 sit just behind the visitor dugout near home plate."" and ""Sections 21 and 22 sit closer to home plate than any other Blueprint Club sections.",0,behind home plate,1-8,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 21, with seat numbers counting up toward the edge facing section 23. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""Blueprint Club - Blue Jays Games"". ""For baseball games, these seats are located behind the visitor dugout""; ""Premium seating area as part of the Blueprint Club for Blue Jays games"". Page also lists ""Upscale All-Inclusive Experience (Blue Jays): Premium dining, in-seat service, and elevated food stations included.""; ""Exclusive Club Access: Private lounge located directly beneath the seating sections.""; ""Unique Batting Cage Views: Direct views into the visitor batting cage from the club."". Section Insight also lists ""Rows 1-8"". Page additionally states ""Sections 21 and 22 sit closer to home plate than any other Blueprint Club sections."" A fan review is present but carries only a star rating and header, no text: ""***** | Sec 22 / Row 5 - Baseball | New York Yankees at Toronto Blue Jays - Jun 28, 2024"".","HIGH - zone, rows, location and seat direction stated by the source"
23,Field Level clubs (1-32),Rogers Banner Club,"Behind home plate"" and ""Rogers Banner Club seating includes Sections 23-32, located behind home plate and along the third base side behind the Blue Jays dugout.",0,behind home plate,1-8,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 22, with seat numbers counting up toward the edge facing section 24. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""Banner Club"". ""Premium seating area as part of the Banner Club"". Page also states ""All seats are within 15 rows of the field"" and ""In-Seat Service (Blue Jays): Fans can order ballpark favorites and gourmet menu items directly to their seats."" and describes ""access to a club lounge located directly beneath the seating sections"". Section Insight also lists ""Rows 1-8"".","HIGH - zone, rows, location and seat direction stated by the source"
