zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Field Box,Field Box (FB1–FB82),FB1-FB80,80,"""These seats are located behind the Red Sox dugout"". ""Sections 21-28 are located behind the Red Sox dugout""; ""Sections 21-28 sit behind the Red Sox dugout, while Sections 62-68 are behind the visitor dugout.""; ""Field Box seats are located in the lower level of Fenway Park, directly behind the Dugout Box seating and positioned between the baselines.""; ""These sections typically sit within 20 rows of the playing field, placing fans extremely close to the action.""; ""Located within 20 rows of the field, offering some of the closest unobstructed views at Fenway Park.""; ""Positioned in front of the Grandstand, meaning no support poles obstruct the view.""",14 different row ranges - see the section table,varies by section
Field Boxes,Field Box (FB1–FB82),FB81-FB82,2,"Generic Field Boxes zone text only - no sentence on the page names a base line, dugout or field position for this section specifically (verified by a second targeted fetch, which returned ""NO SECTION-SPECIFIC LOCATION SENTENCE""). ""Field Box seats are located in the lower level of Fenway Park, directly behind the Dugout Box seating and positioned between the baselines.""",2 different row ranges - see the section table,UNKNOWN
Right Field Boxes,Right Field Box (RFB87–RFB97),RFB87-RFB97,11,"""Located on the lower level down the first base line near right field."" ""Right Field Box sections are located on the main seating level down the first base line toward right field."" ""On the Fenway Park seating chart, these sections appear adjacent to the Field Box and Loge Box areas, though they provide a slightly different viewing experience due to their position closer to the outfield.""",2 different row ranges - see the section table,varies by section
Loge Boxes,Loge Box (LB98–LB165),LB98-LB104,7,"Generic Loge Boxes zone text. ""Located on the Loge Level directly behind the Field Boxes, offering a great viewing height near the action."" ""Loge Box seats are located on the Loge Level at Fenway Park, positioned just above the Field Box seats and directly in front of the Grandstand sections."" The zone bullet ""First Base Side (Sections 98-106) Provides a head-on view of the Green Monster"" was returned on the LB98 and LB100 renders of this same zone review and covers this section by range, but it was NOT returned in this page's own render, so it is recorded as range-level zone text, not as a section-specific sentence.",2 different row ranges - see the section table,varies by section
Loge Box,Loge Box (LB98–LB165),"LB105-LB155, LB157-LB165",60,"The only page sentence that could place this section is generic to the tier ""Located on the Loge Level directly behind the Field Boxes, offering a great viewing height near the action."" The page prints only the generic Loge Boxes zone text, whose named anchors are ""Sections 125–134, located directly behind home plate"", ""Third Base Side (Sections 157–165)"" and ""First Base Side (Sections 98–106)"" — section 135 is named in none of them.",6 different row ranges - see the section table,varies by section
Grandstand,Grandstand (GS1–GS33),GS1-GS33,33,"""Grandstand seating wraps around much of the lower seating bowl at Fenway Park, sitting directly beneath the large roof structure that covers much of the stadium."" ""my seats was almost perfectly positioned where the beam to my left was just beyond the infield dirt at third base, and the beam to my right was just behind the home plate umpire!"" and ""No views of the center field videoboard, and plays in the left field corner were a mystery"" (GS26 / Row 15).",7 different row ranges - see the section table,varies by section
Bleachers,Bleachers (B34–B43),B34-B43,10,"Bleacher sections are located in right field and right-center field at Fenway Park."" AND ""The Bleachers at Fenway Park are located in right field and right-center field, forming a large seating area beyond the outfield wall."" ""Deep center field, almost against the wall that separates a home run from a 420 foot double.""; ""The only blind spots are the center field triangle and far-right field.""; ""Best section in the bleachers. - It's closest to the triangle in center.",6 different row ranges - see the section table,varies by section
Monster Seats,Green Monster Seats (M1–M10),M1-M10,10,"Seats located directly on top of the Green Monster in left field, one of the most famous seating areas in baseball."" ""Green Monster Seats are located above the Green Monster in left field, sitting approximately 37 feet above the playing surface."" ""This seating area runs along the top of the wall and is divided into several sections labeled M1 through M10 on the Boston Red Sox seating chart.",1-3,UNKNOWN
Dell Technology Club,Dell Technologies Club (EMCC1–EMCC6),EMCC1-EMCC6,6,"Sections DTC 1-DTC 6 sit directly behind home plate on Fenway Park's second level above the Grandstand."" ""Dell Technologies Club seating includes sections DTC 1-DTC 6, located directly behind home plate on the second level above the Grandstand seating at Fenway Park."" ""Sitting directly behind home plate gives fans a balanced look at every part of the field - from pitch location to defensive positioning in the outfield.",1-7,7
Aura Club,Aura Club (HPPC1–HPPC5),HPPC1-HPPC5,5,"""Located on Fenway Park's highest tier with sweeping views of the entire field."" ""Aura Club (AC1-AC5) sits directly behind home plate, while Aura Pavilion (AP1-AP14) runs down the baselines."" ""Aura Club and Aura Pavilion seats are located on Fenway Park's highest seating tier, wrapping around the upper level.""",1-5,5
Aura Pavilion Club,Aura Pavilion Club (PC1–PC14),"PC1-PC13, PC2-PC14",14,"""Aura Club and Aura Pavilion seats are located on Fenway Park's highest seating tier, wrapping around the upper level of the ballpark."" ""Aura Pavilion Sections (AP1-AP14) - Extend down the baselines."" ""Odd-numbered sections run along the first base line"" and ""Even-numbered sections run along the third base line"" (zone text reprinted on this section page).",1-5,5
Pavilion Box,Pavilion Box (PB1–PB14),PB1-PB14,14,"""Pavilion Box seats are located on Fenway Park's highest seating tier, positioned directly behind the Aura Pavilion Club sections."" Also ""These seats are labeled PB1 through PB14 on the Fenway Park seating chart."" and ""the Pavilion Level sits under the stadium roof"".",A-E,A
