section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,"Field Level (even) and Terrace Level (odd), 1–98",Terrace Level,"Terrace Level zone text returned on this page (these sentences recur on every Terrace Level page in this batch and none of them names this section on its own): ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards."" ""These seats sit behind the Field Level sections, providing a slightly elevated perspective of the field."" ""Elevated Lower Bowl Views: The first row sits 25–30 rows behind the field, offering a comfortable viewing height."" ""Great Weather Protection: Most sections sit under the Club Level overhang, providing shade and rain protection.""",14,toward first base / right field,1-17,1,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 1.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 3. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"sections 1-9 in right field have ""less overhead coverage""; outfield terrace sections receive ""most sun exposure"".","HIGH - zone, rows, location and seat direction stated by the source"
3,"Field Level (even) and Terrace Level (odd), 1–98",Terrace Level,"Terrace Level zone text returned on this page (these sentences recur on every Terrace Level page in this batch and none of them names this section on its own): ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards."" ""These seats sit behind the Field Level sections, providing a slightly elevated perspective of the field."" ""Elevated Lower Bowl Views: The first row sits 25–30 rows behind the field, offering a comfortable viewing height."" ""Great Weather Protection: Most sections sit under the Club Level overhang, providing shade and rain protection.""",13,toward first base / right field,1-21,1,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 1.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 1-21"". ""Terrace Level seats are a great choice for fans who want excellent views of the field with added protection from sun and rain.""","HIGH - zone, rows, location and seat direction stated by the source"
4,"Field Level (even) and Terrace Level (odd), 1–98",Field Level,"Field Level zone text returned on this page (these sentences recur on every Field Level page in this batch and none of them names this section on its own): ""Closest Seats to the Field: Field Level sections include even-numbered sections below 100 (e.g., 20, 40, etc.) and place fans closest to the action."" ""Traditional Ballpark Layout: Most sections feature 25–30 rows with Row 1 at the front and accessible seating near the back."" ""Dugout Seating Options: Sections 22–26 sit behind the Orioles dugout, while Sections 48–52 sit behind the visitor dugout.""",14,toward first base / right field,EAL,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"ANOMALY — SPARSE PAGE. Section 4 resolves to a genuine per-section page (title ""Section 4 at Oriole Park at Camden Yards"") but it serves almost no per-section data: NO ""Rows in Section 4 are labeled ..."" range line, NO entrance-row line, NO ""Row Numbers"" seat-direction boilerplate, NO ""Section Insights"" bullets, NO ""Seating and Ticket Q&A"" block. The only row statement returned is ""The first row in this section is labeled EAL"". Seat-view photos on the page are labelled Row 27 and Row 20, so rows reach at least 27, but the page does not state a row range and none is asserted here. Confirmed by three passes.","HIGH - zone, rows, location and seat direction stated by the source"
5,"Field Level (even) and Terrace Level (odd), 1–98",Terrace Level,"Terrace Level zone text returned on this page (these sentences recur on every Terrace Level page in this batch and none of them names this section on its own): ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards."" ""These seats sit behind the Field Level sections, providing a slightly elevated perspective of the field."" ""Elevated Lower Bowl Views: The first row sits 25–30 rows behind the field, offering a comfortable viewing height."" ""Great Weather Protection: Most sections sit under the Club Level overhang, providing shade and rain protection.""",12,toward first base / right field,1-21,1,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 1.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 1-21""; ""Elevated Lower Bowl Views: The first row sits 25–30 rows behind the field""; ""Great Weather Protection: Most sections sit under the Club Level overhang""; ""Strong Value Seating: Known for excellent sightlines"". ""Great view. — Be mindful of the loud fans"".","HIGH - zone, rows, location and seat direction stated by the source"
6,"Field Level (even) and Terrace Level (odd), 1–98",Field Level,"Field Level zone text returned on this page (these sentences recur on every Field Level page in this batch and none of them names this section on its own): ""Closest Seats to the Field: Field Level sections include even-numbered sections below 100 (e.g., 20, 40, etc.) and place fans closest to the action."" ""Traditional Ballpark Layout: Most sections feature 25–30 rows with Row 1 at the front and accessible seating near the back."" ""Dugout Seating Options: Sections 22–26 sit behind the Orioles dugout, while Sections 48–52 sit behind the visitor dugout.""",13,toward first base / right field,"10-27, EAL",EAL,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row EAL.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 8. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 10-27, EAL"". NOTE the row range STARTS AT 10, not 1 — unusual for a Field Level section in this batch (8 starts at 4; 10, 12, 14, 20 start at 1). The page gives no explanation. ""Third Base Side: Better view of the main scoreboard; Receives shade earlier during afternoon and evening games"" — a zone-wide line, not about Section 6.","HIGH - zone, rows, location and seat direction stated by the source"
7,"Field Level (even) and Terrace Level (odd), 1–98",Terrace Level,"Terrace Level zone text returned on this page (these sentences recur on every Terrace Level page in this batch and none of them names this section on its own): ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards."" ""These seats sit behind the Field Level sections, providing a slightly elevated perspective of the field."" ""Elevated Lower Bowl Views: The first row sits 25–30 rows behind the field, offering a comfortable viewing height."" ""Great Weather Protection: Most sections sit under the Club Level overhang, providing shade and rain protection.""",11,toward first base / right field,1-13,1,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 1.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 9. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 1-13""; ""Elevated Lower Bowl Views: The first row sits 25–30 rows behind the field""; ""Great Weather Protection: Most sections sit under the Club Level overhang"".","HIGH - zone, rows, location and seat direction stated by the source"
8,"Field Level (even) and Terrace Level (odd), 1–98",Field Level,"Field Level zone text returned on this page (these sentences recur on every Field Level page in this batch and none of them names this section on its own): ""Closest Seats to the Field: Field Level sections include even-numbered sections below 100 (e.g., 20, 40, etc.) and place fans closest to the action."" ""Traditional Ballpark Layout: Most sections feature 25–30 rows with Row 1 at the front and accessible seating near the back."" ""Dugout Seating Options: Sections 22–26 sit behind the Orioles dugout, while Sections 48–52 sit behind the visitor dugout.""",12,toward first base / right field,"4-27, EAL",EAL,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row EAL.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 10. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 4-27, EAL"". NOTE the row range STARTS AT 4, not 1; the page gives no explanation. Fan review present but the fetcher returned only its header: ""Sec 8 / Row 8"" (Sep 7, 2024 game, rated five stars) — no review body text was returned.","HIGH - zone, rows, location and seat direction stated by the source"
9,"Field Level (even) and Terrace Level (odd), 1–98",Terrace Level,"Terrace Level zone text returned on this page (these sentences recur on every Terrace Level page in this batch and none of them names this section on its own): ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards."" ""These seats sit behind the Field Level sections, providing a slightly elevated perspective of the field."" ""Elevated Lower Bowl Views: The first row sits 25–30 rows behind the field, offering a comfortable viewing height."" ""Great Weather Protection: Most sections sit under the Club Level overhang, providing shade and rain protection.""",10,toward first base / right field,1-13,1,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 1.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 11. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Kids and Family""; ""Rows 2 & Above - Covered""; ""Rows 1-13""; ""Recommended seating for kids and family""; ""Rows 2 and above are under cover"". Fan review ""The seats were awesome. They were under cover so I was safe in case of bad weather.""","HIGH - zone, rows, location and seat direction stated by the source"
10,"Field Level (even) and Terrace Level (odd), 1–98",Field Level,"Field Level zone text returned on this page (these sentences recur on every Field Level page in this batch and none of them names this section on its own): ""Closest Seats to the Field: Field Level sections include even-numbered sections below 100 (e.g., 20, 40, etc.) and place fans closest to the action."" ""Traditional Ballpark Layout: Most sections feature 25–30 rows with Row 1 at the front and accessible seating near the back."" ""Dugout Seating Options: Sections 22–26 sit behind the Orioles dugout, while Sections 48–52 sit behind the visitor dugout.""",11,toward first base / right field,"1-27, EAL",EAL,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row EAL.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 8, with seat numbers counting up toward the edge facing section 12. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 1-27, EAL"".","HIGH - zone, rows, location and seat direction stated by the source"
11,"Field Level (even) and Terrace Level (odd), 1–98",Terrace Level,"No sentence on this page places Section 11 in the ballpark by field position; the only placement sentence returned is the zone-wide one: ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards."" Terrace Level zone text returned on this page (these sentences recur on every Terrace Level page in this batch and none of them names this section on its own): ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards.""",9,toward first base / right field,1-13,1,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 1.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 9, with seat numbers counting up toward the edge facing section 13. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Kids and Family""; ""Rows 2 & Above - Covered""; ""Recommended seating for kids and family""; ""Rows 2 and above are under cover"". Fan review (May 17, 2024) ""This section had great views of the field and the scoreboard"".","HIGH - zone, rows, location and seat direction stated by the source"
