section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
11,Legends and Champions Suites (11–29),Champions Suite,"""Champions Suite seating is located in the lower bowl adjacent to the Legends Suite."" ""For New York Yankees games, Champions Suite seats are located along the infield baselines"" and the Champions Suite section list includes ""Sections 11-13 (along the first base line)"". The page also carries a soccer (NYCFC) placement ""Sections 11-13 (behind the south goal)"".",7,toward first base / right field,1-9,9,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 9.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 12. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Champions Suite"", ""Rows 1-9"". ""Premium seating area as part of the Champions Suite"". ""Front of sections 011-029 are behind the netting. The height and coverage of netting or screening will vary by section."" Note this page writes the section WITHOUT a leading zero in the URL and heading while the netting text uses the leading-zero form (011-029).","HIGH - zone, rows, location and seat direction stated by the source"
12,Legends and Champions Suites (11–29),Champions Suite,"""Champions Suite seating is located in the lower bowl adjacent to the Legends Suite."" ""For New York Yankees games, Champions Suite sections include: Sections 11-13 (along the first base line)"". ""Cutwater Lounge - Located along the first-base side (Sections 11-13).""",6,toward first base / right field,1-9,9,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 9.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 11, with seat numbers counting up toward the edge facing section 13. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Champions Suite"", ""Rows 1-9"". ""Premium seating area as part of the Champions Suite"". the page states these seats are ""positioned behind the protective netting"", consistent with the official netting span 011-029.","HIGH - zone, rows, location and seat direction stated by the source"
13,Legends and Champions Suites (11–29),Champions Suite,"""Champions Suite seating is located in the lower bowl adjacent to the Legends Suite."" ""For New York Yankees games, Champions Suite seats are located along the infield baselines."" ""Sections along both the first-base and third-base lines offer strong angles toward home plate."" Section 13 falls in the first-base-line group ""Sections 11-13"".",5,toward first base / right field,1-9,9,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 9.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 12, with seat numbers counting up toward the edge facing section 14A. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Champions Suite, Rows 1-9"". ""Premium seating area as part of the Champions Suite"". seats described as ""positioned behind the protective netting"". the page presents the Champions Suite as a premium category spanning Sections 11-13 on the first-base side and 27B-29 on the third-base side - i.e. the Champions Suite is the OUTER pair of runs of the field-level ring and the Legends Suite (14A-27A) is the inner run.","HIGH - zone, rows, location and seat direction stated by the source"
14A,Legends and Champions Suites (11–29),Legends Suite,"""The Legends Suites comprises the first several rows of the lower bowl, stretching from dugout to dugout."" Zone extent ""For New York Yankees games Sections 14A through 27A"".",4,toward first base / right field,1-9,9,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 9.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 13, with seat numbers counting up toward the edge facing section 15A. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Premium seating area as part of the Legends Suite"" and ""For baseball games, we recommend these seats for impressing a guest"". ""Excellent infield view from very close to the field. Amazing club level amenities, some of the best in the MLB. In-seat wait service with food and non-alcoholic beverages included in the ticket price"". Fan review ""Great seats, great food, great experience. A little pricey, but you gotta do it once."" the page references ""Legends Premier"" as a separate designation applying to Row 1 / season-ticket holders, so a real ticket in Row 1 may print a different product name than ""Legends Suite"".","HIGH - zone, rows, location and seat direction stated by the source"
14B,Legends and Champions Suites (11–29),Legends Suite,"""Positioned directly behind home plate and the dugouts; the closest seats to the action in the ballpark."" ""The Legends Suites comprises the first several rows of the lower bowl, stretching from dugout to dugout."" ""Sections 18-21 sit directly behind home plate. Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side.""",4,toward first base / right field,1-9,9,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 9.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 13, with seat numbers counting up toward the edge facing section 15A. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Impressing a Guest"", ""Legends Suite"", ""Rows 1-9"". ""For baseball games, we recommend these seats for impressing a guest"", ""Premium seating area as part of the Legends Suite"". ""Legends Premier"" is named as a separate designation for Row 1 / season-ticket holders. Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side.""""","HIGH - zone, rows, location and seat direction stated by the source"
15A,Legends and Champions Suites (11–29),Legends Suite,"""These seats are located behind the Yankees dugout"" and ""Sit in Sections 15-17 to be behind the Yankees' dugout"". ""Near Yankees Dugout"".",3,toward first base / right field,1-5,5,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 5.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 14A, with seat numbers counting up toward the edge facing section 16. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Near Yankees Dugout; Top Pick for Impressing a Guest; Legends Suite; Rows 1-5"". ""These seats are located behind the Yankees dugout; For baseball games, we recommend these seats for impressing a guest; Premium seating area as part of the Legends Suite"". Fan review ""Row 1 is the first row behind the Yankees dugout in Sections 15A-17A"" - a per-section ROW statement (it fixes Row 1 as the front row) but NOT a seat-side statement. Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side."" the A/B split sections in this ring are not uniform - 15A, 15B, 16, 17A, 23, 24A, 24B and 25 are ""labeled 1-5"" while 11, 12, 13, 14A, 14B, 17B, 18, 19, 20, 21A, 21B and 22 are ""labeled 1-9"".""","HIGH - zone, rows, location and seat direction stated by the source"
15B,Legends and Champions Suites (11–29),Legends Suite,"""These seats are located behind the Yankees dugout"" and ""Sit in Sections 15-17 to be behind the Yankees' dugout"". ""Near Yankees Dugout"".",3,toward first base / right field,1-5,5,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 5.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 14A, with seat numbers counting up toward the edge facing section 16. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Near Yankees Dugout""; ""Top Pick for Impressing a Guest""; ""Legends Suite""; ""Rows 1-5"". ""These seats are located behind the Yankees dugout""; ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the Legends Suite"". Fan review ""Row 1 is the first row behind the Yankees dugout in Sections 15A-17A."" - note this fan sentence names 15A-17A, i.e. it does not explicitly enumerate 15B, though 15B is inside that range. Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side.""""","HIGH - zone, rows, location and seat direction stated by the source"
16,Legends and Champions Suites (11–29),Legends Suite,"""These seats are located behind the Yankees dugout"" and ""Row 1 is the first row behind the Yankees dugout in Sections 15A-17A"". ""Near Yankees Dugout"".",2,toward first base / right field,1-5,5,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 5.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 15A, with seat numbers counting up toward the edge facing section 17A. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Near Yankees Dugout""; ""Top Pick for Impressing a Guest"". ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the Legends Suite"". Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side.""""","HIGH - zone, rows, location and seat direction stated by the source"
17A,Legends and Champions Suites (11–29),Legends Suite,"""Positioned directly behind home plate and the dugouts; the closest seats to the action in the ballpark."" ""These seats are located behind the Yankees dugout"" and ""Sit in Sections 15-17 to be behind the Yankees' dugout"". ""Near Yankees Dugout"".",1,toward first base / right field,1-5,5,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 5.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 16, with seat numbers counting up toward the edge facing section 18. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Near Yankees Dugout,"" ""Top Pick for Impressing a Guest,"" ""Legends Suite,"" ""Rows 1-5"". ""These seats are located behind the Yankees dugout,"" ""we recommend these seats for impressing a guest,"" ""Premium seating area as part of the Legends Suite"". Fan review ""Row 1 is the first row behind the Yankees dugout in Sections 15A-17A."" Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side."" Zone extent restated on this page ""Legends Suite (Sections 14A through 27A for Yankees)"".""","HIGH - zone, rows, location and seat direction stated by the source"
17B,Legends and Champions Suites (11–29),Legends Suite,"""Positioned directly behind home plate and the dugouts; the closest seats to the action in the ballpark."" ""The Legends Suites comprises the first several rows of the lower bowl, stretching from dugout to dugout."" ""Sections 18-21 sit directly behind home plate. Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side.""",1,toward first base / right field,1-9,9,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 9.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 16, with seat numbers counting up toward the edge facing section 18. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Impressing a Guest"". ""Premium seating area as part of the Legends Suite"". Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side."" 17B is ""labeled 1-9"" and entered at Row 9, while 17A is ""labeled 1-5"" and entered at Row 5, and 17B does NOT carry the ""Near Yankees Dugout"" insight tag that 17A does - consistent with the A sections being the front (dugout-side) segment and the B sections sitting behind them.""","HIGH - zone, rows, location and seat direction stated by the source"
