zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Terrace Level,"Field Level (even) and Terrace Level (odd), 1–98","1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 69, 71, 73, 75, 77, 79, 81, 83, 85, 87",20,"No sentence on this page places Section 11 in the ballpark by field position; the only placement sentence returned is the zone-wide one: ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards."" Terrace Level zone text returned on this page (these sentences recur on every Terrace Level page in this batch and none of them names this section on its own): ""Odd-Numbered Lower Level Sections: Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards.""",3 different row ranges - see the section table,varies by section
Field Level,"Field Level (even) and Terrace Level (odd), 1–98","4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86",20,"""Field Boxes (Sections 16–58) These sections are located around the infield"". This is the only placement sentence returned, and it names a range beginning with this section rather than Section 16 alone. Field Level zone text returned on this page (these sentences recur on every Field Level page in this batch and none of them names this section on its own): ""Closest Seats to the Field: Field Level sections include even-numbered sections below 100 (e.g., 20, 40, etc.) and place fans closest to the action.""",9 different row ranges - see the section table,varies by section
not named by the source,"Field Level (even) and Terrace Level (odd), 1–98","23-24, 26-40, 42-50, 52-56, 58-62, 64-67",40,"The only locating statement is inside a Q&A answer ""This section is located between the Red Sox (visitor) dugout and home plate, and row 10 is roughly 40 rows from the field."" Note the answer names the visiting club as the Red Sox, i.e. it was written for one specific opponent. ""Terrace Level seats are the odd-numbered sections on the lower level of Camden Yards""; ""The first row sits 25-30 rows behind the field"".",6 different row ranges - see the section table,varies by section
Bleachers,"Field Level (even) and Terrace Level (odd), 1–98","90, 92, 94, 96, 98",5,"""Right-Center Field Seating: Located in Sections 90-98 below the main scoreboard in right-center field."" ""The Bleachers at Oriole Park at Camden Yards are located in Sections 90 through 98 in right-center field, positioned below the main video board and next to the out-of-town scoreboard."" (These two sentences are the zone-level location text served on this section page; the page carries no sentence placing Section 90 individually within the bleacher run, though a zone insight line names it: ""Sections 90 and 92 offer rare center-field-style views toward home plate."")",4 different row ranges - see the section table,varies by section
Club Level,Club Level (200s),"204, 206, 208, 210, 212, 214, 216, 218, 220, 222, 226, 228, 230, 242, 244, 246, 248, 250, 252, 254, 256, 258, 260, 262, 264, 268, 270, 272, 274, 276, 278, 280",32,"""For the best centered views, sections 230 and 242 are closest to home plate and offer some of the most desirable vantage points on the level."" Badge line ""Home Plate View"" and ""Desirable view from behind home plate"". This places 230 immediately on the first-base side of the home-plate centre point, with 242 the mirror section on the third-base side - consistent with the Club Level zone split ""204-240 along the first base side"" / ""242-280 along the third base side"".",4 different row ranges - see the section table,varies by section
All-Inclusive Picnic Perch / Left Field Club Level,Club Level (200s),282,1,"""Left Field Club Level: Located in Sections 272-288 on the Club Level overlooking left field."" and ""This area includes Sections 272 through 288 on the seating chart."" (Picnic Perch).","1-6, TB",TB
Left Field Club Level,Club Level (200s),"284, 286, 288",3,"""Left Field Club Level: Located in Sections 272-288 on the Club Level overlooking left field."" ""This area includes Sections 272 through 288 on the seating chart."" ""These sections provide a comfortable elevated vantage point of the field while keeping fans close to the social atmosphere of left field.""","1-6, TB",TB
Upper Level / 300-Level Seating,Upper Level (300s),"306, 308, 310, 312, 316, 318, 320, 322, 324, 326, 330, 332, 334, 336, 338, 340, 342, 344",18,"""300-Level Seating: Upper Level sections are labeled in the 300s on the seating chart."" ""Upper Level seating at Oriole Park at Camden Yards includes all sections labeled in the 300s."" ""For the best home plate views in the upper deck, consider Sections 330-342, which sit directly behind home plate..."" - NOTE that last sentence names 330-342 and therefore EXCLUDES Section 344; it appears on the page as zone context, not as a placement of 344.",3 different row ranges - see the section table,8
"Upper Level / 300-Level Seating, at the edge of the Home Plate upper-deck block",Upper Level (300s),328,1,"RateYourSeats headline tag on this section page ""Desirable view from behind home plate"". ""Upper Level seating at Oriole Park at Camden Yards includes all sections labeled in the 300s."" ""300-Level Seating: Upper Level sections are labeled in the 300s"". ""Home Plate View"". ""For the best home plate views in the upper deck, consider Sections 330-342, which sit directly behind home plate"".","1-5, 9-25",8
not named by the source,Upper Level (300s),"346, 348, 350, 352, 354, 356, 358, 360, 362, 364, 366, 368, 370, 372, 374, 376, 378, 380-382",20,"""Upper Level seating at Oriole Park at Camden Yards includes all sections labeled in the 300s."" ""These sections sit on the stadium's highest tier and typically contain up to 25 rows of seating."" ""For the best home plate views in the upper deck, consider Sections 330–342, which sit directly behind home plate.""",4 different row ranges - see the section table,8
Upper Level,Upper Level (300s),"384, 386, 388",3,"The page instead serves the generic tier text ""Upper Level seating at Oriole Park at Camden Yards includes all sections labeled in the 300s. These sections sit on the stadium's highest tier and typically contain up to 25 rows of seating."" and ""Because the Upper Level concourse sits directly behind the sections, fans will find restrooms, concessions, and food stands conveniently located nearby.""",1-25,8
