zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Dugout Boxes,Dugout Box and Champions Club (1-17),"1-6, 11-17",13,"Located in Sections 1–6 and 11–17 along the infield at field level; ""Sections 11–13 sit behind the visitor dugout""",4 different row ranges - see the section table,UNKNOWN
Champions Club,Dugout Box and Champions Club (1-17),7-10,4,"Sections 8 and 9, located directly behind home plate, are generally considered the most desirable seats",2 different row ranges - see the section table,UNKNOWN
"Primary Lower-Level Seating: Includes Sections 101–127, commonly referred to as Home Plate, Infield, Diamond, and Field Box seats",Main Level (100s),101,1,not stated by the source,"10-40, 41-44",44
not named by the source,Main Level (100s),102,1,not stated by the source,"3-40, 41-44",44
Primary Lower-Level Seating,Main Level (100s),"103, 124-126",4,"rateyourseats.com: ""Baseline sections (101-104 and 124-127) run down each baseline""; aviewfrommyseat.com tags section 125 ""along the 3rd base line"" and ""behind the netting"". (The rateyourseats page summary also referenced the first base side; the site-tagged location is 3rd base line.)",2 different row ranges - see the section table,44
Main Level,Main Level (100s),104-123,20,"Sections 105–123 sit behind the premium Champions Club and Dugout Box seating, meaning the first row in these sections is typically about 15 rows from the field.",4 different row ranges - see the section table,varies by section
Field Boxes,Main Level (100s),127,1,"rateyourseats.com: ""Sections 101-104 and 124-127 run down each baseline""",5-35,35
Bleachers / Left Field Bleachers,Main Level (100s),128-129,2,"rateyourseats.com: ""Left Field Bleachers...along the left field line"" with ""angled perspective of the field from the left field corner""; aviewfrommyseat.com tags it ""outfield""","1-12, plus 13-15",15
Bleachers,Main Level (100s),130,1,"rateyourseats.com: ""Left Field Bleachers"" - ""Located in Sections 128-131"" along the left field line","1-12, plus 13-15",15
Bleachers with Backs,Main Level (100s),131,1,"rateyourseats.com: ""Left field corner"" with ""angled view of the field from the left field corner looking toward home plate""",1-16,15
Treasure Island Cove,Main Level (100s),132-135,4,"rateyourseats.com: ""Outfield seating in right field"" - ""tucked under the overhang""",1-4,4
Overlook,Main Level (100s),"136, 138",2,"rateyourseats.com: ""right field"" and ""Sections 132-138 make up Outfield seating in right field""",1-7,7
Overlook area,Main Level (100s),137,1,"rateyourseats.com: ""Outfield seating in right field"" (part of sections 132-138)",1-7,7
Corona Porch,Main Level (100s),139-140,2,"rateyourseats.com: ""Sections 139-140 along the right field line""; aviewfrommyseat.com tags section 140 ""outfield""",2 different row ranges - see the section table,UNKNOWN
Terrace Level,Terrace Level (200s),201-228,28,"rateyourseats.com: UNKNOWN (no location stated for this section); aviewfrommyseat.com: ""Section 203 is tagged with: along the 1st base line"", listed under ""200 Level""",5 different row ranges - see the section table,varies by section
Treasure Island Home Run Deck,Terrace Level (200s),229-234,6,"Located in Sections 229-234 and 329-334 along the left field line""; ""Positioned along the left field line where long fly balls often land",2 different row ranges - see the section table,varies by section
not named by the source,Terrace Level (200s),237-240,4,Behind/Side Stage (most shows),4 different row ranges - see the section table,1
View Level,View Level (300s),301-327,27,"Sits above the Terrace seats""; ""Each section contains about 14 rows of seating and is accessed by a staircase from the Terrace concourse.",2 different row ranges - see the section table,1
Treasure Island Home Run Deck,View Level (300s),329-334,6,"Known as the Home Run Porch View Level, these are some of the highest outfield seats in the ballpark""; ""Located in Sections 229-234 and 329-334 along the left field line","1-16"")",1
Thrivent Club,"Clubs, suites and other named areas","A, C, D, E, F, G, H, J, K, L, M, N, P, Q, R",15,"""Located in Sections A–R directly above the lower level along the infield."" The page also places the Thrivent Club ""directly above the 100 Level along the infield"".",1-12,12
Thrivent Clu,"Clubs, suites and other named areas",B,1,"""Located in Sections A–R directly above the lower level along the infield."" The page also places the Thrivent Club ""directly above the 100 Level along the infield"".",1-12,12
Standing room,"Clubs, suites and other named areas",Budweiser Roof Deck,1,One of the most popular SRO gathering areas is the Budweiser Roof Deck in left field.,UNKNOWN,UNKNOWN
Skyline Deck,"Clubs, suites and other named areas","S, T, U, V",4,"""Located in Sections S–V along the left field line of the ballpark."" The page also says these seats ""sit down the line"".",2 different row ranges - see the section table,varies by section
