zone,level,sections,section_count,where_it_is,typical_rows,entry_row
The W Club,Club Box Level (3-32),3-5,3,The W Club seats occupy rows 1-12 of sections 3-5 down the left field line,3 different row ranges - see the section table,varies by section
Club Box Outfield,Club Box Level (3-32),"6-7, 28-32",7,"Seated behind W Club and Maker's Mark Barrel Room (Club Box Outfield, sections 3-7 and 28-32); 'Bullpen Box: Front rows of Sections 6-7 and 30-31' - 'New seats added where the bullpens used to be before being moved under the bleachers'",3 different row ranges - see the section table,varies by section
Club Box Infield,Club Box Level (3-32),"8-12, 23-27",10,"Located behind dugouts (Club Box Infield); Maker's Mark Barrel Room rows are ""just behind first base""",4 different row ranges - see the section table,varies by section
1914 Club,Club Box Level (3-32),"13-16, 18-22",9,Directly behind home plate and 'closest to the Visiting Team's dugout'; positioned 'between the Cubs and visitor dugouts' with 'short rows and close proximity to the field',4 different row ranges - see the section table,varies by section
Field Box Outfield,Field Box Level (100s),"101, 103, 105-108, 127-134",14,"Field Box sections (100-level) sit between Club Box and Terrace seats""; ""Slight elevation with all seats within ~30 rows of the field.",4 different row ranges - see the section table,varies by section
Field Box,Field Box Level (100s),"102, 104, 114, 116-118",6,"Field Box sections (100-level) sit between Club Box and Terrace Box seats""; ""slight elevation with all seats within ~30 rows of the field",2 different row ranges - see the section table,varies by section
Field Box Infield,Field Box Level (100s),"109-111, 123-126",7,"Field Box sections (100-level) sit between Club Box and Terrace seats""; ""Slight elevation with all seats within ~30 rows of the field.",1-15,varies by section
Field Box Home Plate,Field Box Level (100s),"112-113, 115, 119-122",7,"Field Box sections (100-level) sit between Club Box and Terrace seats""; ""Slight elevation with all seats within ~30 rows of the field.",2 different row ranges - see the section table,varies by section
Terrace Box,Terrace Level (200s),"202-206, 209-210, 212-213, 215-218, 220-223, 226, 228-231, 233",23,"Terrace Box seats are described as ""Positioned above the main walkway, offering a clear and comfortable view of the field""; site groups sections 202-208 and 227-233 as the outfield Terrace sections",11 different row ranges - see the section table,varies by section
Terrace Boxes,Terrace Level (200s),"207, 214",2,"""Head-on View (most shows)"" (concert descriptor); no baseball-specific location wording given","1-20, 21-22",Entrances to this section are located at Rows 1 and 22
Terrace Box Outfield,Terrace Level (200s),208,1,"Located between 3rd base and the left field foul pole, and is separated from the field of play by two sections located in front",1-22,Entrances to this section are located at Rows 1 and 22
"aviewfrommyseat lists it as ""Terrace Box",Terrace Level (200s),225,1,"""along the 1st base line"" and ""behind away team dugout"". RateYourSeats gives no location wording",1-23,Entrances to this section are located at Rows 1 and 22
Terrace Reserved Outfield,Terrace Level (200s),227,1,sections 202-208 and 227-233 which are the outfield version of Preferred seats,"1-20, 21-22",Entrances to this section are located at Rows 1 and 22
Terrace,Terrace Level (200s),232,1,"""Outfield version of Preferred seats"" per the site's Terrace outfield grouping",1-30,UNKNOWN
Upper Box Outfield,Upper Box (300s),"303-304, 330-331",4,Sections 303-304 and 330-331 constitute the Upper Box Outfield areas; part of the upper deck with 'close to 10 rows of seating',2 different row ranges - see the section table,varies by section
