zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Diamond Seats,Field Level - Diamond and Scout Seats (1-25),1-5,5,"""Located in Sections 1-5, directly behind home plate within the first eight rows"" (rateyourseats.com)",3 different row ranges - see the section table,varies by section
Scout Seats,Field Level - Diamond and Scout Seats (1-25),22-25,4,"""Located directly behind home plate""; these sections ""sit just behind the Diamond Club seating, with only eight rows of Diamond Club seats separating them from the backstop wall"" (rateyourseats.com)",A-H,varies by section
not named by the source,Lower Bowl (100s),"101-106, 109, 133, 137-138",10,"Sitting between the corner bases on the lower tier of Great American Ball Park""; described among ""the back rows (EE and higher) along the first base line (Sections 127-133)",6 different row ranges - see the section table,varies by section
Field Level Down the Line,Lower Bowl (100s),"107-108, 110-112, 134-136, 139",9,"""Field Level Down the Line (Baseball)"" - described as down the line within the lower tier sections, on either the first or third base side (rateyourseats.com); the specific side for section 107 is not stated.",5 different row ranges - see the section table,varies by section
Field Level Infield,Lower Bowl (100s),"113-121, 127-129",12,"Located in the first five rows along the infield near the dugouts""; page lists ""Sections 114 and 132: Rows A-E"" as Dugout Box. ""Sections on the third base side (114-119) sit near the visiting team dugout.",5 different row ranges - see the section table,varies by section
Scout Seats,Lower Bowl (100s),122-126,5,"""Scout Seats at Great American Ball Park include Sections 22-25 and 122-126, located directly behind home plate""; sections 122-126 ""sit directly behind"" the Scout Box seats (22-25), ""with only eight rows of Diamond Club seats separating them from the backstop wall"".",2 different row ranges - see the section table,varies by section
Dugout Box,Lower Bowl (100s),130-132,3,"""Sitting between the corner bases on the lower tier of Great American Ball Park"" - first base line near the Reds dugout",2 different row ranges - see the section table,PP
Sun Moon Deck,Lower Bowl (100s),"140-141, 144-146",5,"Part of Sections 140-146 in right field (Sun/Moon Deck). ""Section 145 is behind the stage or to the side of the stage for most concerts.""",5 different row ranges - see the section table,varies by section
Sun / Moon Deck,Lower Bowl (100s),142-143,2,"Located in Sections 140 through 146 along the right field wall""; ""Right Field Home Run Territory",2 different row ranges - see the section table,H
Club Seats,Club Home (200s),220-228,9,"Located directly behind home plate""; ""elevated views behind home plate, providing a centered perspective of the entire field",A-C,varies by section
Club Seats,Champions Club (300s),301-307,7,"Club Seating Sections (301-307) run along the first base side of the stadium, extending from near home plate toward shallow right field.",5 different row ranges - see the section table,varies by section
Kroger Bleachers,Mezzanine and View Level Box (400s),401-406,6,"Located above the left field wall at the highest tier of the outfield""; ""The Kroger Bleachers at Great American Ball Park are located behind the left field wall",3 different row ranges - see the section table,varies by section
Mezzanine,Mezzanine and View Level Box (400s),411-419,9,"Located along the third base side of the ballpark on the upper seating level""; positioned ""farther down the line with a more angled view",2 different row ranges - see the section table,R
View Level Box Sections,Mezzanine and View Level Box (400s),420-428,9,Sections 420–437 are referred to as the View Level Box sections and are the closest seats to the field on the View Level.,"A-F"")",F
View Level Box,Mezzanine and View Level Box (400s),429-437,9,"""View Level Box Sections (400 Level): Sections 420-437, which sit slightly lower and closer to the field."" ""Sections 420-437 are referred to as the View Level Box sections and are the closest seats to the field on the View Level.""","A-F"")",F
View Level,View Level (500s),509-537,29,"""Sections 509-519, located along the third base side, offer similar views of the field but require a slight head turn to see the videoboard located above left field."" (shared View Level blurb covering this section's number range; page does not give a section-specific location sentence.)",2 different row ranges - see the section table,A
Field seats,"Clubs, suites and other named areas","Field 1, Field 10, Field 11, Field 12, Field 13, Field 14, Field 15, Field 16, Field 17, Field 18, Field 2, Field 3, Field 4, Field 5, Field 6, Field 7, Field 8, Field 9",18,"""Sections closest to the stage will obviously be home to the best views from the field level. For a standard seating setup this will be seats in sections F1-F6 with sections F3-F4 being closest to the center of the stage."" The page adds that ""the layout of the sections on the field can change for each show"".",UNKNOWN,UNKNOWN
Standing room / social area,"Clubs, suites and other named areas",Fioptics District,1,"""Located in the space formerly occupied by Sections 408-410"".",UNKNOWN,UNKNOWN
Clubs and hospitality,"Clubs, suites and other named areas","Handlebar Rail, PRESS CLUB",2,"""located directly behind home plate at the same viewing height as the club level"".",UNKNOWN,UNKNOWN
Standing room,"Clubs, suites and other named areas","Handlebar SRO, Standing Room Only",2,"For concerts the source places it ""Behind/Side Stage (most shows)"".",UNKNOWN,UNKNOWN
General admission,"Clubs, suites and other named areas",Redlegs Landing,1,not stated by the source,UNKNOWN,UNKNOWN
