zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Dugout Club,Dugout Club (1DC–15DC),"1DC-15DC, 2DC-10DC",13,"The Dugout Club sections run from dugout to dugout directly behind home plate on the field level at Dodger Stadium."" ""Sections span from the Dodgers dugout to the visitors dugout, placing fans directly next to the action."" ""Behind Home Plate (Between the Dugouts) Sections 1DC, 2DC, 3DC, 4DC, 5DC, and 7DC sit directly behind home plate between the two dugouts.",3 different row ranges - see the section table,UNKNOWN
Field Level,Field Level (1–53),"1-53, 2-52",53,"The Field Level is the lowest standard seating tier at Dodger Stadium, stretching from foul pole to foul pole in the double-digit and single-digit sections."" ""Sections 1-25 are located along the infield, while sections in the 26-53 range extend farther down the baselines and near the foul poles."" ""Fans hoping to sit near the Dodgers dugout should look toward odd-numbered sections 15-27, while visiting fans hoping to sit near their team's dugout should consider even-numbered sections 14-26.",9 different row ranges - see the section table,varies by section
Loge Level,Loge Level (101–168),"101-167, 102-168",68,"""Sections 101 and 102 are located directly behind home plate"". ""Excellent Viewing Height: Elevated just enough for strong sightlines while still feeling close to the field."" ""Best Seats Near Home Plate: Sections 101 and 102 offer the most centered views of the game."" ""Sections are numbered based on their side of the field: even-numbered sections run down the first base side, while odd-numbered sections run down the third base side.""",4 different row ranges - see the section table,varies by section
Club Level,Executive Club (229–261 odd),229-261,17,"""The Club Level at Dodger Stadium sits below the Reserve Level, creating a nicely elevated vantage point for watching the game.""",3 different row ranges - see the section table,varies by section
Pavilion Seats,Pavilion (301–316),"301-315, 302-316",16,"By the paragraph's own odd/even rule, section 302 falls in the Right Field Pavilion. Left Field Pavilion paragraph ""The Left Field Pavilion, sometimes referred to as the Spectrum Pavilion, includes odd-numbered sections 301–315 located beyond the outfield wall in left field. The Dodgers bullpen is closest to section 301, giving fans in this area a close look at relief pitchers warming up throughout the game.""",2 different row ranges - see the section table,varies by section
Club Suites,"Club Suites (201LS–233LS, E1, E2)","E1, E2, 201LS-233LS, 202LS-232LS",35,"""Much of this level is occupied by private suites located behind home plate and along the right field side. Because of this layout, individual ticketed seating is primarily located along the left field line."" ""The main individual seating sections on this level are known as the Executive Club seats, which run from section 229 through section 261.""","1, SRO-ADD",UNKNOWN
Infield Reserve,"Reserve Level (1–61, tagged IR, LR or R)","1IR-11IR, 15IR, 19IR, 2IR-10IR, 16IR, 20IR, 21R",16,"Reserve Level ""Sections 1-11 are located between the dugouts and behind home plate, making them the most centered seats."" ""These sections also do not have Upper Reserve sections directly above them."" Seating and Ticket Q&A answer, section-specific: ""Reserve Section 9 is located just on the third base side of home plate, and has a total of 20 lettered rows starting with Row A at the very front and Row B being the second row from the front.""",5 different row ranges - see the section table,varies by section
Reserve / Value Reserve,"Reserve Level (1–61, tagged IR, LR or R)","13R, 17R, 25R, 29R, 33R, 12R-14R, 18R, 22R, 26R, 30R, 34R",12,"""in the upper level down the first-base line, just past first base"" (from the page's Q&A answer: ""These names all refer to the upper level Section 34, which is in the upper level down the first-base line, just past first base."")",2 different row ranges - see the section table,AA
Lower Reserve,"Reserve Level (1–61, tagged IR, LR or R)","23LR, 27LR, 31LR, 35LR, 39LR, 43LR, 47LR, 51LR, 55LR, 59LR, 24LR, 28LR, 32LR, 36LR, 40LR, 44LR, 48LR, 52LR, 56LR, 60LR",20,"Q&A ""Reserve Level Section 52 is located on the 3rd seating tier at Dodger Stadium, down the first base line near the right field corner.""",A-V,V
Value Reserve,"Reserve Level (1–61, tagged IR, LR or R)","37R, 41R, 45R, 49R, 53R, 57R, 61R, 38R, 42R, 46R, 50R, 54R, 58R",13,"""Section 38RS is on the Reserve Level at Dodger Stadium and between first base and the right field foul pole.""",AA-JJ,AA
Top Deck,Top Deck (1TD–13TD),"1TD-13TD, 2TD-12TD",13,"""Views from the Top Deck are among the furthest from the field at Dodger Stadium, but the elevated height provides a full perspective."" ""Sections 1TD-3TD sit directly behind home plate and are generally considered the most desirable seats on this level thanks to their centered location. As sections extend toward the baselines, the viewing angle becomes more extreme.""",2 different row ranges - see the section table,varies by section
