zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Lower Reserved Outfield,Field Level (100s),"101, 103, 107-109, 111, 113",7,"Located just beyond the right center field wall"", ""just beneath the bullpens""; ""Sections 101-113 make up outfield seating in Right Field at Progressive Field.",2 different row ranges - see the section table,varies by section
not named by the source,Field Level (100s),"117, 125, 128-131, 134, 136, 138",9,Located on the first base side beyond the visitors' dugout,3 different row ranges - see the section table,varies by section
Field Level Infield,Field Level (100s),"140, 142, 144, 146, 148-160, 162-164",20,Infield seats at Field Level are sometimes referred to as Diamond Box and Field Box Front Back and Middle.,3 different row ranges - see the section table,HH
Field Level Down the Line,Field Level (100s),"165, 167, 169-172, 174-179",12,"Like many ballparks, the further down the line you get, the worse the angle towards home plate gets."" ""Sections 165-174 will get shade before any of the other sections in this location, though 170-174 might struggle to see the LF scoreboard.",4 different row ranges - see the section table,varies by section
Bleachers,Field Level (100s),180-185,6,"Left Field Bleachers seating includes Sections 180-185, located in a grandstand above the left field wall at Progressive Field. This elevated setup places fans directly in home run territory while still providing a strong view back toward home plate.",2 different row ranges - see the section table,varies by section
Mezzanine Outfield,Mezzanine and Press Level (300s),"303-304, 307, 309, 311, 316",6,"Mezzanine Outfield seats are located in the second deck of outfield seating in Right Field. These aren't the outfield seats you choose to sit in for catching a home run ball -- they're just too far away. In addition, they are among the last sections in the park to get shade. They're good bargain seats as long as it's not too hot and sunny.",A-U,U
Club Seats,Mezzanine and Press Level (300s),"326, 328, 330, 332, 334, 336, 338, 340, 342, 344, 346, 348",12,"Located in Sections 326-348 with an elevated view of the entire field""; ""located on the Press Level in Sections 326-348, primarily along the first base side of the field",3 different row ranges - see the section table,T
Outfield Above Mezzanine,Upper Level (400s),403-419,17,The third deck of seating in right field is above the mezzanine.,A-F,F
Upper Level Down the Line,Upper Level (400s),"420-430, 469-478",21,Upper Level Down the Line,A-F,F
not named by the source,Upper Level (400s),"431-432, 434",3,not stated by the source,A-F,F
Upper Level Infield,Upper Level (400s),"436-438, 440, 442, 444, 446-448, 450-465, 467-468",27,Upper Level Infield seats are made up of 400 and 500 Level seats.,A-F,F
not named by the source,Upper Level (500s),"519-521, 523, 525, 533",6,The third deck of seating in right field is above the mezzanine.,A-X,A
Upper Level Down the Line,Upper Level (500s),528-529,2,Upper Level Down the Line,A-X,A
Upper Level Infield,Upper Level (500s),"537, 541, 546, 548, 550-551, 557-559, 561, 564, 567",12,"Upper Level Infield"" seats ""are made up of 400 and 500 Level seats",A-X,A
Home Plate View,Upper Level (500s),552-556,5,"Home Plate View""; ""Upper Level Infield seats are made up of 400 and 500 Level seats",A-X,A
Lexus Carnegie Club & Lounge,"Clubs, suites and other named areas","Carnegie Club 1, Carnegie Club 2, Carnegie Club 3, Carnegie Club 4, Dugout Lounge 1, Dugout Lounge 2, Dugout Lounge 3, Dugout Lounge 4, Dugout Lounge 5, Dugout Lounge 6",10,"""Carnegie Club Seats & Lounges are located directly behind home plate, positioned in front of Sections 150-157."" The page divides the area into ""Carnegie Club Seats (Sections CC1-CC4)"" and ""Carnegie Lounges (Field Level)"", and says the club seats are ""Positioned slightly elevated for a perfect view of the field"" while the field-level lounges are ""Positioned closest to the field, even closer than the club seats above"".",4 different row ranges - see the section table,UNKNOWN
Standing room,"Clubs, suites and other named areas",Standing Room Only,1,"The standing room only areas at Progressive Field are found at the Home Run Porch (above the left field wall), the Market Pavilion (behind the center field sections), the East Pedestrian Bridge, and behind sections 119-148 and 170-179 on the lower level, and behind sections 303-317 on the second tier of seating in right field.",UNKNOWN,UNKNOWN
The Corner,"Clubs, suites and other named areas",The Corner Drink Rails,1,"""The Corner is located in the Right Field District at Progressive Field, serving as a central hub for social activity before and during games."" The page describes the drink rails themselves as a ""Ticketed standing section along a ledge"".",UNKNOWN,UNKNOWN
General admission,"Clubs, suites and other named areas",Upper Outfield Terrace,1,not stated by the source,UNKNOWN,UNKNOWN
