section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate"" (field level, innermost arc).",24,toward first base / right field,1-5,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 2. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Part of the Truist Club (Sections 1-9); only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service. Section 5 is dead centre behind home plate.,"HIGH - zone, rows, location and seat direction stated by the source"
2,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate"" (field level, innermost arc).",23,toward first base / right field,1-4,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 3. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Part of the Truist Club (Sections 1-9); only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service.,"HIGH - zone, rows, location and seat direction stated by the source"
3,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate"" (field level, innermost arc).",22,toward first base / right field,1-4,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the edge facing section 4. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Part of the Truist Club (Sections 1-9); only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service.,"HIGH - zone, rows, location and seat direction stated by the source"
4,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate""; ""Sections 4 and 6 offer excellent views just to either side of the plate.""",21,toward first base / right field,1-4,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Part of the Truist Club (Sections 1-9); only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service. 'For baseball games, desirable view from behind home plate.'","HIGH - zone, rows, location and seat direction stated by the source"
5,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate""; ""Section 5 sits directly behind home plate"" (dead centre).",20,toward first base / right field,1-4,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Part of the Truist Club (Sections 1-9); Section 5 is confirmed dead-centre behind home plate — the most centered seat in the ballpark. Only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service. 'For baseball games, desirable view from behind home plate.'","HIGH - zone, rows, location and seat direction stated by the source"
6,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate""; ""Sections 4 and 6 offer excellent views just to either side of the plate.""",19,toward first base / right field,1-4,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Part of the Truist Club (Sections 1-9); only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service. 'For baseball games, desirable view from behind home plate.'","HIGH - zone, rows, location and seat direction stated by the source"
7,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate"" (field level, innermost arc).",18,toward first base / right field,1-4,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 8. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Part of the Truist Club (Sections 1-9); only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service.,"HIGH - zone, rows, location and seat direction stated by the source"
8,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate"" (field level, innermost arc).",17,toward first base / right field,1-4,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 9. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Part of the Truist Club (Sections 1-9); only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service.,"HIGH - zone, rows, location and seat direction stated by the source"
9,Field Level (1-42),Truist Club,"Truist Club — ""Located in Sections 1–9 directly behind home plate"" (field level, innermost arc).",16,toward first base / right field,1-5,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 8, with seat numbers counting up toward the edge facing section 10. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Part of the Truist Club (Sections 1-9); zone page states 'Section 9 is the only section with five rows' (the rest of the Truist Club sections have four) — confirmed here by 'Rows in Section 9 are labeled 1-5'. Only ~80 seats total across all 9 sections; ~58 feet from home plate; 23-inch plush leather seats (widest in stadium); all-inclusive dining/in-seat service.,"HIGH - zone, rows, location and seat direction stated by the source"
10,Field Level (1-42),Dugout Club,"Dugout Club — ""Sections 10–21 down the first base line""; field level, within roughly the first 15 rows from the field.",15,toward first base / right field,1-15,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 9, with seat numbers counting up toward the edge facing section 11. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,wider mesh seats with armrests/cupholders; access to Dugout Corner Lounges (Jim Beam Lounge between Sections 11-12). Protective netting is installed in front of these sections.,"HIGH - zone, rows, location and seat direction stated by the source"
