section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
25,Diamond Club (field level),Diamond Club,positioned directly behind home plate between the two dugouts,0,behind home plate,1-8,3,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 3.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 27. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""There is some amount of netting or screening in front of sections 25-35"". Front row sits just behind the protective netting and is extremely close to the action. Located between the two dugouts. Site also states ""Section 35 includes wheelchair-accessible seating in Row B"" (applies to section 35, not 25). Sun/shade and roof coverage","HIGH - zone, rows, location and seat direction stated by the source"
27,Diamond Club (field level),Diamond Club,"sections 25, 27, 33, and 35, positioned directly behind home plate between the two dugouts",0,behind home plate,1-8,3,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 3.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 25, with seat numbers counting up toward the edge facing section 33. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""There is some amount of netting or screening in front of sections 25-35"". Front row sits just behind protective netting. Site notes the first row behind the dugouts begins at Row 5 (general park note). Site also states ""Section 35 includes wheelchair-accessible seating in Row B"" (applies to section 35). Sun/shade and roof coverage","HIGH - zone, rows, location and seat direction stated by the source"
33,Diamond Club (field level),Diamond Club,positioned directly behind home plate between the two dugouts,0,behind home plate,1-8,3,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 3.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 27, with seat numbers counting up toward the edge facing section 35. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""There is some amount of netting or screening in front of sections 25-35"". the first row behind the dugouts begins at Row 5. Site also states ""Section 35 includes wheelchair-accessible seating in Row B"" (applies to section 35). Sun/shade and roof coverage","HIGH - zone, rows, location and seat direction stated by the source"
35,Diamond Club (field level),Diamond Club,positioned directly behind home plate between the two dugouts,0,behind home plate,1-8,3,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 3.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 33, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""There is some amount of netting or screening in front of sections 25-35"". ""Section 35 includes wheelchair-accessible seating in Row B"". ""The first row behind the dugouts begins at Row 5"". Sun/shade and roof coverage","HIGH - zone, rows, location and seat direction stated by the source"
102,Main Level and Bleachers (100s),Main Level,"Behind/Side Stage (most shows)"" (concert layout); part of ""Prime Lower Level Seats: Sections 102-151""; ""Main Level Outfield (102-110): Located in right field and right-center",24,toward first base / right field,"23-38, 39A",39A,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 39A.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Sections 102-105: Limited or obstructed views of the center field videoboard"". ""102 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance"". ""Wheelchair accessible seating located behind the top rows"". Sun/shade, netting, roof coverage, dugout adjacency","HIGH - zone, rows, location and seat direction stated by the source"
103,Main Level and Bleachers (100s),not named by the source,"""Behind/Side Stage (most shows)"" (concert layout)",23,toward first base / right field,"23-38, 39A",39A,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 39A.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""103 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance."" Obstructed views, sun/shade, netting, roof coverage, dugout adjacency, accessible rows UNKNOWN for this section.","MEDIUM - rows confirmed, ticket zone not named by the source"
104,Main Level and Bleachers (100s),Main Level,"Main Level Outfield (102-110): Located in right field and right-center""; ""Section 104 is an alcohol-free family section",22,toward first base / right field,"23-38, 39A",39A,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 39A.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Sections 102-105: Limited or obstructed views of the center field videoboard"". Alcohol-free family section. Sun/shade, netting, roof coverage, dugout adjacency, accessible rows","HIGH - zone, rows, location and seat direction stated by the source"
105,Main Level and Bleachers (100s),not named by the source,"""Behind/Side Stage (most shows)"" (concert layout)",21,toward first base / right field,"23-38, 39A",39A,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 39A.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Varies by row: Row 23: 4; Rows 24-25: 6; Rows 26-27: 8; Rows 28-30: 10; Row 31: 11; Row 32: 12; Row 33: 13; Row 34: 14; Row 35: 15; Row 36: 16; Row 37: 17; Row 38: 18,"""Wheelchair seating is available behind Row 38"". ""For concerts, Section 105 May Have a Limited View"" and ""may restrict or limit your view of the performance"". Sun/shade, netting, roof coverage, dugout adjacency","MEDIUM - rows confirmed, ticket zone not named by the source"
106,Main Level and Bleachers (100s),Main Level,Sections 102-151 wrap around the entire ballpark,20,toward first base / right field,23-41,41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows 23-40: 24 seats (labeled 1-24); Row 41: 19 seats (labeled 1-19),"""Sun will be in your eyes in the evening"". ""106 is behind the stage or to the side of the stage for most concerts"". Netting, roof coverage, dugout adjacency, accessible rows UNKNOWN for this section.","HIGH - zone, rows, location and seat direction stated by the source"
107,Main Level and Bleachers (100s),not named by the source,"Behind/Side Stage (most shows)"" (concerts); for baseball, part of the Main Level seating that ""wraps around the entire ballpark",19,toward first base / right field,23-41,41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows 23-40: 24 seats (labeled 1-24); Row 41: 19 seats (labeled 1-19),"""For concerts, Section 107 May Have a Limited View"" - it is ""behind the stage or to the side of the stage for most concerts."" Sun/shade, netting, roof coverage, dugout adjacency, accessible rows","MEDIUM - rows confirmed, ticket zone not named by the source"
108,Main Level and Bleachers (100s),Main Level,Sections 102-151 wrap around the entire ballpark,18,toward first base / right field,23-41,41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows 23-40: 24 seats (labeled 1-24); Row 41: 19 seats (labeled 1-19),,"HIGH - zone, rows, location and seat direction stated by the source"
109,Main Level and Bleachers (100s),Main Level,"Part of the Main Level seating that ""wraps around the entire ballpark""; page lists ""Foul Territory Sections (111-150)"" separately",17,toward first base / right field,23-41,41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows 23-27: 21 (1-21); Rows 28-32: 20 (1-20); Rows 33-38: 19 (1-19); Rows 39-40: 18 (1-18); Row 41: 14 (1-14),"""Wheelchair accessible seating located behind the top rows"". Obstructed views, sun/shade, netting, roof coverage, dugout adjacency UNKNOWN for this section.","HIGH - zone, rows, location and seat direction stated by the source"
110,Main Level and Bleachers (100s),Main Level,Main Level Outfield (102-110): Located in right field and right-center,16,toward first base / right field,23-41,41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 23: 5; Row 24: 6; Rows 25-26: 7; Row 27: 8; Row 28: 9; Row 29: 10; Rows 30-31: 11; Row 32: 12; Row 33: 13; Rows 34-35: 14; Row 36: 15; Row 37: 16; Row 38: 17; Rows 39-40: 18; Row 41: 15,"Page carries the general note ""Sections 102-105: Limited or obstructed views of the center field videoboard"" (does not include 110). Sun/shade, netting, roof coverage, dugout adjacency, accessible rows UNKNOWN for this section.","HIGH - zone, rows, location and seat direction stated by the source"
111,Main Level and Bleachers (100s),Main Level,Foul Territory Sections (111-150): Up to 41 rows per section. Row 1 is closest to the field. Entrances located at the back of the section.,15,toward first base / right field,11-41,41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 110, with seat numbers counting up toward the edge facing section 112. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Varies by row: from 1 seat in Row 11 up to 23 seats in Rows 39-40; Row 41 has 19 seats,"""Wheelchair accessible seating located behind the top rows"". Obstructed views, sun/shade, netting, roof coverage, dugout adjacency UNKNOWN for this section.","HIGH - zone, rows, location and seat direction stated by the source"
112,Main Level and Bleachers (100s),Premier Seats,"Located on the Main Level in sections 112-124 and 136-148, covering the infield and foul territory on both sides of the stadium.",14,toward first base / right field,1-41,41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 111, with seat numbers counting up toward the edge facing section 114. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 1: 2 (15-16); Row 2: 4 (13-16); Row 3: 5 (12-16); Row 4: 7 (10-16); Row 5: 9 (8-16); Row 6: 10 (7-16); Row 7: 12 (5-16); Row 8: 14 (3-16); Rows 9-40: 16 (1-16); Row 41: 13 (1-13),"""All Premier Seats are located behind protective netting"". Mariners dugout is in front of sections 121-124 (general note, not this section). Premier Seats described as padded seating with extra legroom. Sun/shade, roof coverage, accessible rows","HIGH - zone, rows, location and seat direction stated by the source"
