zone,level,sections,section_count,where_it_is,typical_rows,entry_row
TD Lounge,Field Level clubs (1-32),1-5,5,"Sections 1-5, 21-26, and 122-125 offer elite, centered views"" and ""TD Lounge Club seating includes Sections 1-5, located directly behind home plate and between the dugouts.",1-5,UNKNOWN
KPMG Blueprint Club,Field Level clubs (1-32),"16-22, 23A",8,"""Sections 16-22 sit just behind the visitor dugout near home plate."" and ""KPMG Blueprint Club seating includes Sections 16-22, located just behind the visitor dugout on the first base side at Rogers Centre."" and ""For baseball games, these seats are located behind the visitor dugout"".",2 different row ranges - see the section table,UNKNOWN
Rogers Banner Club,Field Level clubs (1-32),"23-28, 23B",7,"""Sections 23-32 span from behind home plate to directly behind the Blue Jays dugout"" and ""Sections 23-25: Behind home plate"" and ""Sections 29-32: Directly behind the Blue Jays dugout"".",1-8,UNKNOWN
Banner Club,Field Level clubs (1-32),29-32,4,"""Near Blue Jays Dugout""; ""These seats are located behind the Blue Jays dugout"". The 29-32 grouping line (""Sections 29-32: Directly behind the Blue Jays dugout"") is carried on the sibling section pages.",1-11,UNKNOWN
100 Level Outfield,100 Level (101-148),"104-105, 142-143, 101A-103A, 144A-148A, 101B-103B, 144B-148B",20,"The only placement text on the page is the concert line ""146A is behind the stage or to the side of the stage for most concerts."" The zone range copy ""100 Level Outfield seating includes Sections 101-103 (right field) and 142-148 (left field)"" places 142-148 in left field.",10 different row ranges - see the section table,varies by section
not named by the source,100 Level (101-148),"115-134, 104B",21,"""Prime Lower Bowl Location: Sections 108-141 in foul territory closest to the field"". ""Home Plate View"". ""Desirable view from behind home plate"" and ""Head-on view of the performance for end-stage concerts"". The page ALSO carries the sibling-range line ""Best Seats Behind Home Plate: Sections 1-5, 21-26, and 122-125 offer elite, centered views"" - which does NOT include 127, even though 127's own insight bullet says ""Home Plate View"".",10 different row ranges - see the section table,varies by section
100 Level,100 Level (101-148),108-114,7,"""Sections 108-141 in foul territory closest to the field"".",6 different row ranges - see the section table,varies by section
Field Level,100 Level (101-148),135-141,7,"The only placement text is the Field Level zone copy carried on the page: ""Sections 108-141 in foul territory closest to the field"".",6 different row ranges - see the section table,varies by section
200 Level,200 Level (204-244),204,1,"The only placement text is the 200 Level zone copy carried on the page: ""The 200 Level at Rogers Centre sits on the second deck of seating, wrapping from the infield to the outfield."" The page does not say which end of the park 204 is at.",1-7,7
not named by the source,200 Level (204-244),"205-207, 210-223, 225-244, 224A, 224B",39,"""Sections 221-227 are part of the Home Plate Terrace (Rogers Terrace Club) - a reimagined premium space located directly behind home plate.""; ""Sections 221-227 sit directly behind home plate on the 200 level.""; ""Rogers Terrace-also known as the Home Plate Terrace Club-includes Sections 221-227, located directly behind home plate on the 200 level of Rogers Centre.""",7 different row ranges - see the section table,varies by section
not named by the source,500 Level (508-540),"508-526, 524A, 524B",21,"""Located directly behind home plate"". Also on the page, from the 500 Level zone copy: ""Infield seats are the best overall option on the 500 level.""",7 different row ranges - see the section table,5
500 Level,500 Level (508-540),527-540,14,"""The 500 Level is the highest seating tier at Rogers Centre, wrapping around the entire stadium above the 200 and 300 levels."" The page also carries the 500 Level Infield-category text ""Infield seats are the best overall option on the 500 level."" and ""Located directly behind home plate"". that ""Located directly behind home plate"" phrase is the generic 500 Level Infield-category description, not a sentence naming Section 527 itself; the same phrase was returned on the 533 and 534 pages, and the zone page defines the infield block as ""Infield (Sections 522-526)"", which does NOT include 527.",7 different row ranges - see the section table,5
W 11,Accessible platform (W 11),W 11,1,not stated by the source,UNKNOWN,UNKNOWN
