section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,Promenade Level (1-40),Promenade Level Down the Line,not stated by the source,12,toward first base / right field,9-30,30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 2. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Obstructed/Limited Views'. 'For football games at Marlins Park, right field sections can not see the entire field. Obstructed sections include Field sections 1-4, outfield sections 134-141 and sections 201-204 and 302-305.' Fan review (Row 21): 'Good seat but the foul pole is annoying... The yellow foul pole is distracting when looking at the outfield, but overall the seats are great.' Lowest listed price $17.","MEDIUM - rows and zone confirmed, the source does not place this section"
2,Promenade Level (1-40),Promenade Level Down the Line,not stated by the source,11,toward first base / right field,"J-L, 1-30",30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 3. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Top Pick for Outstanding Convenience — Rows 26-30' and 'Obstructed/Limited Views'. 'For baseball games, we recommend rows 26-30 for outstanding convenience' and 'Obstructed/Limited Views — See all details'. Football-only obstruction note applies to sections 1-4 (see section 1). Lowest listed price $21.","MEDIUM - rows and zone confirmed, the source does not place this section"
3,Promenade Level (1-40),Promenade Level Down the Line,not stated by the source,10,toward first base / right field,"C-L, 1-30",30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the edge facing section 4. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Top Pick for Outstanding Convenience — Rows 26-30' and 'Obstructed/Limited Views'. 'For baseball games, we recommend rows 26-30 for outstanding convenience' and 'Obstructed/Limited Views — See all details'. Football-only obstruction note applies to sections 1-4 (see section 1). Fan review (Row 17): 'Nearly the complete view of the field — Awesome seats! You can see the entire field from here at ease and the scoreboard is very easy to see also.' Lowest listed price $21.","MEDIUM - rows and zone confirmed, the source does not place this section"
4,Promenade Level (1-40),Promenade Level Down the Line,not stated by the source,9,toward first base / right field,"A, D-L, 1-30",Rows L and 30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Rows L and 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Obstructed/Limited Views'. 'For football games, row D is usually the first row.' Football-only obstruction note applies to sections 1-4 (see section 1). Fan review (Row 26): 'Good angle, comfortable spot... Seats have a good angle to the field for being so far in the outfield. That plus being higher up makes it easy to see the whole field. Just a couple rows from plenty of concessions for nice convenience.' Lowest listed price $21.","MEDIUM - rows and zone confirmed, the source does not place this section"
5,Promenade Level (1-40),Promenade Level Down the Line,not stated by the source,8,toward first base / right field,"A-J, 1-30",Rows J and 30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Rows J and 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Midfield View'. 'There is a walkway between Rows J and 1' and 'For football games, row D is usually the first row.' 'For football games, desirable view from near midfield.' Fan reviews (Row 3, Row 14 x2) mention good views and easy concession access; one fan complained about high concession prices. Lowest listed price $18.","MEDIUM - rows and zone confirmed, the source does not place this section"
6,Promenade Level (1-40),Promenade Level Down the Line,not stated by the source,7,toward first base / right field,"A-L, 1-30",30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Midfield View'. 'There is a walkway between Rows L and 1.' 'For football games, desirable view from near midfield.' Fan review (Row D): 'Wow — Great unobstructed view about 10 yards from first base.' Lowest listed price $19.","MEDIUM - rows and zone confirmed, the source does not place this section"
7,Promenade Level (1-40),Promenade Level Infield,not stated by the source,6,toward first base / right field,"A-L, 1-30",Rows L and 30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Rows L and 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 8. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Top Pick for Great Views of the Field — Rows 1-10' and 'Midfield View'. 'There is a walkway between Rows L and 1.' 'For baseball games, we recommend rows 1-10 for great views of the field' and 'For football games, desirable view from near midfield.' Fan reviews (Row 12, Row 2) mention good field visibility. Lowest listed price $21.","MEDIUM - rows and zone confirmed, the source does not place this section"
8,Promenade Level (1-40),Promenade Level Infield,"Behind the visitor dugout. 'For baseball games, these seats are located behind the visitor dugout.' 'Row A is the first row behind the visitor's dugout in Section 8.' 'sections 8-10 behind the visitors dugout.'",5,toward first base / right field,"A-J, 1-30",30,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 30.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 9. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Top Pick for Great Views of the Field — Rows 1-10' and 'Midfield View'. 'Front of sections 8-21 are behind the netting — There is some amount of netting or screening in front of sections 8-21. The height and coverage of netting or screening will vary by section.' Detailed fan review (Row 13) notes 'about ten lettered rows before these numbered rows begin,' shade from the roof overhang in the evening, and heavy foul-ball activity. Another fan review (Row 19) complains A/C blows cold air down the back of the neck. Lowest listed price $22.","HIGH - zone, rows, location and seat direction stated by the source"
9,Promenade Level (1-40),Promenade Level Infield,"Behind the visitor dugout. 'For baseball games, these seats are located behind the visitor dugout.' 'Row A is the first row behind the visitor's dugout in Section 9.' 'sections 8-10 behind the visitors dugout.'",4,toward first base / right field,"A-L, 1-27",Rows L and 27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Rows L and 27.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 8, with seat numbers counting up toward the edge facing section 10. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Top Pick for Great Views of the Field — Rows 1-10'. 'For baseball games, these seats are located behind the visitor dugout' and 'we recommend rows 1-10 for great views of the field.' 'Front of sections 8-21 are behind the netting.' Fan reviews (Row D, Row 10, Row A, Row 5) generally positive, one notes 'if you're hoping to catch a ball after an inning from one of the players heading into the dugout you will want to sit further back in sections 9 & 10.' Lowest listed price $23.","HIGH - zone, rows, location and seat direction stated by the source"
10,Promenade Level (1-40),Promenade Level Infield,"Behind the visitor dugout. 'For baseball games, these seats are located behind the visitor dugout.' 'Row A is the first row behind the visitor's dugout in Section 10.' 'sections 8-10 behind the visitors dugout.'",3,toward first base / right field,"A-L, 1-27",27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 27.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 9, with seat numbers counting up toward the edge facing section 11. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,'Front of sections 8-21 are behind the netting — There is some amount of netting or screening in front of sections 8-21. The height and coverage of netting or screening will vary by section.' Fan review (Row D): 'Great seats.' Lowest listed price $36.,"HIGH - zone, rows, location and seat direction stated by the source"
