zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Diamond Club,Diamond Club (field level),"25, 27, 33, 35",4,"sections 25, 27, 33, and 35, positioned directly behind home plate between the two dugouts",1-8,3
Main Level,Main Level and Bleachers (100s),"102, 104, 106, 108-111, 114, 116-117, 119, 125-129, 132-135, 140-142, 144, 146-147, 149-151",29,"Behind/Side Stage (most shows)"" (concert layout); part of ""Prime Lower Level Seats: Sections 102-151""; ""Main Level Outfield (102-110): Located in right field and right-center",12 different row ranges - see the section table,varies by section
not named by the source,Main Level and Bleachers (100s),"103, 105, 107, 115, 118, 131",6,"Behind/Side Stage (most shows)"" (concerts); for baseball, part of the Main Level seating that ""wraps around the entire ballpark",5 different row ranges - see the section table,varies by section
Premier Seats,Main Level and Bleachers (100s),"112, 120-124, 136-139, 143, 148",12,"Located in sections 112-124 and 136-148, covering the infield and foul territory on both sides of the stadium""; ""for baseball games, these seats are located behind the visitor dugout",3 different row ranges - see the section table,41
Bleachers,Main Level and Bleachers (100s),"180-187, 190-195",14,"Sections 180-195 across left and center field on the second deck""; ""Sections 183-185 are directly behind the bullpens",4 different row ranges - see the section table,varies by section
Terrace Club,Terrace Club (200s),"211-224, 226-227, 233-234, 236-249",32,"Elevated position above the 100 level""; ""located on the second level at T-Mobile Park, wrapping around both baselines",9 different row ranges - see the section table,varies by section
View Level,View Level (300s),"306-316, 318-321, 323, 325-335, 337, 339-342, 344-347, 349",37,"Outfield Sections"" on the upper deck; ""Farthest seats from home plate""; part of sections ""306-347"" which comprise ""the highest seating tier in the ballpark",6 different row ranges - see the section table,varies by section
Clubs and suites,"Clubs, suites and other named areas",All-Star Club,1,Located down the right-field line on the suite level,UNKNOWN,UNKNOWN
Dining areas,"Clubs, suites and other named areas",Hit It Here Cafe,1,Hit It Here Cafe is located in right field at T-Mobile Park,UNKNOWN,UNKNOWN
Press Level Club,"Clubs, suites and other named areas","Press Club 1, Press Club 2, Press Club 3, Press Club 4, Press Club 5, Press Club 6, Press Club 7",7,"The Press Level Club is located in sections P1-P7, positioned directly behind home plate at the top of the stadium.",1-4,4
Standing room,"Clubs, suites and other named areas",Standing Room Only,1,"""Standing Room Only tickets do not come with an assigned seat. Instead, fans have access to the main concourses and designated standing areas throughout T-Mobile Park."" Areas named are ""Near Edgar's Cantina (Left Field)"", ""The Trident Deck"" and ""Left and Right-Center Field Concourse"".",UNKNOWN,UNKNOWN
Clubs and,"Clubs, suites and other named areas",Suites,1,"Located between the baselines on the suite level behind the 200 level"" ""Suites are located on the suite level between the first and third baselines, positioned just behind the 200 Level seating.",UNKNOWN,UNKNOWN
