section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
100,Field Level (100s),Crawford Boxes,"Crawford Boxes include Sections 100-104, located in left field at Daikin Park.",16,toward third base / left field,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 10.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 101. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","Rows 1-2 have 7 seats labeled 1-7""; ""Rows 3-4 have 8 seats labeled 1-8""; ""Row 5 has 9 seats labeled 1-9""; ""Rows 6-7 have 10 seats labeled 1-10""; ""Rows 8-10 have 7 seats labeled 1-7","Crawford Boxes section. ""Rows 8 and above are shaded during most late afternoon games"". ""Only ~315 feet from home plate"". ""Section 100 is behind/Side Stage (most shows)"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/100","HIGH - zone, rows, location and seat direction stated by the source"
101,Field Level (100s),Crawford Boxes,"""located in left field at Daikin Park"" (Crawford Boxes, Sections 100-104)",15,toward third base / left field,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 10.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 100, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","Row 1 has 16 seats labeled 1-16""; ""Rows 2-7 have 17 seats labeled 1-17""; ""Rows 8-9 have 12 seats labeled 1-17""; ""Row 10 has 13 seats labeled 1-17","Crawford Boxes section. ""Rows 8 and above are shaded during most late afternoon games"". ""Only ~315 feet from home plate, closer than most outfield sections"". ""we recommend these seats for getting a ball"". ""101 is behind the stage or to the side of the stage for most concerts"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/101","HIGH - zone, rows, location and seat direction stated by the source"
102,Field Level (100s),Crawford Boxes,"""located in left field at Daikin Park"" (Crawford Boxes, Sections 100-104)",14,toward third base / left field,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 10.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","Rows 1-4 have 20 seats labeled 1-20""; ""Rows 5-8 have 21 seats labeled 1-21""; ""Row 9 has 18 seats labeled 1-21""; ""Row 10 has 16 seats labeled 1-21","Crawford Boxes section. ""Rows 8 and above are shaded during most late afternoon games"". ""Sections 100-104 are among the most recognizable seats in baseball""; ""Only ~315 feet from home plate"". ""102 is behind the stage or to the side of the stage for most concerts"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/102","HIGH - zone, rows, location and seat direction stated by the source"
103,Field Level (100s),Crawford Boxes,"""located in left field at Daikin Park"" and ""just 315 feet from home plate"" (Crawford Boxes, Sections 100-104)",13,toward third base / left field,1-10,6,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 6.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Elevated above the field""; ""Elevated seating provides a clear look into left field"". ""the wall in front of you is at least 3 feet tall"" and you ""can't see all of the outfield"". Sun/shade, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). Seat counts per row not listed on the page (confirmed on a second targeted fetch). rateyourseats.com/daikin-park/seating/sections/103","HIGH - zone, rows, location and seat direction stated by the source"
104,Field Level (100s),Crawford Boxes,"Sections 100-104, located in left field at Daikin Park",12,toward third base / left field,1-13,13,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 13.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 1: 3 seats; Row 2: 5 seats; Row 3: 9 seats; Row 4: 10 seats; Row 5: 12 seats; Row 6: 14 seats; Row 7: 16 seats; Row 8: 18 seats; Row 9: 19 seats; Row 10: 22 seats; Row 11: 28 seats (as listed on the page; rows 12-13 counts not reported),"Crawford Boxes section in left field. Obstructed views, sun/shade, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/104","HIGH - zone, rows, location and seat direction stated by the source"
105,Field Level (100s),Field Boxes,Sections 105-111 (third base line),11,toward third base / left field,12-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","Listed per row on the page, varying from 1 seat (Row 12) to 22 seats (Rows 28-29)","Field Boxes along the third base line. ""Best Shade Side: Third base side gets shade earlier and more consistently"". ""Good chance at foul balls in select sections"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated for this section). rateyourseats.com/daikin-park/seating/sections/105","HIGH - zone, rows, location and seat direction stated by the source"
106,Field Level (100s),Field Boxes,"Sections 105-111 (third base line)""; ""Sections 106-107: Among the best baseline views with a strong angle towards home plate",10,toward third base / left field,1-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 1: 11 seats; Row 2: 12 seats; Rows 3-4: 13 seats; Row 5: 14 seats; Row 6: 16 seats; Row 7: 17 seats; Row 8: 19 seats; Row 9: 20 seats; Row 10: 21 seats; Rows 11-39: 22 seats,"Field Boxes, third base line. ""Rows 32 and above are shaded during most day games""; also flagged ""Afternoon Shade in Select Rows"". ""Top Pick for Kids and Family"", ""Top Pick for Great Views of the Field"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/106","HIGH - zone, rows, location and seat direction stated by the source"
107,Field Level (100s),Field Boxes,"Sections 105-111 (third base line)""; ""Sections 106-107: Among the best baseline views",9,toward third base / left field,1-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 1: 9 seats; Rows 2-3: 10 seats; Row 4: 11 seats; Row 5: 12 seats; Rows 6-7: 13 seats; Row 8: 14 seats; Row 9: 15 seats; Rows 10-11: 16 seats; Row 12: 17 seats; Rows 13-14: 18 seats; Row 15: 19 seats; Row 16: 20 seats; Rows 17-18: 21 seats; Row 19: 22 seats; Row 20: 23 seats; Rows 21-39: 24 seats,"Field Boxes, third base line. ""Rows 32 and above are shaded during most day games"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/107","HIGH - zone, rows, location and seat direction stated by the source"
108,Field Level (100s),Field Boxes,Sections 105-111 (third base),8,toward third base / left field,27-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row 27: 2 seats; Row 28: 3 seats; Row 29: 5 seats; Row 30: 6 seats; Row 31: 7 seats; Row 32: 9 seats; Row 33: 10 seats; Row 34: 12 seats; Row 35: 13 seats; Row 36: 15 seats; Row 37: 16 seats; Row 38: 18 seats; Row 39: 19 seats,"Field Boxes, third base side. ""Rows 32 and above are shaded during most day games"". ""we recommend these seats for kids and family"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/108","HIGH - zone, rows, location and seat direction stated by the source"
109,Field Level (100s),Field Boxes,Sections 105-111 (third base line),7,toward third base / left field,1-40,40,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Listed per row on the page: Row 1 has 6 seats; Row 2 has 7 seats; Rows 3-8 range 8-9 seats; Rows 9-24 range 10-21 seats; Rows 25-39 have 22 seats each,"Field Boxes, third base line. ""Rows 32 and above are shaded during most day games"". ""Sections 109-111 (third base side)"" have better catching opportunities. ""we recommend these seats for kids and family""; ""we recommend rows 36-40 for outstanding convenience"". Obstructed views, netting, dugout adjacency and wheelchair/accessible rows: UNKNOWN (not stated). rateyourseats.com/daikin-park/seating/sections/109","HIGH - zone, rows, location and seat direction stated by the source"
