zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Field Level Outfield,Field Level (100s),"101-107, 140-148",16,"RYS Field Level Outfield 'Just beyond the outfield walls and on the closest tier to the field of any outfield seating option... the last four rows of sections 102-107 in right field and 142-145 in left field do provide some relief thanks to the overhanging club level outfield seating above... Seats on the left field side will have a near impossible view of the large video board, located directly behind the furthest left field sections.'",10 different row ranges - see the section table,varies by section
Field Level Down the Line,Field Level (100s),"108-114, 133-139",14,"Down the first/third base line, Field Level. ""Located in prime foul ball territory ... Seats on the third base side will see the sun first, while the first base side will be located right by the family friendly Phanatic Phun Zone."" Page does not state which specific side (1B/3B) Section 108 itself is on.",4 different row ranges - see the section table,varies by section
Field Level Infield,Field Level (100s),115-132,18,"RYS Field Level Infield 'Sections 119-128 are located just behind the Diamond Club seats which line the backstop wall behind the home plate, making these sections a bit smaller than those behind the dugout and a will therefore have a shorter and easier walk to the concourses.'",7 different row ranges - see the section table,varies by section
Club Level Outfield,Club and Hall of Fame Club (200s),"201-205, 241-245",10,"Outfield, second tier (Club Level); expert review states 'Fans in Section 243 will have the closest seats to Harry the K's Broadcast Bar and Grille [left field], while those near center field will be just a short walk from Ashburn Alley' -- exact position of 241 relative to that range not separately stated",4 different row ranges - see the section table,varies by section
Club Level Down the Line,Club and Hall of Fame Club (200s),"206-211, 233-237",11,not stated by the source,2 different row ranges - see the section table,varies by section
Hall of Fame Club,Club and Hall of Fame Club (200s),212-232,21,"""Second Level Infield Seating: Located along the infield on the second deck of Citizens Bank Park."" 'For fans attending day games, sections 225–232 may be more appealing because they tend to move into the shade earlier than sections on the first base side' (implies third-base side of the level).",3 different row ranges - see the section table,varies by section
Terrace Level Outfield,Lower Terrace (300s),301-305,5,"Outfield, Terrace Level ('the highest and furthest of all the outfield seating areas at Citizens Bank Park' per expert review)",2 different row ranges - see the section table,7
Lower Terrace Down the Line,Lower Terrace (300s),"306-310, 312-313, 328-333",13,"RYS ""Similar to the Lower Terrace Infield seating, these sections are located at the front of the upper deck, but these seats run between the corner bases and the foul poles. On the first base side, fans will be the most exposed sections to the sun during day games...""",3 different row ranges - see the section table,varies by section
Lower Terrace Infield,Lower Terrace (300s),314-327,14,'located at the front of the Terrace level between first base and third base'; Section Insights also list 'Home Plate View' and 'Head-on View (most shows)',3 different row ranges - see the section table,varies by section
Upper Terrace Down the Line,Upper Terrace (400s),"412-413, 428-434",9,"RYS ""Far views and high seating are what you can expect when sitting in the Upper Terrace sections down the baselines... Sections on the third base side of the Upper Terrace Down the Line will see the shade first, but will require more head turning to see the impressive video board located in left field.""",2 different row ranges - see the section table,5
Upper Terrace Infield,Upper Terrace (400s),414-427,14,"RYS ""At the highest level of seating in Citizens Bank Park... Infield seats will be closest to the amenities on the terrace level (which are concentrated behind home plate), making them a better option over the sections down the line for those who appreciate a little more convenience.""",1-16,5
Philadelphia Insurance Club,"Clubs, suites and other named areas","A, C, D, E, F, G",6,"field level directly behind home plate in Sections A through G""; ""Fans seated in Sections F and G will sit closest to the Phillies on-deck circle.",5-19,varies by section
Philadelphia Insurance Clu,"Clubs, suites and other named areas",B,1,The Philadelphia Insurance Club is located at field level directly behind home plate in Sections A through G at Citizens Bank Park.,5-19,12
Terrace Level Outfield,"Clubs, suites and other named areas",Rooftop Bleachers,1,Terrace Level Outfield seating is the highest and furthest of all the outfield seating areas at Citizens Bank Park.,1-7,UNKNOWN
