section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
3,Club Box Level (3-32),The W Club,The W Club seats occupy rows 1-12 of sections 3-5 down the left field line,10,toward third base / left field,10-15,15,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 15.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 4. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Padded seats in W Club rows 1-12. 'Protective netting is minimal and does not obstruct the primary view'. 'Limited shade during day games, especially on the first base side'. 'Clear sightlines to the infield and outfield'. W Club includes climate-controlled indoor lounge access. Wheelchair/accessible rows not stated. Support-post obstruction not stated. rateyourseats.com section 3 page.","HIGH - zone, rows, location and seat direction stated by the source"
4,Club Box Level (3-32),The W Club,The W Club seats occupy rows 1-12 of sections 3-5 down the left field line,9,toward third base / left field,4-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Rows 7 and above are shaded during most late afternoon games'; 'Afternoon Shade in Select Rows' (Rows 4-14). 'Protective netting is minimal and does not obstruct the primary view'. W Club (rows 1-12) has padded seats, climate-controlled lounge, all-inclusive buffet with beer/wine for Cubs games, access to batting tunnel views. Lowest listed ticket price in section: $149. rateyourseats.com section 4 page.","HIGH - zone, rows, location and seat direction stated by the source"
5,Club Box Level (3-32),The W Club,Sections 3-5 along the left field line,8,toward third base / left field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Rows 7 and above are shaded during most late afternoon games'; 'Afternoon Shade in Select Rows' (Rows 1-14); a fan review noted 'full sunshine for five innings' in early May, then 'nice and shady'. 'Protective netting is minimal and does not obstruct the primary view' (W Club seats). Padded seats in W Club. Low seating position may require viewing around the row ahead. Foul ball / line drive exposure noted by reviewers. Wheelchair/accessible rows and support-post obstruction not stated. rateyourseats.com section 5 page.","HIGH - zone, rows, location and seat direction stated by the source"
6,Club Box Level (3-32),Club Box Outfield,"Seated behind W Club and Maker's Mark Barrel Room (Club Box Outfield, sections 3-7 and 28-32); 'Bullpen Box: Front rows of Sections 6-7 and 30-31' - 'New seats added where the bullpens used to be before being moved under the bleachers'",7,toward third base / left field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Netting in front of Row 1 seats affects views; fan reviews note 'netting was right in front of us' but acknowledge 'safety comes first.' 'Rows 7 and above are shaded during most late afternoon games'; 'Afternoon Shade in Select Rows'. Front row location experiences numerous foul balls. Versatile for both baseball and concerts. Support posts, wheelchair rows and bench-vs-individual seating not stated. rateyourseats.com section 6 page.","HIGH - zone, rows, location and seat direction stated by the source"
7,Club Box Level (3-32),Club Box Outfield,Seated behind W Club and Maker's Mark Barrel Room,6,toward third base / left field,1-14,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 8. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Rows 7 and above are shaded during most late afternoon games'; 'Afternoon Shade in Select Rows'; limited shade during day games. 'Seats in sections 6-8 and 27-29 are not only closer to the stage, but typically clear of' equipment obstructions. Support posts / obstructed views not specifically mentioned for Section 7. Wheelchair/accessible rows and bench-vs-individual seating not stated. rateyourseats.com section 7 page.","HIGH - zone, rows, location and seat direction stated by the source"
8,Club Box Level (3-32),Club Box Infield,Located behind dugouts,5,toward third base / left field,1-15,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 9. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Netting present that reviewers say 'messes with your equilibrium' and obstructs photography. Mobile equipment (speakers) creates obstructions during concerts; low seating elevation relative to stage setup during concerts. 'Rows 7 and above are shaded during most late afternoon games'; 'Afternoon Shade in Select Rows'. positioned behind the Cubs dugout on the third-base side. $216. Wheelchair rows, seat type and support posts not stated. rateyourseats.com section 8 page.","HIGH - zone, rows, location and seat direction stated by the source"
9,Club Box Level (3-32),Club Box Infield,Located behind dugouts (specifically behind the Cubs dugout on the third base side),4,toward third base / left field,5-14,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 8, with seat numbers counting up toward the edge facing section 10. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'There is some amount of netting or screening in front of sections 9-27. The height and coverage of netting or screening will vary by section.' 'Rows 7 and above are shaded during most late afternoon games'; rows 1-5 get direct sun during day games. Adjacent to the Cubs dugout. Wheelchair/accessible rows, seat type and support posts not stated. rateyourseats.com section 9 page.","HIGH - zone, rows, location and seat direction stated by the source"
10,Club Box Level (3-32),Club Box Infield,Located behind dugouts (specifically behind the Cubs dugout on the third base side),3,toward third base / left field,5-14,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 9, with seat numbers counting up toward the edge facing section 11. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Row 1 is the first row behind the Cubs dugout in Section 10. These seats will be located behind protective netting.' and 'There is some amount of netting or screening in front of sections 9-27.' 'Rows 7 and above are shaded during most late afternoon games'; 'Afternoon Shade in Select Rows' (Rows 5-14); limited shade during day games, especially on the first base side. Directly behind the Cubs dugout. Wheelchair rows, seat type and support posts not stated. rateyourseats.com section 10 page.","HIGH - zone, rows, location and seat direction stated by the source"
11,Club Box Level (3-32),Club Box Infield,Located behind dugouts - specifically behind the Cubs dugout on the third base side,2,toward third base / left field,5-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 14.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 10, with seat numbers counting up toward the edge facing section 12. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Row 1 is the first row behind the Cubs dugout in Section 11. These seats will be located behind protective netting.' and 'There is some amount of netting or screening in front of sections 9-27.' 'Rows 7 and above are shaded during most late afternoon games' and 'Afternoon Shade in Select Rows Rows 5-14'. Behind the Cubs dugout; 'Top Pick for Impressing a Guest Rows 1-5'. Wheelchair rows, seat type and support posts not stated. rateyourseats.com section 11 page.","HIGH - zone, rows, location and seat direction stated by the source"
12,Club Box Level (3-32),Club Box Infield,Located behind dugouts (specifically behind the Cubs dugout on the third base side),1,toward third base / left field,5-15,15,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 15.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 11, with seat numbers counting up toward the edge facing section 13. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Protective netting in front of section for baseball games; a fan noted netting was 'a little annoying' but ignorable after time. 'Rows 7 and above are shaded during most late afternoon games'; sun exposure in front rows during day games. Very close proximity to the Cubs dugout opening and on-deck circle. 'Rows 1-5 for impressing a guest' recommendation for baseball. Restrooms and concessions described as 'a bit of a walk'. Wheelchair/accessible rows, seat type and support posts not stated. rateyourseats.com section 12 page.","HIGH - zone, rows, location and seat direction stated by the source"
