section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
0,Field Level boxes (0-13),Home Plate Club,"The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Closest Seats Behind Home Plate: Sections 0–6 located within five rows of the field.",0,behind home plate,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 2. This section is behind home plate, so seat 1 is on its first-base side.",not published,"//www.rateyourseats.com/petco-park/seating/sections/0 302s to the zone page https://www.rateyourseats.com/petco-park/seating/home-plate-club (title 'Home Plate Club at PETCO Park'). ""These seats sit within the first five rows from the field, placing fans extremely close to the action and giving them one of the most intimate viewing experiences in the stadium."" ""Club Access Padres games"", ""All-Inclusive (No Alcohol) Padres games"", ""In-Seat Wait Service Padres games"", ""Upscale Seating"". Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section.""",LOW - no row data published for this section
1,Field Level boxes (0-13),Home Plate Club,"The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Section 1 is tagged with: ✓ behind home plate ✓ behind the netting",0,behind home plate,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 3. This section is behind home plate, so seat 1 is on its third-base side.",not published,".../seating/sections/1 302s to the zone page .../seating/home-plate-club. ""Closest Seats Behind Home Plate: Sections 0–6 located within five rows of the field."" and ""These seats sit within the first five rows from the field"". The zone page's lead seat-view captions are ""Baseball Seat View From Section 1, Row 5"" and ""Baseball Seat View From Section 1"". Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section. The netting extends past the dugout and down each line."" AVIEWFROMMYSEAT FALLBACK (https://aviewfrommyseat.com/venue/Petco+Park/1/): ""Seats here are tagged with: ✓ has extra leg room ✓ has wait service ✓ is a folding chair ✓ is near the home team dugout ✓ is on the aisle ✓ is padded""; navigation ""« Go left to section 2 2"" / ""Go right to section 3 3 »""; under the heading ""Rows with photos"" it prints ""First Row: 1 Last Row: 5"" – this is the range of rows FOR WHICH PHOTOS EXIST, not a stated row range for the section, so rows is left",LOW - no row data published for this section
2,Field Level boxes (0-13),Home Plate Club,"The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Section 2 is tagged with: ✓ behind home plate ✓ behind the netting",1,toward third base / left field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 0, with seat numbers counting up toward the edge facing section 4. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,".../seating/sections/2 302s to the zone page .../seating/home-plate-club. ""Closest Seats Behind Home Plate: Sections 0–6 located within five rows of the field."" Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section. The netting extends past the dugout and down each line."" AVIEWFROMMYSEAT FALLBACK (https://aviewfrommyseat.com/venue/Petco+Park/2/): no photos – ""Sorry, we do not have any photos for Section 2 at Petco Park yet.""; no rows; no 'Seats here are tagged with' line; navigation ""« Go left to section 4 4"" / ""Go right to section Dugout 0 Dugout 0 »"" (that site labels section 0 as 'Dugout 0').",LOW - no row data published for this section
3,Field Level boxes (0-13),Home Plate Club,"The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Section 3 is tagged with: ✓ behind home plate ✓ behind the netting",1,toward first base / right field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,".../seating/sections/3 302s to the zone page .../seating/home-plate-club. ""Closest Seats Behind Home Plate: Sections 0–6 located within five rows of the field."" Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section. The netting extends past the dugout and down each line."" AVIEWFROMMYSEAT FALLBACK (https://aviewfrommyseat.com/venue/Petco+Park/3/): ""Seats here are tagged with: ✓ club seat ✓ has wait service ✓ is padded""; navigation ""« Go left to section 1 1"" / ""Go right to section 5 5 »""; prints ""First Row: 1 Last Row: 5"" under its rows-with-photos block – that is the photographed row range, not a stated section row range, so rows stays",LOW - no row data published for this section
4,Field Level boxes (0-13),Home Plate Club,"The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Section 4 is tagged with: ✓ behind home plate ✓ behind the netting",2,toward third base / left field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,".../seating/sections/4 302s to the zone page .../seating/home-plate-club. ""Closest Seats Behind Home Plate: Sections 0–6 located within five rows of the field."" Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section. The netting extends past the dugout and down each line."" AVIEWFROMMYSEAT FALLBACK (https://aviewfrommyseat.com/venue/Petco+Park/4/): no photos – ""Sorry, we do not have any photos for Section 4 at Petco Park yet.""; no rows; no 'Seats here are tagged with' line; navigation ""« Go left to section 6 6"" / ""Go right to section 2 2 »"".",LOW - no row data published for this section
5,Field Level boxes (0-13),Home Plate Club,"Section 5 will be closest to the Padres dugout and on-deck circle"" within ""The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Section 5 is tagged with: ✓ behind home plate ✓ behind the netting",2,toward first base / right field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,".../seating/sections/5 302s to the zone page .../seating/home-plate-club. ""Closest Seats Behind Home Plate: Sections 0–6 located within five rows of the field."" and ""Fans seated in: Section 5 will be closest to the Padres dugout and on-deck circle"" – consistent with discovery's ODD = first-base side rule (the Padres dugout is on first base). Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section. The netting extends past the dugout and down each line."" AVIEWFROMMYSEAT FALLBACK (https://aviewfrommyseat.com/venue/Petco+Park/5/): no photos – ""Sorry, we do not have any photos for Section 5 at Petco Park yet.""; no rows; no 'Seats here are tagged with' line; navigation ""« Go left to section 3 3"" / ""Go right to section 7 7 »"".",LOW - no row data published for this section
6,Field Level boxes (0-13),Home Plate Club,"Section 6 sits closer to the visiting team’s on-deck circle"" within ""The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Section 6 is tagged with: ✓ behind home plate ✓ behind the netting"" and ""Seats here are tagged with: ... ✓ is near the visitor's dugout ...",3,toward third base / left field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 8. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,".../seating/sections/6 302s to the zone page .../seating/home-plate-club. ""Closest Seats Behind Home Plate: Sections 0–6 located within five rows of the field."" and ""Fans seated in: ... Section 6 sits closer to the visiting team’s on-deck circle"" – consistent with discovery's EVEN = third-base side rule. Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section. The netting extends past the dugout and down each line."" AVIEWFROMMYSEAT FALLBACK (https://aviewfrommyseat.com/venue/Petco+Park/6/): ""Seats here are tagged with: ✓ club seat ✓ has extra leg room ✓ has wait service ✓ is near the visitor's dugout ✓ is padded""; navigation ""« Go left to section 8 8"" / ""Go right to section 4 4 »""; prints ""First Row: 1 Last Row: 5"" for rows with photos (photographed range only, NOT a stated section row range, so rows stays UNKNOWN).",LOW - no row data published for this section
7,Field Level boxes (0-13),First Base VIP Box,"The First Base VIP Box is located along the first base line at field level, sitting just beside the Padres dugout at Petco Park."" ""Field-Level Premium Seating: Located just feet from the infield along the first base line at Petco Park."" ""Section 7 is tagged with: ✓ along the 1st base line ✓ behind the netting",3,toward first base / right field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 9. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"//www.rateyourseats.com/petco-park/seating/sections/7 302s to the zone page https://www.rateyourseats.com/petco-park/seating/first-base-vip-box-baseball (title 'First Base VIP Box at PETCO Park'). Further ""Near the Padres Dugout: Positioned directly beside the Padres dugout, offering up-close views of players."" and ""These seats provide one of the closest viewing experiences in the stadium, placing fans only a few feet from the playing field."" ""Club Access Padres games"", ""All-Inclusive Padres games"", ""In-Seat Wait Service Padres games"", ""Upscale Seating"". The zone page's only seat-view caption is ""Baseball Seat View From Section 11, Row 2"" (i.e. the photo is of section 11, not 7). Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116.""",LOW - no row data published for this section
8,Field Level boxes (0-13),Third Base Coach's Box,"The Third Base Coach’s Box is located along the third base line at field level in Sections 8 and 10."" ""Field-Level Seating: Located along the third base line in Sections 8 and 10."" ""Section 8 is tagged with: ✓ along the 3rd base line ✓ behind the netting",4,toward third base / left field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 10. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"//www.rateyourseats.com/petco-park/seating/sections/8 302s to the zone page https://www.rateyourseats.com/petco-park/seating/third-base-coachs-box (title ""Third Base Coach's Box at PETCO Park""). Further ""These seats sit extremely close to the field, giving fans a perspective similar to the third base coach during the game."" and ""The sections are also located near the visiting team dugout, allowing fans to see players entering and exiting the field between innings."" and ""While the Third Base Coach’s Box sits near the visiting team dugout, the First Base VIP Box places fans beside the Padres dugout"". ""Club Access Padres games"", ""In-Seat Wait Service Padres games"", ""Upscale Seating"". ""Baseball Approximate View From Section 8"".",LOW - no row data published for this section
9,Field Level boxes (0-13),First Base VIP Box,"The First Base VIP Box is located along the first base line at field level, sitting just beside the Padres dugout at Petco Park."" ""Field-Level Premium Seating: Located just feet from the infield along the first base line at Petco Park."" ""Section 9 is tagged with: ✓ along the 1st base line ✓ behind the netting",4,toward first base / right field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 11. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,".../seating/sections/9 302s to the zone page .../seating/first-base-vip-box-baseball. Further ""Near the Padres Dugout: Positioned directly beside the Padres dugout, offering up-close views of players."" and ""The location also allows fans to watch Padres players enter and exit the dugout throughout the game."" Fan Feedback : ""Front of sections 101-116 are behind the netting — There is some amount of netting or screening in front of sections 101-116. The height and coverage of netting or screening will vary by section. The netting extends past the dugout and down each line."" AVIEWFROMMYSEAT FALLBACK (https://aviewfrommyseat.com/venue/Petco+Park/9/): no photos – ""Sorry, we do not have any photos for Section 9 at Petco Park yet.""; no rows; no 'Seats here are tagged with' line; navigation ""« Go left to section 7 7"" / ""Go right to section 11 11 »"".",LOW - no row data published for this section
