section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Field Level (100s),Field/Plaza Outfield,"right up against the wall in the power alley""; outfield seating offering ""some of the best chances at home run balls",25,toward third base / left field,A-D,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row A: 22 seats; Row B: 24 seats; Row C: 26 seats; Row D: 28 seats,"Left field power alley. ""Recommended seating for kids and family."" rateyourseats.com section 101.","HIGH - zone, rows, location and seat direction stated by the source"
102,Field Level (100s),not named by the source,"right up against the wall in the power alley""; ""Right behind the fountains",24,toward third base / left field,A-D,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""some of the best chances at home run balls""; ""Recommended seating for kids and family."" ""you can't see the jumbotron without turning around"" and ""the seats are hot and kind of a pain to get to."" rateyourseats.com section 102.","MEDIUM - rows confirmed, ticket zone not named by the source"
103,Field Level (100s),Field/Plaza Outfield,"right up against the wall in the power alley""; ""The visiting team bullpen is to the left of Section 107 and to the right of Section 103.",23,toward third base / left field,"A-D, DWC",UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Visiting team bullpen adjacency stated: ""The visiting team bullpen is to the left of Section 107 and to the right of Section 103."" Row list includes a ""DWC"" row as stated (not VWC). ""some of the best chances at home run balls""; ""recommended seating for kids and family."" rateyourseats.com section 103.","HIGH - zone, rows, location and seat direction stated by the source"
104,Field Level (100s),not named by the source,"directly behind the visiting team bullpen"" in left field; ""In LF, sections 104-106 are directly behind the visiting team bullpen.",22,toward third base / left field,A-C,C,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row C.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""An entrance to this section is located at Row C"". Visitors bullpen directly in front (LF, sections 104-106). rateyourseats.com section 104.","MEDIUM - rows confirmed, ticket zone not named by the source"
105,Field Level (100s),not named by the source,"In LF, sections 104-106 are directly behind the visiting team bullpen.",21,toward third base / left field,A-C,C,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row C.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""An entrance to this section is located at Row C"". Visitors bullpen directly in front. Fan review notes ""Can't see part of deep center field."" rateyourseats.com section 105.","MEDIUM - rows confirmed, ticket zone not named by the source"
106,Field Level (100s),not named by the source,"In LF, sections 104-106 are directly behind the visiting team bullpen.",20,toward third base / left field,A-C,C,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row C.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""An entrance to this section is located at Row C"". Visitors bullpen directly in front (left field). rateyourseats.com section 106.","MEDIUM - rows confirmed, ticket zone not named by the source"
107,Field Level (100s),Field and Outfield Boxes,"Located along the outfield portions of the 100 Level""; ""Located on the Field Level at Kauffman Stadium",19,toward third base / left field,"J-U, V-X",UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Wheelchair seating is available behind Row U"". ""visiting bullpen near Section 107"". ""Seats down the right field line receive heavy sun during afternoon games"". Protective netting mentioned venue-wide (""in front of many sections near home plate and down the baselines"") but not specific to this section. rateyourseats.com section 107.","HIGH - zone, rows, location and seat direction stated by the source"
108,Field Level (100s),Field and Outfield Boxes,"Located along the outfield portions of the 100 Level""; ""On the Field Level at Kauffman Stadium, sections located farther from home plate",18,toward third base / left field,"J-U, V-X",UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Wheelchair seating is available behind Row U"". Bullpens (venue-wide): ""Royals bullpen sits near Section 148, visiting bullpen near Section 107"". ""Seats closest to the field may require a longer walk to reach concessions or restrooms"". rateyourseats.com section 108.","HIGH - zone, rows, location and seat direction stated by the source"
109,Field Level (100s),Field and Outfield Boxes,"On the Field Level at Kauffman Stadium, sections located farther from home plate are commonly referred to as Field Boxes and Outfield Boxes.",17,toward third base / left field,G-X,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Bullpens (venue-wide): ""Royals bullpen: Located near Section 148""; ""Visiting bullpen: Located near Section 107"". rateyourseats.com section 109.","HIGH - zone, rows, location and seat direction stated by the source"
110,Field Level (100s),Field and Outfield Boxes,not stated by the source,16,toward third base / left field,E-X,X,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row X.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""An entrance to this section is located at Row X"". Netting (venue-wide): ""protective netting extends in front of many sections near home plate and down the baselines"". Bullpens (venue-wide): ""Royals bullpen sits near Section 148, visiting bullpen near Section 107"". Sun note refers to Sections 146-148, not this section. rateyourseats.com section 110.","MEDIUM - rows and zone confirmed, the source does not place this section"
