section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
100,Main Level (100s),Outfield Reserve,Located just beyond the outfield walls and in prime home run ball territory. These seats are also the home of the Center Field Lounge and Center Field Reserved seating areas (located in section 100) which provide fans with a unique viewing experience and close proximity to the Red Porch Restaurant.,19,toward third base / left field,"A-Z, AA-DD",J,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row J.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"Fan Feedback : ""The Visitor Bullpen is to the Right of Section 100"" — this contradicts the discovery-level statement (sourced from Section 101's page) that the visitor bullpen sits in front of Sections 101/102; recorded rather than reconciled. ""Seats in left and center field will see the sun throughout most of the day.""","HIGH - zone, rows, location and seat direction stated by the source"
101,Main Level (100s),Outfield Reserve,Sections 101 and 102 out in left field are located directly behind the visitors bullpen,18,toward third base / left field,"L-Z, AA-DD",DD,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row DD.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 100. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"Fan Feedback : ""The Visitor Bullpen is in Front of Sections 101 and 102 — Sit in Row L to be behind the visitor bullpen."" Seats in left field see sun throughout most of the day.","HIGH - zone, rows, location and seat direction stated by the source"
102,Main Level (100s),Outfield Reserve,Sections 101 and 102 out in left field are located directly behind the visitors bullpen,17,toward third base / left field,"L-Z, AA-DD",DD,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row DD.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 101. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"Fan Feedback : ""The Visitor Bullpen is in Front of Sections 101 and 102 — Sit in Row L to be behind the visitor bullpen."" Seats in left field see sun throughout most of the day.","HIGH - zone, rows, location and seat direction stated by the source"
103,Main Level (100s),Outfield Reserve,Left-field outfield reserve area (general Outfield Reserve review text); fan feedback places the visitor bullpen to this section's left,16,toward third base / left field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"Fan Feedback : ""The Visitor Bullpen is to the Left of Section 103"". Seats in left field see sun throughout most of the day per the shared Outfield Reserve review.","HIGH - zone, rows, location and seat direction stated by the source"
104,Main Level (100s),Outfield Reserve,"Outfield Reserve area per shared review text (left field / left-center, beyond the outfield walls)",15,toward third base / left field,"A-Z, AA-DD",DD,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row DD.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,seats in left and center field see sun throughout most of the day.,"HIGH - zone, rows, location and seat direction stated by the source"
105,Main Level (100s),Outfield Reserve,Outfield Reserve area per shared review text,14,toward third base / left field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""For baseball games, we recommend rows Y-Z, AA-CC for outstanding convenience.""","HIGH - zone, rows, location and seat direction stated by the source"
106,Main Level (100s),Outfield Reserve,Outfield Reserve area per shared review text,13,toward third base / left field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""For baseball games, we recommend rows Y-Z, AA-CC for outstanding convenience.""","HIGH - zone, rows, location and seat direction stated by the source"
107,Main Level (100s),Outfield Reserve,Outfield Reserve area per shared review text,12,toward third base / left field,"X-Z, AA-WW",WW,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row WW.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,,"HIGH - zone, rows, location and seat direction stated by the source"
108,Main Level (100s),Field Level Down the Line,"Field Level Down the Line seating is a good option for fans that prefer being on the lowest tier ... The sections will begin to angle the seating more towards the infield as you get closer to the foul poles ... In the sections closer to the infield, the lower half of seating is known as Baseline Box, while the upper half of seating is known as the Baseline Reserved. Sections nearest to the foul pole in this location are also referred to as the Left and Right Field Corner.",11,toward third base / left field,"F-Z, AA-WW",WW,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row WW.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"For baseball games, we recommend rows SS-WW for outstanding convenience."" ""Rows RR and above are under cover.","HIGH - zone, rows, location and seat direction stated by the source"
109,Main Level (100s),Field Level Down the Line,"Field Level Down the Line, lowest tier beyond the infield, angling toward the infield near the foul poles (shared review text)",10,toward third base / left field,"P-Z, AA-WW",WW,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row WW.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 110, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,Rows NN and above are under cover.,"HIGH - zone, rows, location and seat direction stated by the source"
