section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,Dugout Box and Champions Club (1-17),Dugout Boxes,Located in Sections 1–6 and 11–17 along the infield at field level,6,toward first base / right field,1-13,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 2. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Protective netting is installed in front of these sections for fan safety; fan feedback notes netting or screening in front of sections 1-17 with varying height and coverage by section. Overhang/rain coverage Accessible/WC rows,"HIGH - zone, rows, location and seat direction stated by the source"
2,Dugout Box and Champions Club (1-17),Dugout Boxes,Located in Sections 1–6 and 11–17 along the infield at field level,5,toward first base / right field,1-13,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 3. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Protective netting is installed in front of these sections for fan safety"". none mentioned. Overhang/rain coverage Accessible/WC rows","HIGH - zone, rows, location and seat direction stated by the source"
3,Dugout Box and Champions Club (1-17),Dugout Boxes,Located in Sections 1–6 and 11–17 along the infield at field level,4,toward first base / right field,1-13,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the edge facing section 4. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Protective netting is installed in front of these sections; one fan review noted a ""mesh fence"" obstructed their view during a concert. Page states these seats are ""behind the Minnesota Twins dugout"" and provide ""one of the closest viewing experiences in the ballpark"". Overhang/rain coverage Accessible/WC rows","HIGH - zone, rows, location and seat direction stated by the source"
4,Dugout Box and Champions Club (1-17),Dugout Boxes,"Located in Sections 1–6 and 11–17 along the infield at field level; Section 4 ""behind the Minnesota Twins dugout""",3,toward first base / right field,5-13,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Protective netting is installed in front of these sections for fan safety"". Field-level seating beside the Twins dugout; Row 5 stated as the first row behind the dugout. Overhang/rain coverage Accessible/WC rows","HIGH - zone, rows, location and seat direction stated by the source"
5,Dugout Box and Champions Club (1-17),Dugout Boxes,"Located in Sections 1–6 and 11–17 along the infield at field level; ""Sections 4–6 sit behind the Twins dugout""",2,toward first base / right field,5-13,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Protective netting: Netting is installed in front of these sections for fan safety"". ""Sections 4–6: Located behind the Minnesota Twins dugout"". Obstructed views Overhang/rain coverage Accessible/WC rows","HIGH - zone, rows, location and seat direction stated by the source"
6,Dugout Box and Champions Club (1-17),Dugout Boxes,"Located in Sections 1–6 and 11–17 along the infield at field level; ""Sections 4–6 sit behind the Twins dugout""",1,toward first base / right field,5-13,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Protective netting is installed in front of these sections for fan safety"". ""Located behind the Minnesota Twins dugout"". Obstructed views Overhang/rain coverage Accessible/WC rows","HIGH - zone, rows, location and seat direction stated by the source"
7,Dugout Box and Champions Club (1-17),Champions Club,Located near the Minnesota Twins dugout,0,behind home plate,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 8. This section is behind home plate, so seat 1 is on its first-base side.",not published,Lettered rows (A-M). Near the Minnesota Twins dugout. Netting Obstructed views Overhang/rain coverage Accessible/WC rows,"HIGH - zone, rows, location and seat direction stated by the source"
8,Dugout Box and Champions Club (1-17),Champions Club,Located directly behind home plate in four exclusive sections near the field.,0,behind home plate,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 9. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""Rows in Champions Club 8 are labeled A-M"" (lettered rows). Page notes Section 10 (not Section 8) ""includes wheelchair-accessible seating in Row A"". Netting Obstructed views Overhang/rain coverage","HIGH - zone, rows, location and seat direction stated by the source"
9,Dugout Box and Champions Club (1-17),Champions Club,"Sections 8 and 9, located directly behind home plate, are generally considered the most desirable seats",0,behind home plate,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 8, with seat numbers counting up toward the edge facing section 10. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""Rows in Champions Club 9 are labeled A-M"" (lettered rows). Netting Obstructed views Dugout adjacency Overhang/rain coverage Accessible/WC rows","HIGH - zone, rows, location and seat direction stated by the source"
10,Dugout Box and Champions Club (1-17),Champions Club,Located near the visitor dugout,0,behind home plate,D-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 9, with seat numbers counting up toward the edge facing section 11. This section is behind home plate, so seat 1 is on its first-base side.",not published,"Lettered rows (D-M). Near the visitor dugout. Wheelchair-accessible seating stated in ""Row A"". Netting Obstructed views Overhang/rain coverage","HIGH - zone, rows, location and seat direction stated by the source"
