zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Outfield Reserved,Lower Level (100s),"100-105, 157-159",9,"Sections 104-105 are located near the visitor bullpen in right field.""; ""The visiting team bullpen is in front of Sections 104 and 105",5 different row ranges - see the section table,varies by section
not named by the source,Lower Level (100s),"108-110, 154-156",6,not stated by the source,6 different row ranges - see the section table,varies by section
Lower Box Seats,Lower Level (100s),111-153,43,"Site's general ""Lower Box seating includes sections 111-153 on the White Sox seating chart."" Site places this section between the visitor dugout block and home plate: ""Visitor Dugout: Sections 122-127"" and ""Behind Home Plate: Sections 130-134, located directly behind the premium Scout Seats""",15 different row ranges - see the section table,varies by section
Bleachers,Lower Level (100s),160-164,5,Traditional metal bleachers located directly in left center field at Rate Field.,4 different row ranges - see the section table,varies by section
Club Level,Club Level (300s),"311-312, 314, 316, 318, 320, 322, 324, 326, 328-330, 334-336, 338, 340, 342, 344, 346, 348, 350, 352, 354, 356-357",26,"""Club Level seats at Rate Field are located on the 300 Level between the lower seating bowl and upper deck"", with Section 335 noted as one of the sections closest to home plate",2 different row ranges - see the section table,varies by section
Upper Reserved,Upper Level (500s),"506-510, 512, 514, 516, 518, 520, 544, 546, 548, 550, 552, 554-558",20,"Upper Reserved seating includes the outermost sections of the 500 Level, including 506-520 and 544-558. These sections are positioned farther down the lines and toward the corners of the upper deck, which places them farther from home plate than the nearby Upper Box sections (522-542) located behind the infield.",3 different row ranges - see the section table,varies by section
Upper Box,Upper Level (500s),522,1,Upper Box seats sit behind home plate and along the infield on the 500 Level,1-21,1
Upper Box Seats,Upper Level (500s),"524, 526-531, 533-538, 540, 542",15,"Upper Box seating includes sections 522-544 on the White Sox seating chart and is located on the 500 Level behind home plate and along the infield."" Also described as providing a ""Home Plate View.",2 different row ranges - see the section table,varies by section
Clubs and suites,"Clubs, suites and other named areas","Guaranteed Rate Club, Suite 134",2,Suite 134 is a new seating location on the lower level. This is the only suite on the 100 level and is located behind home plate on the White Sox side of the field.,UNKNOWN,UNKNOWN
Outfield social area,"Clubs, suites and other named areas",Miller Lite Landing,1,"The Miller Lite Landing is located in right field at Rate Field, replacing the former Sections 106 and 107 along the outfield concourse.",UNKNOWN,UNKNOWN
Standing room,"Clubs, suites and other named areas",Miller Lite Landing SRO,1,"The Miller Lite Landing is located in right field at Rate Field, replacing the former Sections 106 and 107 along the outfield concourse.",UNKNOWN,UNKNOWN
Scout Seats,"Clubs, suites and other named areas","130S-131S, 133S-134S",4,"Scout Seats at Rate Field are located in the first four sections directly behind home plate, labeled 130S-134S.",1-11,UNKNOWN
