zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Outfield Reserve,Main Level (100s),"100-107, 138-143",14,Located just beyond the outfield walls and in prime home run ball territory. These seats are also the home of the Center Field Lounge and Center Field Reserved seating areas (located in section 100) which provide fans with a unique viewing experience and close proximity to the Red Porch Restaurant.,7 different row ranges - see the section table,varies by section
Field Level Down the Line,Main Level (100s),"108-113, 132-137",12,"Field Level Down the Line seating is a good option for fans that prefer being on the lowest tier ... The sections will begin to angle the seating more towards the infield as you get closer to the foul poles ... In the sections closer to the infield, the lower half of seating is known as Baseline Box, while the upper half of seating is known as the Baseline Reserved.",5 different row ranges - see the section table,WW
Dugout Box,Main Level (100s),"114-118, 127-131",10,"100 Level, lowest tier behind both dugouts; per the Dugout Box review, 'Sections on the third base side (114–118) sit near the visiting team dugout, while sections on the first base side (127–131) sit near the Nationals dugout.'",4 different row ranges - see the section table,varies by section
Diamond Club,Main Level (100s),119-126,8,"100 Level, directly behind home plate at the front of the lower bowl, positioned just above the Terra Club sections; per the PNC Diamond Club review, 'The club includes Sections 121–125, along with Rows A–H of Sections 119, 120, and 126' — so only Rows A-H of Section 120 are Diamond Club, elevated roughly a dozen rows off the field.",A-U,U
Mezzanine Level,Mezzanine (200s),"201-205, 223, 225, 227, 229, 231, 233, 235",12,"This area includes Sections 201–205 on the third base side and Sections 223–235 on the first base side. These sections sit just beyond the Champions Club seating closer to home plate, but do not include access to the club amenities.",A-P,P
Champions Club,Mezzanine (200s),206-221,16,"""Champions Club seating includes Sections 206–221 on the Mezzanine Level at Nationals Park... These sections wrap around the infield and sit directly above the lower-level seating bowl."" Section 217 is not one of the Champions Club MVP sections (those are 212–215).",2 different row ranges - see the section table,varies by section
Right Field Terrace,Mezzanine (200s),"222, 224, 226, 228, 230, 232, 234, 236",8,"""The Right Field Terrace is a separate deck that is located above the Mezzanine and Club seats along the right field side... The seats are separated into the Lower Right Field Terrace in the first ten rows (Rows A-J) and Upper Right Field Terrace in the remaining 14 rows.""",2 different row ranges - see the section table,A
Scoreboard Pavilion,Mezzanine (200s),237-243,7,"Second tier behind the outfield walls; ""Sections 237 and 238 sit closer to right field, while sections 240–243 extend farther toward right-center field."" ""Bullpen Views Available: Front rows of Sections 237 and 238 offer a unique view overlooking the bullpen below.""",A-P,P
Gallery Seating,Gallery (300s),301-321,21,"Sections located directly behind home plate (310–316) are the most desirable on this level. From these seats, fans get a centered view of the infield and pitching matchups.",2 different row ranges - see the section table,varies by section
Gallery Seating,Upper Gallery (400s),"401-409, 416-420",14,not stated by the source,A-N,A
Terra Club,"Clubs, suites and other named areas","A, C, D, E",4,"The Terra Club (formerly the Nationals Club) includes Sections A–E located directly behind home plate on the field level."" ""Sections A–E sit directly behind home plate."" Section A is ""directly behind home plate and centered between the dugouts.",2 different row ranges - see the section table,L
Terra Clu,"Clubs, suites and other named areas",B,1,"Sections A–E sit directly behind home plate"" and are ""located directly behind home plate on the field level. These sections sit between the two dugouts.",A-L,L
Diamond Club,"Clubs, suites and other named areas",Diamond Club Tables,1,"directly behind home plate at the front of the lower bowl, positioned just above the Terra Club sections."" ""Behind the seating area is the PNC Diamond Club Lounge.",UNKNOWN,UNKNOWN
Standing room,"Clubs, suites and other named areas",SRO,1,not stated by the source,UNKNOWN,UNKNOWN
