zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Corner Boxes,Lower Level (1-33),"1-4, 22-26",9,"""Located near the foul poles on the lowest seating level at Globe Life Field""; page places sections 22-26 ""along the first base corner"". aviewfrommyseat.com location tag: ""along the 1st base line"".",2 different row ranges - see the section table,UNKNOWN
not named by the source,Lower Level (1-33),"5-7, 21",4,"For baseball games, these seats are located behind the visitor dugout",3 different row ranges - see the section table,UNKNOWN
Lexus Club Seats,Lower Level (1-33),8-19,12,"Located in the first eight rows of sections 8-19, placing fans extremely close to the field (Lexus Club); Located on the Rangers side of the field in sections 15-19 and section 20 along the infield (Shift4 Club)",2 different row ranges - see the section table,UNKNOWN
Shift4 Club Seats,Lower Level (1-33),20,1,"Near Rangers Dugout; ""Located on the Rangers side of the field in sections 15-19 and section 20 along the infield""; ""These seats are located behind the Rangers dugout""",3-16,UNKNOWN
All You Can Eat Seats,Lower Level (1-33),27-33,7,"rateyourseats.com states no baseball location sentence naming section 31; it states only the concert descriptor ""Behind/Side Stage (most shows)"" and the zone sentence ""sections 27-33 in left field"". aviewfrommyseat.com location tag: ""outfield"".",2 different row ranges - see the section table,varies by section
Mezzanine Level,Mezzanine Level (100s),101-127,27,"Part of the 100-level sections that ""wraps around the entire stadium from foul pole to foul pole"" and includes ""infield and outfield seating areas"". aviewfrommyseat.com location tags: ""along the 3rd base line"" and ""behind away team dugout"".",6 different row ranges - see the section table,varies by section
Right Field Mezzanine,Mezzanine Level (100s),128-133,6,"Right Field Mezzanine"" - outfield seating area on the Mezzanine Level; part of Sections 128-133, ""some of the largest sections in Globe Life Field, with nearly 30 rows in each section and entrances located at the back.",3 different row ranges - see the section table,varies by section
Teremana Terrace,Mezzanine Level (100s),134-135,2,"""Located in sections 134 and 135 on the Mezzanine Level"" in ""straightaway center field"", positioned above the batter's eye",2 different row ranges - see the section table,UNKNOWN
Left Field Mezzanine,Mezzanine Level (100s),136-142,7,"Left Field Mezzanine (Sections 136-142) These sections are less likely to see home run balls, but they offer better accessibility and easier access to the center field plaza.",3 different row ranges - see the section table,varies by section
Budweiser Sky Porch,Pavilion Level (200s),201-204,4,"Sections 201-204 make up the Budweiser Sky Porch, a unique seating area known for its relaxed atmosphere and rocking chair seating.",2 different row ranges - see the section table,varies by section
Corner Pavilion,Pavilion Level (200s),"205-207, 229-232",7,"Located closer to the outfield corners, these seats offer angled views of the field and are usually more affordable.",3 different row ranges - see the section table,varies by section
Baseline Pavilion,Pavilion Level (200s),"208-213, 221-228",14,These sections sit down the first and third base lines and offer a solid view of the infield while typically costing less than the infield sections.,3 different row ranges - see the section table,varies by section
Infield Pavilion,Pavilion Level (200s),214-220,7,"Infield Pavilion (214-220) These sections offer the best views on the Pavilion Level, thanks to their centered perspective of the field behind home plate.",2 different row ranges - see the section table,varies by section
Right Field Pavilion,Pavilion Level (200s),233-239,7,"""These sections sit beyond the outfield wall in right field"" - rateyourseats places 239 in RIGHT field (last section of the Right Field Pavilion group 233-239); other sources may describe this area as right-center, but this source states right field",3 different row ranges - see the section table,varies by section
Left Field Pavilion,Pavilion Level (200s),240-244,5,"""Located deep in left field, these sections offer value pricing but more distant views of home plate."" - rateyourseats places 240 in LEFT field (first section of the Left Field Pavilion group 240-244)",1-9,9
"Upper Level / ""Upper Reserved",Upper Level (300s),301,1,"the highest seats at Globe Life Field""; Upper Level sections described as located in ""corners and down the first and third base lines",1-14,1
Upper Reserved,Upper Level (300s),"302-303, 306-307, 318-319, 322",7,"Sections located in the corners and down the first and third base lines""; Section 318 recommended for ""best sight lines to first and third base",1-14,1
Upper Level / Upper Reserved,Upper Level (300s),"304-305, 320-321",4,"The Upper Level includes all sections in the 300s, the highest seats at Globe Life Field.",1-14,1
Upper Box,Upper Level (300s),"308, 314-315, 317",4,"Highest seats at Globe Life Field""; ""the Upper Level includes all sections in the 300s",3 different row ranges - see the section table,1
Upper Level / Upper Box,Upper Level (300s),"309-313, 316",6,"Highest seats at Globe Life Field""; part of sections in the 300s that ""sit closer to home plate and offer more centered views of the field",2 different row ranges - see the section table,1
Upper Level,Upper Level (300s),323-326,4,Sections 325 and 326 may also be labeled as Grandstand sections. These seats sit the farthest from home plate and highest in the stadium,1-14,1
Lounge tables,"Clubs, suites and other named areas","First Base Lounge Table, Third Base Lounge Table",2,"""The Lounge Tables at Globe Life Field are located at field level directly next to the player dugouts, placing fans extremely close to the action."" ""Third Base Dugout Lounge Tables - located along the third base side near the visiting team dugout"".",UNKNOWN,UNKNOWN
Clubs and suites,"Clubs, suites and other named areas","Home Plate Suite 1, Home Plate Suite 10, Home Plate Suite 11, Home Plate Suite 12, Home Plate Suite 13, Home Plate Suite 14, Home Plate Suite 2, Home Plate Suite 3, Home Plate Suite 4, Home Plate Suite 5, Home Plate Suite 6, Home Plate Suite 7, Home Plate Suite 8, Home Plate Suite 9",14,"""Located at field level directly between the dugouts behind home plate."" The suites are ""located directly between the Rangers and visitor dugouts at field level"".",UNKNOWN,UNKNOWN
Sky Box,"Clubs, suites and other named areas","Sky Box 1, Sky Box 2, Sky Box 3, Sky Box 4",4,Sections SB1-SB4 are known as Sky Boxes at Globe Life Field. These sections are tucked away in the left-field corner and offer access to a private dining and concessions space at the top of the sections.,2 different row ranges - see the section table,varies by section
Standing room,"Clubs, suites and other named areas",Standing Room Only,1,"Most SRO spaces are located in left field and center field along the open concourse."" ""The most common SRO locations are found along the open concourse areas in left field and center field."" ""One of the most popular SRO spots is the standing room deck located in left-center field.",UNKNOWN,UNKNOWN
Clubs and premium,"Clubs, suites and other named areas","Texas Terrace 1, Texas Terrace 2",2,Located above sections 122-123 on the first base side of Globe Life Field.,UNKNOWN,UNKNOWN
