section,level,zone,location_in_stadium,side_of_ballpark,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,100 Field Level,Field Bleachers,"Right field, beyond the right-field wall in fair territory, the section deepest toward right-center; sits directly above the visiting team bullpen",right field,16,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 102; seat numbers count UP toward the far edge of the section (no lower-numbered section beyond it). Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"First five rows uncovered; rear rows shaded by the overhang above. Bench seating with backrests, no armrests. Center-field scoreboard hard to see.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
102,100 Field Level,Field Bleachers,"Right field, beyond the right-field wall in fair territory; sits directly above the visiting team bullpen",right field,15,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 14.","Seat 1 is on the edge facing section 103; seat numbers count UP toward the edge facing section 101. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),First five rows uncovered; rear rows shaded by the overhang. Bench seating with backrests. Behind or beside the stage for most concerts.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
103,100 Field Level,Field Bleachers,"Right field, beyond the right-field wall in fair territory",right field,14,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 14.","Seat 1 is on the edge facing section 104; seat numbers count UP toward the edge facing section 102. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),First five rows uncovered; rear rows shaded. Bench seating with numbered bench spaces. TVs mounted overhead for replays.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
104,100 Field Level,Field Bleachers,"Right field, beyond the right-field wall in fair territory, nearest the right-field foul pole",right field,13,toward first base / right field,1-14,14,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 14.","Seat 1 is on the edge facing section 106; seat numbers count UP toward the edge facing section 103. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),First five rows uncovered; rear rows shaded. A fan report notes a pole obstruction at row 11. Popular for left-handed home runs.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
106,100 Field Level,Field Outfield Box,Lowest tier in right-field foul territory between the right-field foul pole and first base; nearest the foul pole. Front rows sit against the outfield wall,right field / first-base line,11,toward first base / right field,17-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 107; seat numbers count UP toward the edge facing section 104. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Right-field sections generally get better shade for day games. Front rows sit against the outfield wall.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
107,100 Field Level,Field Outfield Box,Lowest tier in right-field foul territory between the right-field foul pole and first base; between the foul pole and first base. Front rows sit against the outfield wall,right field / first-base line,10,toward first base / right field,7-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 108; seat numbers count UP toward the edge facing section 106. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Better shade than the left-field side for day games. One fan review reports the section is not behind netting.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
108,100 Field Level,Field Outfield Box,Lowest tier in right-field foul territory between the right-field foul pole and first base; between the foul pole and first base. Front rows sit against the outfield wall,right field / first-base line,9,toward first base / right field,9-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 109; seat numbers count UP toward the edge facing section 107. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Angled view toward home plate. An affordable lower-level option.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
109,100 Field Level,Field Outfield Box,Lowest tier in right-field foul territory between the right-field foul pole and first base; nearest first base. Front rows sit against the outfield wall,right field / first-base line,8,toward first base / right field,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 110; seat numbers count UP toward the edge facing section 108. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"Lower rows get sun early in day games, shade later.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
110,100 Field Level,Field Infield Box,"Lowest tier along the infield on the first-base side, at first base",first-base side,7,toward first base / right field,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 111; seat numbers count UP toward the edge facing section 109. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",about 22 in most rows,Most rows have about 22 seats. Consistent shade even with the roof open.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
111,100 Field Level,Field Infield Box,Lowest tier along the infield on the first-base side,first-base side,6,toward first base / right field,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 112; seat numbers count UP toward the edge facing section 110. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Consistent shade even with the roof open.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
112,100 Field Level,Field Infield Box,"Lowest tier along the infield on the first-base side, directly in front of the Brewers (home) dugout",first-base side,5,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 113; seat numbers count UP toward the edge facing section 111. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"Netting or screening in front of sections 112-123, height varies. Row 4 is the first row behind the Brewers dugout.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
113,100 Field Level,Field Infield Box,"Lowest tier along the infield on the first-base side, directly in front of the Brewers (home) dugout",first-base side,4,toward first base / right field,4-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 114; seat numbers count UP toward the edge facing section 112. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Behind the Brewers dugout. Row 4 is the first row behind the dugout. Netting in front.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
114,100 Field Level,Field Infield Box,"Lowest tier along the infield on the first-base side, directly in front of the Brewers (home) dugout",first-base side,3,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 115; seat numbers count UP toward the edge facing section 113. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Behind the Brewers dugout. Row 4 is the first row behind the dugout. Netting in front.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
115,100 Field Level,Field Infield Box,Lowest tier along the infield on the first-base side,first-base side,2,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 116; seat numbers count UP toward the edge facing section 114. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Netting in front. Consistent shade even with the roof open.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
116,100 Field Level,Field Infield Box,"Lowest tier along the infield on the first-base side, just to the first-base side of home plate",first-base side,1,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 117; seat numbers count UP toward the edge facing section 115. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"Netting in front. Reviewers report it very sunny early in day games, shaded by roughly 2pm in July.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
117,100 Field Level,Field Infield Box,Lowest tier directly behind home plate,behind home plate,0,behind home plate,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 118; seat numbers count UP toward the edge facing section 116. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),Netting in front. Consistent shade.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
118,100 Field Level,Field Infield Box,Lowest tier directly behind home plate,behind home plate,0,behind home plate,1-27,27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 27.","Seat 1 is on the edge facing section 119; seat numbers count UP toward the edge facing section 117. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),"Netting in front. Sunny early, shaded later. Gives glimpses into the dugout.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
119,100 Field Level,Field Infield Box,Lowest tier directly behind home plate (the protective net behind home plate ends in this section),behind home plate,0,behind home plate,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 120; seat numbers count UP toward the edge facing section 118. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),"The net behind home plate ENDS in this section - half the section is behind net, half is not. View into the home dugout.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
120,100 Field Level,Field Infield Box,Lowest tier directly behind home plate,behind home plate,0,behind home plate,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 121; seat numbers count UP toward the edge facing section 119. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),Netting in front. Consistent shade.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
121,100 Field Level,Field Infield Box,"Lowest tier along the infield on the third-base side, directly in front of the visiting team dugout",third-base side,1,toward third base / left field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 122; seat numbers count UP toward the edge facing section 120. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Behind the visitors dugout. Row 4 is the first row behind the dugout. Netting in front.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
