section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,Field Level - Diamond and Scout Seats (1-25),Diamond Seats,"""Located in Sections 1-5, directly behind home plate within the first eight rows"" (rateyourseats.com)",0,behind home plate,D-H,H,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row H.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. This section is behind home plate, so seat 1 is on its first-base side.",not published,"Premium seating area behind home plate. Obstructed views, sun/shade, netting, dugout adjacency, accessible rows and seat type not stated. rateyourseats.com section 1 page.","HIGH - zone, rows, location and seat direction stated by the source"
2,Field Level - Diamond and Scout Seats (1-25),Diamond Seats,"""Located in Sections 1-5, directly behind home plate within the first eight rows"" (rateyourseats.com)",0,behind home plate,A-H,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 1. This section is behind home plate, so seat 1 is on its first-base side.",not published,"Described as a ""Premium seating area"" with a ""desirable view from behind home plate"" and a ""Head-on view"" for performances. Obstructed views, sun/shade, netting, dugout adjacency, accessible rows and seat type not stated. rateyourseats.com section 2 page.","HIGH - zone, rows, location and seat direction stated by the source"
3,Field Level - Diamond and Scout Seats (1-25),Diamond Seats,"""Located in Sections 1-5, directly behind home plate within the first eight rows"" (rateyourseats.com)",0,behind home plate,A-I,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 2. This section is behind home plate, so seat 1 is on its first-base side.",not published,"Page carries a venue-wide fan note that ""There is some amount of netting or screening in front of sections 113-133"" - that note is about sections 113-133, not section 3. Sun/shade, dugout adjacency, accessible rows and seat type not stated. rateyourseats.com section 3 page.","HIGH - zone, rows, location and seat direction stated by the source"
4,Field Level - Diamond and Scout Seats (1-25),Diamond Seats,"""Located in Sections 1-5, directly behind home plate within the first eight rows"" (rateyourseats.com)",0,behind home plate,A-H,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 3. This section is behind home plate, so seat 1 is on its first-base side.",not published,"Obstructed views, sun/shade, netting, dugout adjacency, accessible rows and seat type not stated. rateyourseats.com section 4 page.","HIGH - zone, rows, location and seat direction stated by the source"
5,Field Level - Diamond and Scout Seats (1-25),Diamond Seats,"""Located in Sections 1-5, directly behind home plate within the first eight rows"" (rateyourseats.com)",0,behind home plate,A-H,H,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row H.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 22, with seat numbers counting up toward the edge facing section 4. This section is behind home plate, so seat 1 is on its first-base side.",not published,"Obstructed views, sun/shade, netting, dugout adjacency, accessible rows and seat type not stated. rateyourseats.com section 5 page.","HIGH - zone, rows, location and seat direction stated by the source"
22,Field Level - Diamond and Scout Seats (1-25),Scout Seats,"""Located directly behind home plate""; these sections ""sit just behind the Diamond Club seating, with only eight rows of Diamond Club seats separating them from the backstop wall"" (rateyourseats.com)",0,behind home plate,A-H,H,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row H.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 23, with seat numbers counting up toward the edge facing section 5. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""All seats in these sections feature extra-wide padded chairs"" (individual seats, not benches). ""There is some amount of netting or screening in front of sections 113-133"" - not stated for section 22. Sun/shade, dugout adjacency and accessible rows not stated. rateyourseats.com section 22 page.","HIGH - zone, rows, location and seat direction stated by the source"
23,Field Level - Diamond and Scout Seats (1-25),Scout Seats,"""Located directly behind home plate for excellent sightlines of the entire field"" (rateyourseats.com)",0,behind home plate,A-H,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 24, with seat numbers counting up toward the edge facing section 22. This section is behind home plate, so seat 1 is on its first-base side.",Rows A-B have 10 seats; rows C-F have 11 seats; row G has 12 seats; row H (handicap) has 9 seats,"Row H is designated handicap/accessible seating. ""extra-wide padded chairs"" (individual seats). ""There is some amount of netting or screening in front of sections 113-133"" - not stated for section 23. Sun/shade and dugout adjacency not stated. rateyourseats.com section 23 page.","HIGH - zone, rows, location and seat direction stated by the source"
24,Field Level - Diamond and Scout Seats (1-25),Scout Seats,"""Located directly behind home plate""; ""Sections 22-25 are referred to as Scout Box seats and are positioned slightly closer to the field"" (rateyourseats.com)",0,behind home plate,A-H,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 25, with seat numbers counting up toward the edge facing section 23. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""extra-wide padded chairs"" for Scout Seats (individual seats). ""There is some amount of netting or screening in front of sections 113-133"" - not stated for section 24. Sun/shade, dugout adjacency and accessible rows not stated. rateyourseats.com section 24 page.","HIGH - zone, rows, location and seat direction stated by the source"
25,Field Level - Diamond and Scout Seats (1-25),Scout Seats,"""Located directly behind home plate"", with ""only eight rows of Diamond Club seats separating them from the backstop wall"" (rateyourseats.com)",0,behind home plate,A-H,H,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row H.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 24. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""extra-wide padded chairs"" (individual seats). ""There is some amount of netting or screening in front of sections 113-133"" - not stated for section 25. Sun/shade, dugout adjacency and accessible rows not stated. rateyourseats.com section 25 page.","HIGH - zone, rows, location and seat direction stated by the source"
101,Lower Bowl (100s),not named by the source,"""Behind/Side Stage (most shows)"" (rateyourseats.com concert-context label; no baseball-context physical location stated)",21,toward third base / left field,A-Q,Q,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Q.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""101 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view"". ""Rows J and above are under cover"". ""Sit in a higher number seat in Section 101 to be close to the Reds bullpen"". Netting, accessible rows and seat type not stated. rateyourseats.com section 101 page.","MEDIUM - rows confirmed, ticket zone not named by the source"
