zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Home Plate Club,Field Level boxes (0-13),"1-5, 0-6",7,"Section 6 sits closer to the visiting team’s on-deck circle"" within ""The Blue Shield Home Plate Club is located directly behind home plate at field level in Sections 0–6 at Petco Park."" ""Section 6 is tagged with: ✓ behind home plate ✓ behind the netting"" and ""Seats here are tagged with: ... ✓ is near the visitor's dugout ...",UNKNOWN,UNKNOWN
First Base VIP Box,Field Level boxes (0-13),7-11,3,"The First Base VIP Box is located along the first base line at field level, sitting just beside the Padres dugout at Petco Park."" ""Field-Level Premium Seating: Located just feet from the infield along the first base line at Petco Park."" ""Section 11 is tagged with: ✓ along the 1st base line ✓ behind the netting",UNKNOWN,UNKNOWN
Third Base Coach's Box,Field Level boxes (0-13),8-10,2,"The Third Base Coach’s Box is located along the third base line at field level in Sections 8 and 10."" ""Field-Level Seating: Located along the third base line in Sections 8 and 10."" ""Section 10 is tagged with: ✓ along the 3rd base line ✓ behind the netting",UNKNOWN,UNKNOWN
not named by the source,Field Level boxes (0-13),13,1,not stated by the source,1-3,UNKNOWN
Field Box VIP,Field Level (100s),"101-111, 102-112",12,"For baseball games, these seats are located behind the visitor dugout"" / ""Near the Dugouts: Sections 107–109 sit closest to the Padres dugout, while Sections 108–110 are near the visitor dugout."" / ""Field Box seating at Petco Park includes Sections 101 through 112, located along the infield between the bases."" / ""Row 8 in Section 108 sits directly behind the visitor dugout",7 different row ranges - see the section table,varies by section
Field Level Down the Line,Field Level (100s),"113-127, 114-124",14,"Q&A image caption : ""Seats down the first base line might start in the shade, but will see more sun as the day progresses (photo taken from Section 123)"". Q&A image alt text : ""Sun on the first base side at Petco Park"". Zone review ( generic): ""Sitting down the lines offers a more affordable option for staying on the field level and close to the action.""",12 different row ranges - see the section table,varies by section
Lower Level Outfield,Field Level (100s),"129-137, 126-134",10,"Zone review : ""Head to even numbered sections 126-134 in left field just after gates open and you might be able to grab one during batting practice."" and ""The left field side has a number of other advantages, including being right next to the bullpens near Section 134, and good overhead coverage and protection from the sun in rows 6 and higher.""",6 different row ranges - see the section table,varies by section
Toyota Terrace,Toyota Terrace and Upper Box Outfield (200s),"201-223, 202-224",24,"Terrace Pavilion"" / ""Sections 218–224"" / ""Located closer to the outfield corners""; and, from the same page, ""Odd-numbered sections run along the first base side"" (219 is odd, therefore first-base side). ""Some the best seats in Petco Park for viewing a Sunset will be located down the first base line near the right field foul pole."" ...""",7 different row ranges - see the section table,varies by section
Upper Level Outfield,Toyota Terrace and Upper Box Outfield (200s),"227-235, 226-230",8,"Petco Park Insider : ""Section 226, 228, 230 - Upper Box Left Field"" / ""Left field beneath the main video scoreboard, sandwiched between hospitality spaces The Point and The Landing. Section 226 is at the foul pole and Western Metal Bldg"". On-page fan review corroborates left field : ""You're really close to the left-fielder, which is pretty cool.""",4 different row ranges - see the section table,varies by section
Upper Box and Reserved,Upper Deck (300s),"301-329, 300-312, 316-328",29,"""Pittsburgh Pirates at San Diego Padres - Jul 25, 2023 - Very high up on the third base side of the field but adequate viewing of the game."" (Sec 312 / Row 11 - Baseball). No expert/editorial placement for this section beyond the zone-level ""These sections stretch across the entire upper deck, running from the right field corner across home plate to the left field corner.""",10 different row ranges - see the section table,varies by section
Premier Club,"Clubs, suites and other named areas","A, C, D, E, F, G, H, I, J, K, L",11,"Located behind home plate in the only lettered sections at Petco Park."" ""Located between the dugouts at Petco Park, positioned just behind the Home Plate Club and Field Box VIP seats."" ""Sections L and K will be closest to the Padres dugout.",5 different row ranges - see the section table,varies by section
Clubs and suites,"Clubs, suites and other named areas","Agave Club, Coronado Club 206, Coronado Club 208, Coronado Club 210, Gallaghers Club A, Gallaghers Club B",6,"Located on the 200 Level between home plate and third base."" The club is ""located on the Terrace Level (200 Level) at Petco Park, positioned between home plate and third base,"" comprising ""Sections TCL 206, TCL 208, and TCL 210, which sit directly above the Toyota Terrace sections 206-210.",2 different row ranges - see the section table,UNKNOWN
Premier Clu,"Clubs, suites and other named areas",B,1,"Located behind home plate in the only lettered sections at Petco Park."" ""Located between the dugouts at Petco Park, positioned just behind the Home Plate Club and Field Box VIP seats."" ""Sections A and B sit closer to the visitor dugout.",1-10,UNKNOWN
General admission,"Clubs, suites and other named areas","Gallagher Square, The Landing",2,"For concerts the page states ""Behind/Side Stage (most shows)"" and ""The Landing is behind the stage or to the side of the stage for most concerts.""",2 different row ranges - see the section table,UNKNOWN
Drink rail,"Clubs, suites and other named areas",Rail Seats,1,"Down the left field line inside the Western Metal Building."" ""Located down the left field line with views toward the infield and outfield.",UNKNOWN,UNKNOWN
Upper Level Outfield,"Clubs, suites and other named areas",The Point,1,"The page categorises The Point as ""Upper Level Outfield (Baseball)"" but does not state which field side it occupies. For concerts it states ""Behind/Side Stage (most shows)"" and ""The Point is behind the stage or to the side of the stage for most concerts.""","1, SRO",SRO
