section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1DC,Dugout Club (1DC–15DC),Dugout Club,"The Dugout Club sections run from dugout to dugout directly behind home plate on the field level at Dodger Stadium."" ""Sections span from the Dodgers dugout to the visitors dugout, placing fans directly next to the action."" ""Behind Home Plate (Between the Dugouts) Sections 1DC, 2DC, 3DC, 4DC, 5DC, and 7DC sit directly behind home plate between the two dugouts.",0,behind home plate,BB-JJ,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 3DC. This section is behind home plate, so seat 1 is on its first-base side.",not published,"""Top Pick for Impressing a Guest""; ""Home Plate View""; ""Dugout Club""; ""Rows BB-JJ"". ""For baseball games, we recommend these seats for impressing a guest""; ""For baseball games, desirable view from behind home plate""; ""Premium seating area as part of the Dugout Club"". Row range BB-JJ on 1DC differs from the AA-JJ range printed on 2DC, 3DC, 4DC, 5DC and 7DC - recorded as stated. Netting/obstruction (fan-feedback item shown on the page): ""Front of sections 1-25 are behind the netting - There is some amount of netting or screening in front of sections 1-25. The height and coverage of netting or screening will vary by section."" ""In-Seat Wait Service (Dodgers games): Food and drinks can be delivered directly to your seat so never miss a pitch."" and ""Fans in the Dugout Club can order food and drinks delivered directly to their seat, ensuring they never miss any of the action.""","HIGH - zone, rows, location and seat direction stated by the source"
2DC,Dugout Club (1DC–15DC),Dugout Club,"The Dugout Club sections run from dugout to dugout directly behind home plate on the field level at Dodger Stadium."" ""Sections span from the Dodgers dugout to the visitors dugout, placing fans directly next to the action."" ""Behind Home Plate (Between the Dugouts) Sections 1DC, 2DC, 3DC, 4DC, 5DC, and 7DC sit directly behind home plate between the two dugouts.",0,behind home plate,AA-JJ,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 4DC. This section is behind home plate, so seat 1 is on its third-base side.",not published,"""Top Pick for Impressing a Guest""; ""Home Plate View""; ""Dugout Club""; ""Rows AA-JJ"". ""For baseball games, we recommend these seats for impressing a guest""; ""For baseball games, desirable view from behind home plate""; ""Premium seating area as part of the Dugout Club"". Netting/obstruction (fan-feedback item shown on the page): ""Front of sections 1-25 are behind the netting - There is some amount of netting or screening in front of sections 1-25. The height and coverage of netting or screening will vary by section."" ""In-Seat Wait Service (Dodgers games): Food and drinks can be delivered directly to your seat so never miss a pitch."" and ""Fans in the Dugout Club can order food and drinks delivered directly to their seat, ensuring they never miss any of the action.""","HIGH - zone, rows, location and seat direction stated by the source"
3DC,Dugout Club (1DC–15DC),Dugout Club,"The Dugout Club sections run from dugout to dugout directly behind home plate on the field level at Dodger Stadium."" ""Sections span from the Dodgers dugout to the visitors dugout, placing fans directly next to the action."" ""Behind Home Plate (Between the Dugouts) Sections 1DC, 2DC, 3DC, 4DC, 5DC, and 7DC sit directly behind home plate between the two dugouts.",1,toward third base / left field,AA-JJ,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 1DC, with seat numbers counting up toward the edge facing section 5DC. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Top Pick for Impressing a Guest""; ""Home Plate View""; ""Dugout Club""; ""Rows AA-JJ"". ""For baseball games, we recommend these seats for impressing a guest""; ""For baseball games, desirable view from behind home plate""; ""Premium seating area as part of the Dugout Club"". Netting/obstruction (fan-feedback item shown on the page): ""Front of sections 1-25 are behind the netting - There is some amount of netting or screening in front of sections 1-25. The height and coverage of netting or screening will vary by section."" ""In-Seat Wait Service (Dodgers games): Food and drinks can be delivered directly to your seat so never miss a pitch."" and ""Fans in the Dugout Club can order food and drinks delivered directly to their seat, ensuring they never miss any of the action.""","HIGH - zone, rows, location and seat direction stated by the source"
4DC,Dugout Club (1DC–15DC),Dugout Club,"The Dugout Club sections run from dugout to dugout directly behind home plate on the field level at Dodger Stadium."" ""Sections span from the Dodgers dugout to the visitors dugout, placing fans directly next to the action."" ""Behind Home Plate (Between the Dugouts) Sections 1DC, 2DC, 3DC, 4DC, 5DC, and 7DC sit directly behind home plate between the two dugouts.",1,toward first base / right field,AA-JJ,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 2DC, with seat numbers counting up toward the edge facing section 6DC. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Top Pick for Impressing a Guest""; ""Dugout Club""; ""Rows AA-JJ"". ""Premium seating area as part of the Dugout Club"". The ""Home Plate View"" insight and the ""desirable view from behind home plate"" seating note listed on 1DC-3DC were not returned for this page. Netting/obstruction (fan-feedback item shown on the page): ""Front of sections 1-25 are behind the netting - There is some amount of netting or screening in front of sections 1-25. The height and coverage of netting or screening will vary by section."" ""In-Seat Wait Service (Dodgers games): Food and drinks can be delivered directly to your seat so never miss a pitch."" and ""Fans in the Dugout Club can order food and drinks delivered directly to their seat, ensuring they never miss any of the action.""","HIGH - zone, rows, location and seat direction stated by the source"
5DC,Dugout Club (1DC–15DC),Dugout Club,"The Dugout Club sections run from dugout to dugout directly behind home plate on the field level at Dodger Stadium."" ""Sections span from the Dodgers dugout to the visitors dugout, placing fans directly next to the action."" ""Behind Home Plate (Between the Dugouts) Sections 1DC, 2DC, 3DC, 4DC, 5DC, and 7DC sit directly behind home plate between the two dugouts.",2,toward third base / left field,AA-JJ,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 3DC, with seat numbers counting up toward the edge facing section 7DC. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Top Pick for Impressing a Guest""; ""Dugout Club""; ""Rows AA-JJ"". ""Premium seating area as part of the Dugout Club""; ""For baseball games, we recommend these seats for impressing a guest"". ""Are section 5dg row hh seats 1 and2 good seats?"" ""While there are three sections at Dodger Stadium that are listed as Section 5, your seats appear to be in the Dugout Club. These are the seats closest to the field, and are the most sought-after tickets to a Dodgers game. You'll enjoy impressive views, in-seat wait service and lounge access. You'll also be seated among LA royalty, as a number of celebrities typically crowd these seats."" This answer confirms that a ticket reading ""Section 5"" can mean any of three different Dodger Stadium sections, but it does NOT state which side seat 1 is on.","HIGH - zone, rows, location and seat direction stated by the source"
6DC,Dugout Club (1DC–15DC),Dugout Club,"Sections 6DC, 8DC, and 10DC are positioned along the third base side behind the visiting team dugout."" ""These seats offer incredible proximity to visiting players and coaches entering and exiting the dugout."" ""For baseball games, these seats are located behind the visitor dugout",2,toward first base / right field,AA-DD,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 4DC, with seat numbers counting up toward the edge facing section 8DC. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Top Pick for Impressing a Guest""; ""Top Pick for Visiting Team Fans""; ""Dugout Club""; ""Rows AA-DD"". ""For baseball games, these seats are located behind the visitor dugout""; ""For baseball games, we recommend these seats for impressing a guest""; ""For baseball games, we recommend these seats for visiting team fans""; ""Premium seating area as part of the Dugout Club"". this page states the even-numbered Dugout Club sections (6DC, 8DC, 10DC) are ""along the third base side behind the visiting team dugout"". That is the inverse of the verified park fact used in this project (Dodgers dugout on the THIRD base side, visitors on the FIRST base side; even section numbers run down the first base / right field side).","HIGH - zone, rows, location and seat direction stated by the source"
7DC,Dugout Club (1DC–15DC),Dugout Club,"The Dugout Club sections run from dugout to dugout directly behind home plate on the field level at Dodger Stadium."" ""Sections span from the Dodgers dugout to the visitors dugout, placing fans directly next to the action."" ""Behind Home Plate (Between the Dugouts) Sections 1DC, 2DC, 3DC, 4DC, 5DC, and 7DC sit directly behind home plate between the two dugouts.",3,toward third base / left field,AA-JJ,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5DC, with seat numbers counting up toward the edge facing section 9DC. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Top Pick for Impressing a Guest""; ""Dugout Club""; ""Rows AA-JJ"". ""Premium seating area as part of the Dugout Club"". the page names 1DC, 2DC, 3DC, 4DC, 5DC and 7DC as sitting behind home plate - 6DC is not in that list and is instead described on its own page as a visiting-dugout section. Netting/obstruction (fan-feedback item shown on the page): ""Front of sections 1-25 are behind the netting - There is some amount of netting or screening in front of sections 1-25. The height and coverage of netting or screening will vary by section."" ""In-Seat Wait Service (Dodgers games): Food and drinks can be delivered directly to your seat so never miss a pitch."" and ""Fans in the Dugout Club can order food and drinks delivered directly to their seat, ensuring they never miss any of the action.""","HIGH - zone, rows, location and seat direction stated by the source"
8DC,Dugout Club (1DC–15DC),Dugout Club,"Sections 6DC, 8DC, and 10DC are positioned along the third base side behind the visiting team dugout."" ""These seats offer incredible proximity to visiting players and coaches entering and exiting the dugout."" ""For baseball games, these seats are located behind the visitor dugout",3,toward first base / right field,AA-DD,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 6DC, with seat numbers counting up toward the edge facing section 10DC. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Top Pick for Impressing a Guest""; ""Top Pick for Visiting Team Fans""; ""Dugout Club""; ""Rows AA-DD"". ""For baseball games, these seats are located behind the visitor dugout""; ""For baseball games, we recommend these seats for impressing a guest""; ""For baseball games, we recommend these seats for visiting team fans""; ""Premium seating area as part of the Dugout Club"". this page states the even-numbered Dugout Club sections (6DC, 8DC, 10DC) are ""along the third base side behind the visiting team dugout"". That is the inverse of the verified park fact used in this project (Dodgers dugout on the THIRD base side, visitors on the FIRST base side; even section numbers run down the first base / right field side).","HIGH - zone, rows, location and seat direction stated by the source"
9DC,Dugout Club (1DC–15DC),Dugout Club,"Sections 9DC, 11DC, 13DC, and 15DC are located along the first base side behind the Dodgers dugout."" ""These are particularly popular with Dodgers fans hoping to watch players interact with teammates and coaches throughout the game."" ""These seats are located behind the Dodgers dugout",4,toward third base / left field,AA-DD,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 7DC, with seat numbers counting up toward the edge facing section 11DC. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Near Dodgers Dugout""; ""Top Pick for Impressing a Guest""; ""Dugout Club""; ""Rows AA-DD"". ""These seats are located behind the Dodgers dugout""; ""For baseball games, we recommend these seats for impressing a guest""; ""Premium seating area as part of the Dugout Club"". this page states the odd-numbered Dugout Club sections (9DC, 11DC, 13DC, 15DC) are ""along the first base side behind the Dodgers dugout"". That is the inverse of the verified park fact used in this project (Dodgers dugout on the THIRD base side; odd section numbers run down the third base / left field side). Netting/obstruction (fan-feedback item shown on the page): ""Front of sections 1-25 are behind the netting - There is some amount of netting or screening in front of sections 1-25.""","HIGH - zone, rows, location and seat direction stated by the source"
10DC,Dugout Club (1DC–15DC),Dugout Club,"Sections 6DC, 8DC, and 10DC are positioned along the third base side behind the visiting team dugout."" ""These seats offer incredible proximity to visiting players and coaches entering and exiting the dugout."" ""For baseball games, these seats are located behind the visitor dugout",4,toward first base / right field,AA-DD,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 8DC, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"""Top Pick for Impressing a Guest""; ""Top Pick for Visiting Team Fans"". ""For baseball games, these seats are located behind the visitor dugout""; ""For baseball games, we recommend these seats for impressing a guest""; ""For baseball games, we recommend these seats for visiting team fans""; ""Premium seating area as part of the Dugout Club"". this page states the even-numbered Dugout Club sections (6DC, 8DC, 10DC) are ""along the third base side behind the visiting team dugout"". That is the inverse of the verified park fact used in this project (Dodgers dugout on the THIRD base side, visitors on the FIRST base side; even section numbers run down the first base / right field side). Netting/obstruction (fan-feedback item shown on the page): ""Front of sections 1-25 are behind the netting - There is some amount of netting or screening in front of sections 1-25.""","HIGH - zone, rows, location and seat direction stated by the source"
