zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Outfield Bleachers,Field Level (100s),"101, 103, 105, 107, 111, 189, 191, 193, 195, 197",10,"""Outfield Bleachers at Busch Stadium run from right field to left-center field, covering sections: 101-111 in right field [and] 189-197 in left field."" - left field",9 different row ranges - see the section table,varies by section
Bleacher Seats / Outfield Bleachers,Field Level (100s),109,1,"Right field outfield bleachers, positioned directly above the Cardinals bullpen","11-13, 20-33",13
Field Level Outfield,Field Level (100s),"127-140, 160-172",27,"located on the lowest tier of Busch stadium, between the corner bases and wrapping to the corners of the outfield walls"" - left field side; ""Sections 170-172 are located in fair territory behind the left field wall and are a great place to sit for home run balls",18 different row ranges - see the section table,varies by section
Home Field Box,Field Level (100s),141-159,19,"Home Field Box seating—also referred to as Diamond Box seats—includes Sections 141-159, located on the lowest level of Busch Stadium along the infield.",9 different row ranges - see the section table,varies by section
Right Field Loge,Loge and Redbird Club Level (200s),"228-229, 234",3,"""Sections 228-234: Right Field Loge (closer to the outfield)"" on the 200 level",1-10,10
Right and Left Field Loge,Loge and Redbird Club Level (200s),"230-233, 235, 237, 239-240, 261, 263, 265, 267-270, 272",16,"""Sections 271 and 272 are part of the Coca-Cola Unlimited seating area, which includes access to all-you-can-eat ballpark food and Coca-Cola products throughout the game."" Also described as on the 200 level down the left field line.",6 different row ranges - see the section table,varies by section
Redbird Club,Loge and Redbird Club Level (200s),"241-242, 244-257",16,"Second level of Busch Stadium and running continuously from the third base line, behind home plate, to the first base line; desirable view from behind home plate",5 different row ranges - see the section table,varies by section
National Car Rental Club,Loge and Redbird Club Level (200s),258-260,3,"Sections 258-260 sit along the third base line on the second level, just off the infield; Section 260 is located indoors behind a glass viewing window",3 different row ranges - see the section table,varies by section
Coca-Cola Unlimited Seats / Right and Left Field Loge,Loge and Redbird Club Level (200s),271,1,"200 level down the left field line, with seats in fair territory behind the left field wall",1-14,14
Pavilion Outfield,Pavilion Level (300s),"331-335, 337, 339-340, 361, 363, 365, 367-372",17,Pavilion Outfield seating is located on the highest tier of Busch Stadium running from the corner bases and wrapping around to the behind the outfield walls. (Right field side.),4 different row ranges - see the section table,varies by section
Infield Pavilion,Pavilion Level (300s),"341-342, 344-360",19,"Pavilion Level Infield seating includes Sections 341-360, located on the 300 level of Busch Stadium and spanning from the first base side to the third base side. Also described as ""Upper Infield Location: Sections 341-360 run along the infield on the 300 level"".",4 different row ranges - see the section table,varies by section
Outfield Terrace,Terrace Level (400s),431-434,4,Terrace Level Outfield seating is exclusive to the right field side of the stadium and is comprised of the 1st Base Terrace and Right Field Terrace seating sections. Sections 435-440 are known as the 1st Base Terrace and are located closer to the infield than the Right Field Terrace Sections 431-434.,1-11,1
1st Base Terrace,Terrace Level (400s),"435, 437, 439-440",4,"""located closer to the infield than the Right Field Terrace"" and on ""the right field side of the stadium""; Sections 435-440 are part of this zone.",1-11,1
Infield Terrace,Terrace Level (400s),"441-442, 445-454",12,"""Terrace Level Infield seating includes Sections 441-454, located on the highest level of Busch Stadium directly behind home plate."" Also ""Located on the top deck of Busch Stadium"".",2 different row ranges - see the section table,varies by section
Party suites,"Clubs, suites and other named areas","200 Level Party Suites, 300 Level Party Suites",2,Located on both the 200 Level (just above the 100 level) and the 300 Level (just above the 200 level).,2 different row ranges - see the section table,UNKNOWN
Budweiser 703 Club,"Clubs, suites and other named areas","703 Club A, 703 Club B, 703 Club C, 703 Club D, 703 Club E, 703 Club F",6,"Located in left field at Busch Stadium, in the area where many of Albert Pujols' home runs landed",1-10,UNKNOWN
