zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Field Level Down the Line,Field Level (1-32),"1-2, 4-8, 25-32",15,"Third base / left field line side of the Field Level; zone described as ranging ""from the corner bases to the foul poles"". Page states ""those on the third base side will get a better vantage point to the Pittsburgh Skyline""",4 different row ranges - see the section table,UNKNOWN
Field Level Infield,Field Level (1-32),"9-13, 21-24",9,"""Field Level Infield seating is found on the lowest tier of PNC Park directly behind the two dugouts for close views of the action""; ""sections 9-13 are located directly behind the visitors"" dugout (first base side)",2 different row ranges - see the section table,UNKNOWN
Home Plate Club,Field Level (1-32),14-20,7,"directly behind the Pirates dugout""; ""Located directly behind home plate in Sections 14-19 and Rows A-E in section 20",A-M,UNKNOWN
Box Level Down the Line,Lower Bowl (100s),"101, 103, 105, 107-108, 125, 127-132",12,Box Level seating down the baselines puts you between the corner bases and foul poles and keeps you on the lower seating tier,3 different row ranges - see the section table,varies by section
Infield Box,Lower Bowl (100s),"109-110, 112-117, 119-121, 123-124",13,"Located in Sections 109-124 on the lowest seating tier at PNC Park""; ""forming the lowest tier of seating at PNC Park along the infield",2 different row ranges - see the section table,varies by section
Bleacher Reserved,Lower Bowl (100s),133-138,6,Bleacher Reserved seating is located directly behind the left field wall,4 different row ranges - see the section table,varies by section
Outfield Reserved,Lower Bowl (100s),139-147,9,behind the right field wall running from the foul pole to right center field,3 different row ranges - see the section table,varies by section
200 Level,Club Level (200s),201-205,5,along the 1st base line,2 different row ranges - see the section table,varies by section
Pittsburgh Baseball Club,Club Level (200s),"207-214, 216-217, 219-223, 225, 227-228",18,The Pittsburgh Baseball Club Level spans Sections 207 through 228 and sits at the front of the upper seating tier at PNC Park.,3 different row ranges - see the section table,varies by section
Bleacher Reserved,Club Level (200s),235-238,4,Bleacher Reserved seating is located directly behind the left field wall,A-R,A
Grandstand Down the Line,Grandstand Level (300s),"301-303, 305, 307-308, 325, 327-333",14,"rateyourseats states no physical location; aviewfrommyseat places Section 330 ""along the 3rd base line"" (Section 331 to the left, Section 329 to the right)",5 different row ranges - see the section table,varies by section
Grandstand Infield,Grandstand Level (300s),309-323,15,"rateyourseats states no physical location; aviewfrommyseat places Section 323 ""along the 3rd base line"" and ""behind home team dugout"" (Grandstand Level)",7 different row ranges - see the section table,D
not named by the source,Grandstand Level (300s),"335-336, 338",3,"rateyourseats gives only the concert designation ""Behind/Side Stage (most shows)""; its rooftop write-up places the deck ""above the left field bleachers"" and calls it ""the highest and furthest of any of the seats beyond the outfield wall""; aviewfrommyseat tags Section 336 as ""outfield""",A-C,C
Miller Lite Rooftop Deck,Grandstand Level (300s),"337, 339",2,"""Located above the left field bleachers is the Miller Lite Rooftop Deck, which is the highest and furthest of any of the seats beyond the outfield wall""; aviewfrommyseat tags Section 339 as ""outfield""",A-C,C
Field seats,"Clubs, suites and other named areas",Field Sections,1,"For concerts, a large stage is typically set up in the outfield or near second base, with rows of field seats arranged across the grass."" ""Field seating at PNC Park puts you right on the playing surface, providing some of the best views of the stage and the energy of the crowd around you.",UNKNOWN,UNKNOWN
Standing room,"Clubs, suites and other named areas",Standing Room Only,1,not stated by the source,UNKNOWN,UNKNOWN
Clubs and lounges,"Clubs, suites and other named areas",VALR VIP Lounge,1,The VALR VIP Lounge is located on the suite level near the third base side of the infield at PNC Park. It is located above Section 125,UNKNOWN,UNKNOWN
Clubs and suites,"Clubs, suites and other named areas",World Series Suites,1,not stated by the source,UNKNOWN,UNKNOWN
