section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Promenade Level (101-152),Lower Box Seats,"""Sections 101–107 extend down the first base line"" (RYS Lower Box Seats 2026 review, printed on the Section 101 page). Fan review : ""First row, 1st base side"" (Sec 101 / Row 1 • Baseball).",10,toward first base / right field,"A, 1-21"". Section Insights list ""Rows A, 1-21""",21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 21.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Both recorded. Concert fan review : ""Also there is a net between you and the stage so you'll see everything through mesh. You're at ground level so if you want to see people on a stage, choose seats higher than the stage."" (Sec 101 / Row 1 • Concert). ""There is very little structural protection from the sun in these sections, and the first base side will see the shade before the third base side during afternoon games."" Consistent with discovery orientation (first-base side = shade side). Discovery numbering_direction anchor confirms 101 is the low end of the 100 series on the first-base / right-field-corner side.","HIGH - zone, rows, location and seat direction stated by the source"
102,Promenade Level (101-152),Lower Box Seats,"""Sections 101–107 extend down the first base line"" (RYS Lower Box Seats 2026 review, printed on the Section 102 page). ""Field Level Endzone seating includes bleacher seats in sections 136-142 and traditional seating in sections 102-119 and 132-135."" (football configuration only).",9,toward first base / right field,"A, 1-27"". Section Insights list ""Rows A, 1-27""",27,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 27.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Visiting Team Fans Rows 1-6"" and ""Rows A, 1-27"". ""For baseball games, we recommend rows 1-6 for visiting team fans"". Fan review : ""Front row! — All good minus the net in the entire field."" (Sec 102 / Row A • Baseball). first-base side is the shade side.","HIGH - zone, rows, location and seat direction stated by the source"
103,Promenade Level (101-152),Lower Box Seats,"""Sections 101–107 extend down the first base line"" (RYS Lower Box Seats 2026 review, printed on the Section 103 page).",8,toward first base / right field,"A, 1-41"". Section Insights list ""Rows A, 1-41""",41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Visiting Team Fans Rows 1-6"", ""Rows 29 & Above - Covered"", ""Rows A, 1-41"". ""For baseball games, we recommend rows 1-6 for visiting team fans"" and ""Rows 29 and above are under cover"". Fan Feedback : ""The Visitor Bullpen at AT&T Park is on the Field in Front of Sections 103-105"" (Sec 103 & More • Baseball). Both readings recorded. Both recorded. ""the first base side will see the shade before the third base side during afternoon games"" (RYS Field Level Outfield review on this page).","HIGH - zone, rows, location and seat direction stated by the source"
104,Promenade Level (101-152),Lower Box Seats,"""Sections 101–107 extend down the first base line"" (RYS Lower Box Seats 2026 review, printed on the Section 104 page).",7,toward first base / right field,"A, 1-37, 39, 42-43"", with ""There is no seating betweeen Rows 37 and 39"" and ""There is no seating betweeen Rows 39 and 42"" (site's spelling of 'betweeen' preserved). Section Insights list ""Rows A, 1-37, 39, 42-43""",43,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 43.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Visiting Team Fans Rows 1-6"", ""Rows 29 & Above - Covered"", ""Rows A, 1-37, 39, 42-43"". ""For baseball games, we recommend rows 1-6 for visiting team fans""; ""Rows 29 and above are under cover"". The last 10 rows of the section (Rows 34 to 43) are located under the overhang from the seating deck above, and if you are looking for rows that are best protected from inclement weather, we recommend considering rows 37 and higher."" The Q&A also disagrees with the Section Insight flag (""Rows 29 & Above - Covered"" vs Q&A ""Rows 34 to 43 ... under the overhang""). Both readings recorded . Q&A image caption : ""Rows 34 and higher have the best coverage in Section 104 (Pictured Above: Row 36)"". Q&A also states ""Row 26 will not be under the overhang from the deck above"".""","HIGH - zone, rows, location and seat direction stated by the source"
105,Promenade Level (101-152),Lower Box Seats,"""Sections 101–107 extend down the first base line"" (RYS Lower Box Seats 2026 review on this page).",6,toward first base / right field,"A, 1-42"", plus ""For baseball games, row 1 is usually the first row"". Section Insights list ""Rows A, 1-42""",42,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 42.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Visiting Team Fans Rows 1-6"", ""Rows 29 & Above - Covered"", ""Rows A, 1-42"". ""For baseball games, we recommend rows 1-6 for visiting team fans""; ""Rows 29 and above are under cover"". (Sec 105 / Row 40 • Baseball). All three readings recorded. ""Not able to see the super large center field screen that Oracle Park just installed this season... I would most likely look for at least Row 38 or less next time."" ""Front of sections 105-126 are behind the netting — There is some amount of netting or screening in front of sections 105-126, which extends past the dugouts and into the outfield. The height and coverage of netting or screening will vary by section."" Accessibility Q&A : ""Unfortunately there are no bannisters or hand railings which lead down to Row 7 in either of the aisles which border Section 105.""","HIGH - zone, rows, location and seat direction stated by the source"
106,Promenade Level (101-152),Lower Box Seats,"""Sections 101–107 extend down the first base line"" (RYS Lower Box Seats 2026 review on this page). Fan review : ""The seats are just past 1st base, facing 2nd base and shortstop dirt... These seats are to the right of the opposing team's dugout, where their players go through when they get off the field... You won't have any contact or 'nearness' to Giants players in this section. Only the opposing team is within shouting distance... because the Giants' dugout is on the other side."" (Sec 106 / Row 7 • Baseball).",5,toward first base / right field,"A, 1-41"", plus ""For baseball games, row 1 is usually the first row"" and ""Row 1 is usually the first row for concerts"". Section Insights list ""Rows A, 1-41""",41,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 41.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","16 in Row 3 only — Q&A (verbatim): ""As you face the field from Section 106 Row 3, Seat 1 will be on the aisle at the right side of the row (closer to the right field wall), while Seat 16 will be on the aisle at the left side of the row (closer to home plate)."" No seat count is stated for any other row.","""Top Pick for Visiting Team Fans Rows 1-6"", ""Rows 29 & Above - Covered"", ""Rows A, 1-41"". ""For baseball games, we recommend rows 1-6 for visiting team fans""; ""Rows 29 and above are under cover"". ""Front of sections 105-126 are behind the netting — There is some amount of netting or screening in front of sections 105-126, which extends past the dugouts and into the outfield. The height and coverage of netting or screening will vary by section.""","HIGH - zone, rows, location and seat direction stated by the source"
107,Promenade Level (101-152),Lower Box Seats,"TWO STATEMENTS ON THE SAME PAGE, BOTH RECORDED: ""Sections 101–107 extend down the first base line"" AND ""Sections 107–109 sit near the visiting team dugout"" (both from the RYS Lower Box Seats 2026 review printed on this page). RYS Field Level Infield review on the same page: ""Field Club sections 121-123 will be directly behind the Giants dugout on the third base side, while Field Club sections 107-109 will be behind the visitor's dugout.""",4,toward first base / right field,"CC, A-R, 23-37, 39"", with ""There is no seating betweeen Rows 37 and 39"". Section Insights list ""Rows CC, A-R, 23-37, 39""","""Entrances to this section are located at Rows M and 39"" (two entrances)","Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row ""Entrances to this section are located at Rows M and 39"" (two entrances).","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience Rows 37-43"", ""Top Pick for Great Views of the Field Rows 23-31"", ""Field Club Seats (Rows AAA-DDD, AA, A-R)"", ""Rows 29 & Above - Covered"", ""Rows CC, A-R, 23-37, 39"". Likewise the Field Club insight names ""Rows AAA-DDD, AA, A-R"" while this section's own labelled rows only include ""CC, A-R"" (no AAA-DDD and no AA). Both readings recorded. ""Front of sections 105-126 are behind the netting — There is some amount of netting or screening in front of sections 105-126, which extends past the dugouts and into the outfield. The height and coverage of netting or screening will vary by section."" Q&A : ""The seats in Premium Lower Box 107, Row 26 are traditional hard stadium seats with a back and armrests.""","HIGH - zone, rows, location and seat direction stated by the source"
108,Promenade Level (101-152),Lower Box Seats,"Sections 107–109 sit near the visiting team dugout"" (RYS Lower Box Seats 2026 review on this page). ""For baseball games, these seats are located behind the visitor dugout"". RYS Field Level Infield review on the same page: ""Field Club sections 107-109 will be behind the visitor's dugout.",3,toward first base / right field,"B-R, 23-40"". Section Insights list ""Rows B-R, 23-40""","""Entrances to this section are located at Rows M and 40"" (two entrances)","Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row ""Entrances to this section are located at Rows M and 40"" (two entrances).","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience Rows 37-43"", ""Top Pick for Visiting Team Fans Rows B-K"", ""Top Pick for Great Views of the Field Rows 23-31"", ""Field Club Seats (Rows AAA-DDD, AA, A-R)"", ""Rows 29 & Above - Covered"", ""Rows B-R, 23-40"". Both recorded. Fan Feedback : ""Row B is the first row behind the visitor's dugout in Section 108."" (Sec 108 / Row B • Baseball). ""Front of sections 105-126 are behind the netting — There is some amount of netting or screening in front of sections 105-126, which extends past the dugouts and into the outfield. The height and coverage of netting or screening will vary by section."" ""Rows 29 and above are under cover"".","HIGH - zone, rows, location and seat direction stated by the source"
109,Promenade Level (101-152),Lower Box Seats,"Sections 107–109 sit near the visiting team dugout"" (RYS Lower Box Seats 2026 review on this page). ""For baseball games, these seats are located behind the visitor dugout"".""",2,toward first base / right field,"AA-CC, A-R, 23-41"". Section Insights list ""Rows AA-CC, A-R, 23-41""",39,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 39.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience Rows 37-43"", ""Top Pick for Visiting Team Fans Rows B-K"", ""Top Pick for Great Views of the Field Rows 23-31"", ""Field Club Seats (Rows AAA-DDD, AA, A-R)"", ""Rows 29 & Above - Covered"", ""Rows AA-CC, A-R, 23-41"". CONTRADICTION #3: ""we recommend rows 37-43"" names rows above the section's labelled maximum of 41. All recorded. Fan Feedback : ""Row B is the first row behind the visitor's dugout in Section 109."" ""Front of sections 105-126 are behind the netting — There is some amount of netting or screening in front of sections 105-126, which extends past the dugouts and into the outfield. The height and coverage of netting or screening will vary by section."" ""Seats are shaded, but just a couple of rows up from the unshaded rows.""","HIGH - zone, rows, location and seat direction stated by the source"
110,Promenade Level (101-152),Lower Box Seats,"""Sections 110–121 sit between the dugouts"" (RYS Lower Box Seats 2026 review on this page). ""Fans sitting in Sections 110–121 enjoy great views between the dugouts, making it easy to follow every pitch and play around the bases."" Fan review : ""Nice view of home plate, easy in and out of concourse, protected from sun."" (Sec 110 / Row 33 • Baseball).",1,toward first base / right field,"AA, A-R, 23-43"". Section Insights list ""Rows AA, A-R, 23-43""",43,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 43.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 112. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience Rows 37-43"", ""Top Pick for Great Views of the Field Rows 23-31"", ""Field Club Seats (Rows AAA-DDD, AA, A-R)"", ""Rows 29 & Above - Covered"", ""Rows AA, A-R, 23-43"". ""Front of sections 105-126 are behind the netting — There is some amount of netting or screening in front of sections 105-126, which extends past the dugouts and into the outfield. The height and coverage of netting or screening will vary by section."" ""Rows 29 and above are under cover""; fan reviews of Row 43 : ""Under cover but further away from the field than expected"" and ""Not in the lower rows where a full view of field might be restricted, but were located mid level with a clear view of the entire field.""","HIGH - zone, rows, location and seat direction stated by the source"
