zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Truist Club,Field Level (1-42),1-9,9,"Truist Club — ""Located in Sections 1–9 directly behind home plate""; ""Sections 4 and 6 offer excellent views just to either side of the plate.""",2 different row ranges - see the section table,UNKNOWN
Dugout Club,Field Level (1-42),"10-21, 31-42",24,"'Dugout Club'. 'Premium seating area as part of the Dugout Club' only — unlike Sections 31-34, this page does NOT state 'behind the visitor dugout' for Section 35, even though the Dugout Club zone page's range statement ('Sections 31–35 — Behind the visiting team dugout') would include it.",3 different row ranges - see the section table,UNKNOWN
Delta Sky360 Club,Field Level (1-42),22-30,9,"'Home Plate View'. 'For baseball games, desirable view from behind home plate'. 'Fans seeking the closest possible Delta Sky360 experience should target Sections 25 or 26 in the Chairman Seats, which sit almost directly behind home plate' and 'For the most centered view of home plate, Sections 25 and 26 are typically the most desirable.'",6-13,UNKNOWN
Lower Level Down the Line,Lower Level (100s),"107-114, 137-138, 140-143",14,'Fans looking for the most affordable lower deck seating options which aren't beyond the outfield wall will find themselves searching in these sections between the corner bases and their respective foul poles... some of the seats closer to the foul poles (sections 110 and 142 for example) will be the better option.',5 different row ranges - see the section table,varies by section
Lower Level Infield,Lower Level (100s),"116, 118, 120, 131, 133, 135",6,"'Sections in the lower level infield offer excellent views from near the corner bases and on the closest seating tier to the field at Truist Park. Braves fans will have a great spot when opting for the first base side as these seats will keep you right by the home team dugout, while visitors will be better suited opting for the third base side.'",2 different row ranges - see the section table,20
Delta Sky360 Club,Lower Level (100s),"122-128, 130",8,"Behind home plate / between the dugouts, part of 'Sections 122–130 — Executive Seats' (Delta Sky360 Club); page's own Section Insights tag for 125 is 'Home Plate View', and 'For baseball games, desirable view from behind home plate'",2 different row ranges - see the section table,varies by section
Home Run Porch,Lower Level (100s),144-155,12,"Home Run Porch — 'Located beyond the outfield wall between the left field foul pole and the start of the Chop House area in right-center.' Part of 'Sections 144–155 and Section 250' which 'stretch from the left field foul pole toward right-center field, ending near the beginning of the Chop House seating area.'",6 different row ranges - see the section table,varies by section
Chop House Club,Lower Level (100s),156-160,5,"Sections 156–160, Section 257, Section 259.' Chop House Terrace (Sections 156–160) is 'the largest seating area in the club.'",1-5,UNKNOWN
Terrace Level Down the Line,Terrace Level (200s),"210-215, 239-246",14,fans further away from home plate than Terrace Infield; more affordable than Terrace Level Infield seats. Zone described as running from Section 210 to Section 246 (the last sections on either end of right and left field on the 200 level).,5 different row ranges - see the section table,varies by section
Terrace Infield,Terrace Level (200s),"216-218, 233, 235, 237-238",7,"Terrace Infield, 200 Level — '200 Level Infield Seating: Located in Sections 216–218 (first base side) and 233–238 (third base side).' 'Seats on the first base side (Sections 216–218) sit above the Braves dugout.'",2 different row ranges - see the section table,19
Xfinity Club,Terrace Level (200s),"220, 222-231",11,"Xfinity Club, 200 Level — 'Terrace Level Club Seating: Includes Sections 220–231 on the 200 Level.' 'These seats sit along the infield on the Terrace Level and provide an elevated vantage point over the field.'",3 different row ranges - see the section table,UNKNOWN
Home Run Porch,Terrace Level (200s),250,1,'The Home Run Porch seats at Truist Park include Sections 144–155 and Section 250 and sit just beyond the outfield wall.' Located between the left field foul pole and the start of the Chop House area in right-center.,UNKNOWN — General Admission,UNKNOWN
Chop House Club,Terrace Level (200s),"257, 259",2,"'The Chop House seating area is located in right field at Truist Park, near: Sections 156–160, Section 257, Section 259.' 'Located on top of the Chop House restaurant, this area features a single row of approximately 20 seats with elevated views over right field.'",1-2,UNKNOWN
Vista Level Down the Line,Vista Level (300s),"312-317, 335, 337, 339-347",17,"'The Vista Level Down the Line seats are comprised of many sections, with most of them on the left field side of Truist Park. Each section has 13 rows of seating and sections 317 and 335 will have a better viewing angle of the field and line up almost directly with the first and third bases. Section 347 is in far left field, and is not recommended for great views.'",3 different row ranges - see the section table,varies by section
Vista Infield,Vista Level (300s),"318, 320, 322-331, 333",13,"'300 Level Infield Seating: Includes Sections 318–333 at Truist Park.' 'These sections run along the infield portion of the level and sit below the upper deck, giving fans a clear view of the field while still maintaining some protection from the elements.'",3 different row ranges - see the section table,varies by section
Grandstand Level Down the Line,Grandstand Level (400s),410-417,8,"The Grandstand Level Down the Line are located on the right field side at Truist Park. Each section has 12 rows of seating, and these are among the most affordable seats for a Braves game. Fans looking for views closest to home field should sit in section 417, which is aligned with the first base. Section 410 is in far right field and is not recommended for good views of the field.",1-12,2
Grandstand Infield,Grandstand Level (400s),"418, 420, 422-431, 433",13,Page's Grandstand Infield review (shown on this section page): 'Highest Seating Tier: Located in Sections 418–433 on the upper level.' 'The Grandstand Infield seats at Truist Park include Sections 418–433 on the highest tier of the ballpark. These sections run along the upper deck infield and provide elevated views looking down toward home plate and the bases.',1-12,2
not named by the source,Grandstand Level (400s),"435, 437-440, 442-444",8,not stated by the source,2 different row ranges - see the section table,varies by section
