section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,Lower Level (1-33),Corner Boxes,Located near the foul poles on the lowest seating level at Globe Life Field; Sections 1-4 make up the third base corner,11,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 2. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Seats in these sections sit behind the extended protective netting""; fans should ""expect protective netting to be visible, though it is designed to minimize obstruction"". Dugout adjacency Roof coverage Accessible/wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
2,Lower Level (1-33),Corner Boxes,Located near the foul poles on the lowest seating level at Globe Life Field; Sections 1-4 make up the third base corner,10,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 3. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Seats in these sections sit behind the extended protective netting""; fans should ""expect protective netting to be visible"". Dugout adjacency Roof coverage Accessible/wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
3,Lower Level (1-33),Corner Boxes,Located near the foul poles on the lowest seating level at Globe Life Field; Sections 1-4 make up the third base corner,9,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the edge facing section 4. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Seats in these sections sit behind the extended protective netting"" and ""Fans should also expect protective netting to be visible, though it is designed to minimize obstruction"". Dugout adjacency Roof coverage Accessible/wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
4,Lower Level (1-33),Corner Boxes,Located near the foul poles on the lowest seating level at Globe Life Field; Sections 1-4 sit along the third base side,8,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 3, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Seats in these sections sit behind the extended protective netting""; fans should ""expect protective netting to be visible"". Dugout adjacency Roof coverage Accessible/wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
5,Lower Level (1-33),not named by the source,not stated by the source,7,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,,"MEDIUM - rows confirmed, ticket zone not named by the source"
6,Lower Level (1-33),not named by the source,"""Behind visitor dugout"" (stated in a fan review on the page)",6,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"fan review describes an ""awesome view behind visitor dugout"". Obstructed views Netting Roof coverage Accessible/wheelchair rows","MEDIUM - rows confirmed, ticket zone not named by the source"
7,Lower Level (1-33),not named by the source,"For baseball games, these seats are located behind the visitor dugout",5,toward third base / left field,3-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 8. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Literally on top of the dugout. Easily the best legroom in the seating bowl."" Obstructed views Netting Roof coverage Accessible/wheelchair rows","MEDIUM - rows confirmed, ticket zone not named by the source"
8,Lower Level (1-33),Lexus Club Seats,"Located in the first eight rows of sections 8-19, placing fans extremely close to the field; located behind the visitor dugout",4,toward third base / left field,3-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 9. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""All seats are located behind the protective netting that runs along the infield for fan safety"". ""Sections 18-19 sit closest to the Rangers dugout, while sections 8-9 are nearest the visitor dugout"". Roof coverage Accessible/wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
9,Lower Level (1-33),Lexus Club Seats,"Located in the first eight rows of sections 8-19, placing fans extremely close to the field; located behind the visitor dugout",3,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 8, with seat numbers counting up toward the edge facing section 10. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""All seats are located behind the protective netting that runs along the infield for fan safety"". sections 8-9 are ""nearest the visitor dugout"". Roof coverage Accessible/wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
10,Lower Level (1-33),Lexus Club Seats,"Located in the first eight rows of sections 8-19, placing fans extremely close to the field.",2,toward third base / left field,1-16,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 9, with seat numbers counting up toward the edge facing section 11. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""All seats are located behind the protective netting that runs along the infield for fan safety."" ""Sections 18-19 sit closest to the Rangers dugout, while sections 8-9 are nearest the visitor dugout."" Roof coverage Accessible/wheelchair rows","HIGH - zone, rows, location and seat direction stated by the source"
