section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Lower Level (100s),Bleachers and RF Grandstand,"Right Field seating includes Sections 101-106, located in the outfield at Comerica Park.",26,toward first base / right field,E-T,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Some difficulty seeing the warning track directly below due to the section height"". ""Lower rows have stadium chairs, while upper rows are metal bleachers"". ""101 is behind the stage or to the side of the stage for most concerts"".","HIGH - zone, rows, location and seat direction stated by the source"
102,Lower Level (100s),Bleachers and RF Grandstand,"Right Field seating includes Sections 101-106, located in the outfield at Comerica Park.",25,toward first base / right field,"E-Z, AA-GG",GG,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row GG.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""102 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance."" ""Rows V and higher: Traditional metal bleachers"" and ""Rows closer to the field: Standard stadium-style chairs.""","HIGH - zone, rows, location and seat direction stated by the source"
103,Lower Level (100s),Bleachers and RF Grandstand,"Right Field seating includes Sections 101-106, located in the outfield at Comerica Park.",24,toward first base / right field,"A-Z, AA-GG",GG,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row GG.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,,"HIGH - zone, rows, location and seat direction stated by the source"
104,Lower Level (100s),Bleachers and RF Grandstand,Section 104 is located in right field at Comerica Park - essentially in line with the second basemen when looking towards home plate.,23,toward first base / right field,"A-Z, AA-GG",GG,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row GG.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Right field seating generally noted as having ""some difficulty seeing the warning track directly below""; for concerts the section is ""behind the stage or to the side"" with limited view.","HIGH - zone, rows, location and seat direction stated by the source"
105,Lower Level (100s),Bleachers and RF Grandstand,"Right Field seating includes Sections 101-106, located in the outfield at Comerica Park.",22,toward first base / right field,"A-Z, AA-GG",GG,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row GG.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Some difficulty seeing the warning track directly below due to the section height"".","HIGH - zone, rows, location and seat direction stated by the source"
106,Lower Level (100s),Bleachers and RF Grandstand,"Right Field seating includes Sections 101-106, located in the outfield at Comerica Park.",21,toward first base / right field,"A-Z, AA-GG",GG,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row GG.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows CC & Above - Covered"". ""Rows V and higher: Traditional metal bleachers"" while ""Rows closer to the field: Standard stadium-style chairs.""","HIGH - zone, rows, location and seat direction stated by the source"
107,Lower Level (100s),Kaline's Corner,"Kaline's Corner (Sections 107-111), located in right field near the foul pole at Comerica Park; ""Positioned near the foul pole with a limited infield angle""",20,toward first base / right field,37-47,47,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 47.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""The right field foul pole can obstruct portions of the infield"" and ""Obstructed Angles Possible: Foul pole and angle can impact views of the infield"".","HIGH - zone, rows, location and seat direction stated by the source"
108,Lower Level (100s),Kaline's Corner,Located in right field near the foul pole at Comerica Park,19,toward first base / right field,37-47,47,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 47.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""The right field foul pole can obstruct portions of the infield"" and ""Angle makes it difficult to consistently track action near home plate"".","HIGH - zone, rows, location and seat direction stated by the source"
109,Lower Level (100s),Kaline's Corner,"Kaline's Corner includes Sections 107-109, located in right field near the foul pole at Comerica Park.",18,toward first base / right field,37-47,47,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 47.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"the right field foul pole can obstruct portions of the infield; angle makes it difficult to consistently track action near home plate. Netting, dugout adjacency, and accessible/AC rows: not stated.","HIGH - zone, rows, location and seat direction stated by the source"
110,Lower Level (100s),Kaline's Corner,"Kaline's Corner includes Sections 107-111, located in right field near the foul pole at Comerica Park.",17,toward first base / right field,21-36,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""The right field foul pole can obstruct portions of the infield""; also ""the railing is at eye level, so expect to do some neck craning from time to time.""","HIGH - zone, rows, location and seat direction stated by the source"
