zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Crawford Boxes,Field Level (100s),100-104,5,"""located in left field at Daikin Park"" and ""just 315 feet from home plate"" (Crawford Boxes, Sections 100-104)",2 different row ranges - see the section table,varies by section
Field Boxes,Field Level (100s),"105-111, 127-129, 131-134",14,"Sections 105-111 (third base line)""; ""Sections 106-107: Among the best baseline views with a strong angle towards home plate",4 different row ranges - see the section table,40
Dugout Boxes,Field Level (100s),"112-114, 116, 118-120, 122, 124-126",11,"Sections 112-126, located along the infield on the 100 level at Daikin Park. Behind the visitor dugout (112-116) Through home plate (118-120) To behind the Astros dugout (122-126)",2 different row ranges - see the section table,varies by section
Bullpen Boxes,Field Level (100s),150-156,7,The Bullpen Boxes at Daikin Park are a unique seating location in right field under the scoreboard.,6 different row ranges - see the section table,varies by section
Club Level,Club and Mezzanine (200s),"205-227, 230-236",30,"Honda Club Level seating includes Sections 205-236, located on the second tier at Daikin Park""; ""These seats wrap from the third base line, behind home plate, through the first base side, offering a wide range of viewing angles.",3 different row ranges - see the section table,varies by section
Honda Club Level,Club and Mezzanine (200s),228-229,2,"Includes Sections 205-236 along the second tier""; club sections ""wrap from the third base line, behind home plate, through the first base side",1-12,12
Mezzanine Seats,Club and Mezzanine (200s),250-255,6,"Positioned in the upper deck of the outfield at Daikin Park""; ""Mezzanine seating includes Sections 250-255, located in the upper deck of the outfield",2 different row ranges - see the section table,17
Terrace Level,Terrace Level (300s),"305-307, 309-311, 313-325, 327-334",27,"""Front of Upper Deck: Located in the first 9 rows of the upper seating tier."" Page also states ""Sections 317-321: Best overall views directly behind home plate"" and notes the third base side.",2 different row ranges - see the section table,varies by section
not named by the source,Terrace Level (300s),336-338,3,Behind/Side Stage (most shows),1-5,5
View Level,Upper Deck (400s),"405-411, 413-425, 427-434",28,"""Highest Seating Tier: Located on the upper deck with the most elevated views in the stadium."" Part of the 400 level sections forming the uppermost tier, positioned ""Well above the Terrace Level"" with steep incline design.",4 different row ranges - see the section table,1
not named by the source,Upper Deck (400s),436-438,3,"""Behind/Side Stage (most shows)"" for concerts; for baseball the page places the section in the upper deck area.",3 different row ranges - see the section table,1
Premium boxes,"Clubs, suites and other named areas",Batters Eye Boxes,1,"Batter's Eye Boxes are located in center field at Daikin Park, within the batter's eye — the darkened backdrop used to help hitters track pitches.",UNKNOWN,UNKNOWN
Clubs and suites,"Clubs, suites and other named areas","Diamond Club, Insperity Club",2,"Insperity Club seating includes Sections 70-75, located directly behind home plate on an elevated tier above the lower level at Daikin Park.",UNKNOWN,UNKNOWN
Bars and drink rails,"Clubs, suites and other named areas",Jim Beam Bar,1,"Jim Beam Bourbon Bar seating is located just behind Section 206 on the Honda Club Level at Daikin Park."" ""Row 1 sits directly behind Row 8 of Section 206, giving a slightly elevated and set-back position.",Seating is split into two rows: Row 1: Mesh-backed stadium-style seats,UNKNOWN
Standing room,"Clubs, suites and other named areas","Standing Room Only, Ultra Club Patio",2,"Standing Room Only is found all around the Lower Level at Daikin Park."" Fans can stand ""behind the Crawford Boxes in LF or at other locations around the field.",UNKNOWN,UNKNOWN
