zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Champions Suite,Legends and Champions Suites (11–29),11-13,3,"""Champions Suite seating is located in the lower bowl adjacent to the Legends Suite."" ""For New York Yankees games, Champions Suite seats are located along the infield baselines"" and the Champions Suite section list includes ""Sections 11-13 (along the first base line)"". The page also carries a soccer (NYCFC) placement ""Sections 11-13 (behind the south goal)"".",1-9,9
Legends Suite,Legends and Champions Suites (11–29),"16, 18-20, 22-23, 25, 14A-15A, 17A, 21A, 24A, 14B-15B, 17B, 21B, 24B",17,"""Positioned directly behind home plate and the dugouts; the closest seats to the action in the ballpark."" ""Sections 18-21 sit directly behind home plate. Sit in Sections 15-17 to be behind the Yankees' dugout, or choose 23-25 for the visitors' side."" Soccer placement ""For NYCFC, the all-inclusive Legends Suite benefits are typically limited to Sections 22 through 29 on the West Sideline.""",2 different row ranges - see the section table,varies by section
not named by the source,Legends and Champions Suites (11–29),"26, 28-29, 27A, 27B",5,"No sentence placing Section 28 geographically was printed on its own page beyond the product statements ""Premium seating area as part of the Champions Suite"" and ""Premium seating area as part of the Legends Suite"". The Champions Suite range that includes 28 is given on the Section 29 page as ""Sections 27B–29 (along the third base line)"".",1-9,9
Field Level Outfield,Field Level (103–136),"103, 105-113, 128-136, 127B",20,"No baseball placement sentence beyond the zone name ""Field Level Outfield (Baseball)""; the page places it implicitly by the bullpen line quoted under seat_direction/notes (""sitting in a high-number seat in Section 136 will have you next to the Visitor's bullpen""). ""For football games, these seats are located behind the visitor sideline""; ""136 is behind the stage or to the side of the stage for most concerts.""",13 different row ranges - see the section table,varies by section
"Field Level Outfield (Baseball)""; concert tag ""Behind/Side Stage",Field Level (103–136),104,1,"No sentence placing Section 104 in the ballpark is printed beyond the zone tags ""Field Level Outfield (Baseball)"" and ""Behind/Side Stage (most shows)"".",1-18,18
Field Level,Field Level (103–136),"114A, 114B",2,not stated by the source,2 different row ranges - see the section table,varies by section
Field MVP Seats,Field Level (103–136),"115-116, 118-119, 122-125, 117A, 120A-121A, 117B, 120B-121B",14,"""Field MVP seating spans Sections 115 through 125, wrapping around the infield from behind the visitors' dugout to the home dugout."" ""Premium seating area as part of the Field MVP Seats for Yankees games""; Field MVP seats described as positioned ""approximately 10 rows from the field, offering a centered, 'big-picture' view"".",2 different row ranges - see the section table,varies by section
Field Level Seating,Field Level (103–136),"126, 127A",2,"No ""Where These Seats Are Located"" paragraph. The only placement text is a verified customer review: ""Great close view of field and out of direct sunlight. Not far beyond 3rd base"" / ""Really loved the location."" 127A is grouped with the non-premium Field Level sections 126-136 described as better value than the adjacent premium sections.",2 different row ranges - see the section table,varies by section
Bleachers,Main Level and Bleachers (201–239),201-204,4,"""Located in deep center field, providing a big-picture view of the diamond from behind the bullpens"". Also relational, from a fan/expert entry: ""The Yankees Bullpen is in Front of Section 201 and 202 - Seats in Row 1 will be closest to the bullpen."" Note the ""deep center field"" line is zone-level Bleachers text, not written specifically about 202.",3 different row ranges - see the section table,varies by section
Main Level Outfield,Main Level and Bleachers (201–239),205-212,8,"""Outfield seating on the Main Level includes seating down both baselines"" and wraps into home run territory; ""Second-tier seating in Sections 205-217 and 223-234 hangs directly over Field Level seats, placing fans closer than expected."" ""Sections 205-207 receive many home run balls"" (right field, home-run friendly).",2 different row ranges - see the section table,varies by section
Main Level Infield,Main Level and Bleachers (201–239),"213, 215, 217, 214A, 214B, 227B",6,"The zone blurb covers it as part of a range: the page describes ""Sections 205-217 and 223-234"" that ""wrap around the first base line into the outfield corner"". The 227B page prints the companion clause ""Sections 223-234 mirror this layout on the third base side, extending down the line and into the opposite outfield corner.""",2 different row ranges - see the section table,varies by section
not named by the source,Main Level and Bleachers (201–239),"216, 219, 222-226, 228-231, 234-239, 218A, 220A-221A, 227A, 232A-233A, 218B, 220B-221B, 232B-233B, 220C",29,"The Bleachers are located in the outfield, stretching from left-center to right-center field."" ""The Layout: Sections are numbered 202–204 (Right Field) and 235–238 (Left Field)."" ""Located in deep center field, providing a 'big-picture' view of the diamond from behind the bullpens."" ""Monument Park Proximity: These sections are located directly above the famous Monument Park and the center-field plaza"".""",7 different row ranges - see the section table,varies by section
not named by the source,Terrace Level (305–334),"305-313, 317-319, 321, 325-326, 328-331, 333-334, 320A, 332A, 320B, 332B, 320C",26,"""The Terrace Level is located on the third deck at Yankee Stadium."" NOTE the zone heading shifts from Terrace Outfield (307-312) to ""Terrace Infield (Baseball)"" at 313, which is itself the useful placement fact: 313 is where the Terrace infield run begins on the low-numbered (right field / first base) side.",2 different row ranges - see the section table,varies by section
Terrace Infield,Terrace Level (305–334),"314-316, 322, 324, 327",6,The Terrace Level is located on the third deck at Yankee Stadium.,2 different row ranges - see the section table,varies by section
Section 323 at Yankee Stadium / Terrace Infield,Terrace Level (305–334),323,1,The Terrace Level is located on the third deck at Yankee Stadium.,"1-7, 8WC, 9SR",9SR
not named by the source,Grandstand Level (405–434),"405-406, 408-409, 407A, 407B",6,not stated by the source,1-14,2
"Baseball)"" and ""Grandstand Seating",Grandstand Level (405–434),"410, 414, 416",3,"""Grandstand Infield seating is an inexpensive way to catch a Yankees game. In fact, the grandstand seats behind home plate (Sections 419-421) are one of only two seating areas where you can get a home plate view without paying for club seats."" Section 416 itself is NOT explicitly placed; the 419-421 home-plate statement is zone text quoted on this page, not a statement about 416.",1-14,2
"Zone labels on page: ""Grandstand Outfield",Grandstand Level (405–434),411,1,"""All 400 Level sections""; ""Grandstand Seating includes all 400-level sections and makes up the uppermost deck at Yankee Stadium"". Zone tag ""Grandstand Outfield (Baseball)"" places 411 in the outfield Grandstand. The page does NOT name a specific side for Section 411.",1-14,2
"Zone label on page: ""Grandstand Outfield",Grandstand Level (405–434),412-413,2,"""Grandstand Outfield (Baseball)""; the page describes the tier as ""400 Level sections"" / ""All 400 Level sections"". The page does NOT name a specific side for Section 412.",1-14,2
