section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
1,Field Level (1-32),Field Level Down the Line,"Ranging from the corner bases to the foul poles on the Field Level, these sections offer the more affordable option for fans who want to be as close to the field as possible.",13,toward first base / right field,"A-C, D-M",UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 2. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/1. ""Be prepared for more sun during midday games though as there is very little structure to provide shade."" ""Wheelchair seating is available in front of Row D."" Site notes these are small seating areas with only 8-13 rows and that fans must walk to the top of the 100 level to reach the concourse. Third base side offers better views of the Pittsburgh Skyline; first base side is better for videoboard viewing. not stated. not stated. not stated (this is a left-field/third-base-side down-the-line section, not a dugout section).","HIGH - zone, rows, location and seat direction stated by the source"
2,Field Level (1-32),Field Level Down the Line,"Ranging from the corner bases to the foul poles on the Field Level, these sections offer the more affordable option for fans who want to be as close to the field as possible.",12,toward first base / right field,"A-C, D-M",UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 1, with seat numbers counting up toward the edge facing section 4. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/2. ""Be prepared for more sun during midday games though as there is very little structure to provide shade."" ""Wheelchair seating is available in front of Row D."" Site notes these are small seating areas with only 8-13 rows and that fans must walk to the top of the 100 level to reach the concourse. Third base side offers better views of the Pittsburgh Skyline; first base side is better for videoboard viewing. not stated. not stated. not stated.","HIGH - zone, rows, location and seat direction stated by the source"
4,Field Level (1-32),Field Level Down the Line,"Ranging from the corner bases to the foul poles on the Field Level, these sections offer the more affordable option for fans who want to be as close to the field as possible.",11,toward first base / right field,"A-C, D-M",UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 2, with seat numbers counting up toward the edge facing section 5. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/4. ""there is very little structure to provide shade"" during midday games. ""Wheelchair seating is available in front of Row D."" Site notes only 8-13 rows and that fans must walk to the top of the 100 level to reach the concourse. First base side offers a better videoboard view; third base side provides better Pittsburgh Skyline views. not stated. not stated. not stated.","HIGH - zone, rows, location and seat direction stated by the source"
5,Field Level (1-32),Field Level Down the Line,"Ranging from the corner bases to the foul poles on the Field Level, these sections offer the more affordable option for fans who want to be as close to the field as possible.",10,toward first base / right field,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 4, with seat numbers counting up toward the edge facing section 6. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/5. ""there is very little structure to provide shade"" during midday games. not stated. not stated. not stated. not stated on this section page.","HIGH - zone, rows, location and seat direction stated by the source"
6,Field Level (1-32),Field Level Down the Line,"Ranging from the corner bases to the foul poles on the Field Level, these sections offer the more affordable option for fans who want to be as close to the field as possible.",9,toward first base / right field,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 5, with seat numbers counting up toward the edge facing section 7. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/6. ""Be prepared for more sun during midday games though as there is very little structure to provide shade."" not stated. not stated. not stated. not stated on this section page.","HIGH - zone, rows, location and seat direction stated by the source"
7,Field Level (1-32),Field Level Down the Line,Ranging from the corner bases to the foul poles on the Field Level,8,toward first base / right field,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 6, with seat numbers counting up toward the edge facing section 8. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/7. ""there is very little structure to provide shade"" during midday games. Site adds that ""Scoreboard watchers will want to opt for seats on the first base side"" while the ""third base side will get a better vantage point to the Pittsburgh Skyline."" not stated. not stated. not stated. not stated on this section page.","HIGH - zone, rows, location and seat direction stated by the source"
8,Field Level (1-32),Field Level Down the Line,Ranging from the corner bases to the foul poles on the Field Level,7,toward first base / right field,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 7, with seat numbers counting up toward the edge facing section 9. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/8. ""Be prepared for more sun during midday games though as there is very little structure to provide shade."" Site notes the zone has ""8 to 13 rows"" and that fans must walk to the top of the 100 level to reach the concourse. not stated. not stated. not stated. not stated on this section page.","HIGH - zone, rows, location and seat direction stated by the source"
9,Field Level (1-32),Field Level Infield,"""Field Level Infield seating is found on the lowest tier of PNC Park directly behind the two dugouts""; ""sections 9-13 are located directly behind the visitors"" dugout (first base side)",6,toward first base / right field,A-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 8, with seat numbers counting up toward the edge facing section 10. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/9. ""Row F is the first row behind the visitor's dugout in Section 9"" - visiting dugout is on the first base side. ""You won't find much shade when sitting this close to the field, so fans should be prepared for a good amount of sun during day games."" not stated. not stated for this section specifically. not stated.","HIGH - zone, rows, location and seat direction stated by the source"
10,Field Level (1-32),Field Level Infield,"""Field Level Infield seating is found on the lowest tier of PNC Park directly behind the two dugouts for close views of the action.""; sections 9-13 sit directly behind the visitors dugout (first base side)",5,toward first base / right field,F-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 9, with seat numbers counting up toward the edge facing section 11. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/10. ""For baseball games, these seats are located behind the visitor dugout"" - visiting dugout is on the first base side. ""There is some amount of netting or screening in front of sections 109-124. The height and coverage of netting or screening will vary by section."" ""You won't find much shade when sitting this close to the field, so fans should be prepared for a good amount of sun during day games."" not stated beyond the netting note. not stated.","HIGH - zone, rows, location and seat direction stated by the source"
11,Field Level (1-32),Field Level Infield,"""located directly behind the visitors"" dugout; Field Level Infield is ""found on the lowest tier of PNC Park directly behind the two dugouts"" (first base side)",4,toward first base / right field,F-M,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 10, with seat numbers counting up toward the edge facing section 12. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"rateyourseats.com/pnc-park/seating/sections/11. ""Row F is the first row behind the visitor's dugout in Section 11"" - visiting dugout is on the first base side. ""You won't find much shade when sitting this close to the field, so fans should be prepared for a good amount of sun during day games."" a general note covers sections 109-124 but nothing stated for Section 11 specifically. not stated. not stated.","HIGH - zone, rows, location and seat direction stated by the source"
