section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Field Level (100s),Lower Reserved Outfield,"Located just beyond the right center field wall"", ""just beneath the bullpens""; ""Sections 101-113 make up outfield seating in Right Field at Progressive Field.",24,toward first base / right field,A-C,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Seat 1 in 101 will have you right on the rail"" next to the bullpen; ""The Guardians and Visitors bullpen is to the right of Section 101"". ""Beware of the sun in these sections as you will be looking west towards home plate"". ""These seats offer your best chance at a home run ball"" (first three rows of 101-108). Obstructed views, netting and accessible rows rateyourseats.com section 101 page.","HIGH - zone, rows, location and seat direction stated by the source"
103,Field Level (100s),Lower Reserved Outfield,Sections 101-113 make up outfield seating in Right Field at Progressive Field.,23,toward first base / right field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Beware of the sun in these sections as you will be looking west towards home plate"". Home run ball potential noted for first three rows (101-108) and first ten rows (109-113). ""The Guardians and Visitors bullpen is to the right of Section 101"". ""The Leinenkugel Lodge at Section 108 is a centrally located bar"". Obstructed views, netting, dugout adjacency and accessible rows rateyourseats.com section 103 page.","HIGH - zone, rows, location and seat direction stated by the source"
107,Field Level (100s),Lower Reserved Outfield,Sections 101-113 make up outfield seating in Right Field at Progressive Field.,22,toward first base / right field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Beware of the sun in these sections as you will be looking west towards home plate"". ""The Guardians and Visitors bullpen is to the right of Section 101."" Top pick for partying and socializing. Best chance at home run ball in first three rows (101-108) or first ten rows (109-113). Leinenkugel Lodge bar at Section 108. Obstructed views, netting and accessible rows rateyourseats.com section 107 page.","HIGH - zone, rows, location and seat direction stated by the source"
108,Field Level (100s),Lower Reserved Outfield,"Right Field outfield seating (""Sections 101-113 make up outfield seating in Right Field at Progressive Field."")",21,toward first base / right field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Rows V and above are covered. ""Beware of the sun in these sections as you will be looking west towards home plate"". ""Recommended seating for partying and socializing"". Good opportunity for catching home run balls in first three rows. Leinenkugel Lodge bar is at this section. Obstructed views, netting, dugout adjacency and accessible rows rateyourseats.com section 108 page.","HIGH - zone, rows, location and seat direction stated by the source"
109,Field Level (100s),Lower Reserved Outfield,Sections 101-113 make up outfield seating in Right Field at Progressive Field,20,toward first base / right field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Rows V and above are covered. ""Beware of the sun in these sections"" (looking west towards home plate). Best chance for home run balls in first three rows of sections 101-108 and first ten rows of 109-113. Obstructed views, netting, dugout adjacency and accessible rows rateyourseats.com section 109 page.","HIGH - zone, rows, location and seat direction stated by the source"
111,Field Level (100s),Lower Reserved Outfield,Sections 101-113 make up outfield seating in Right Field at Progressive Field,19,toward first base / right field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 113. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Rows V and above are covered. beware of sun exposure, looking west towards home plate. Guardians and Visitors bullpen to the right of Section 101. Best chance at home run ball in first three rows of 101-108 and first ten rows of 109-113. Leinenkugel Lodge bar at Section 108. Obstructed views, netting and accessible rows rateyourseats.com section 111 page.","HIGH - zone, rows, location and seat direction stated by the source"
113,Field Level (100s),Lower Reserved Outfield,Sections 101-113 make up outfield seating in Right Field at Progressive Field,18,toward first base / right field,"A-Z, AA-CC",CC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row CC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 111, with seat numbers counting up toward the edge facing section 117. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""The visiting team bullpen is just to the left of Section 113. Seats #12 in this section are directly next to the bullpen"". ""Beware of the sun in these sections as you will be looking west towards home plate""; ""Rows V and above are under cover"". Best chance at home run ball in first ten rows of 109-113. Obstructed views, netting and accessible rows rateyourseats.com section 113 page.","HIGH - zone, rows, location and seat direction stated by the source"
117,Field Level (100s),not named by the source,Field Level Down the Line,17,toward first base / right field,"A-Z, AA-LL",LL,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row LL.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 113, with seat numbers counting up toward the edge facing section 125. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Rows A-V recommended for great views of the field. Further down the line has worse angles toward home plate. sections 165-174 receive shade before other sections in this location. Sections 170-174 may struggle to see left field scoreboard. men's and women's restrooms, Budweiser Patio, ATM. Obstructed views, netting, dugout adjacency and accessible rows rateyourseats.com section 117 page.","MEDIUM - rows confirmed, ticket zone not named by the source"
125,Field Level (100s),not named by the source,Field Level Down the Line,16,toward first base / right field,"A-Z, AA-HH",HH,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row HH.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 117, with seat numbers counting up toward the edge facing section 128. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Rows DD-HH recommended for outstanding convenience. Further down the line sections have worse angles toward home plate. restrooms, Budweiser Patio, ATM, Speed Pitch attraction. Obstructed views, netting, dugout adjacency, sun/shade and accessible rows rateyourseats.com section 125 page.","MEDIUM - rows confirmed, ticket zone not named by the source"
128,Field Level (100s),not named by the source,Field Level Down the Line,15,toward first base / right field,"A-Z, AA-HH",HH,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row HH.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 125, with seat numbers counting up toward the edge facing section 129. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Rows X and above are covered. Obstructed views, netting, dugout adjacency and accessible rows rateyourseats.com section 128 page.","MEDIUM - rows confirmed, ticket zone not named by the source"
