zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Lower Level Outfield,Lower Level (105-160),"105-109, 151-160",15,"""Lower Level Outfield seating is located just behind the outfield walls in right, left, and left-center field."" and ""Section 105 is a good option for Rockies fans as it is located directly beside the home team bullpen."" (RYS Expert Review, Lower Level Outfield, on the Section 105 page)",5 different row ranges - see the section table,varies by section
Box Level Down the Line,Lower Level (105-160),"110-119, 142-150",19,"""Sit in section 112 (near the right field corner) to be closest to the Blue Moon Brewing Company at the Sandlot, which features a comfortable patio, excellent food and beverage options, and microbrews."" and ""Still located on the lowest tier of the field but further down the line, these Box Level seats are the best place to be on the Coors Field seating chart for catching a foul ball.""",9 different row ranges - see the section table,W
Infield Box,Lower Level (105-160),120-141,22,"""The Box Level Infield spans the lower bowl behind home plate and along the infield baselines. These sections place fans on the lowest main seating tier of Coors Field."" The only sentence naming 141 is a coverage note: ""Fans sitting in the last few rows (Row 32 and higher) in Sections 120–127 and 134–141 can benefit from overhead protection provided by the 200-level seating deck above.""",3 different row ranges - see the section table,W
Right Field Mezzanine,Mezzanine and Club Level (200s),201-209,9,"Located in Sections 201–209 in right field on the mezzanine level."" / ""The Right Field Mezzanine consists of Sections 201 through 209 and sits on the second tier of seating in right field at Coors Field."" A verified fan review on this page adds ""The view was great - from the foul pole right down the right field line to the plate.",4 different row ranges - see the section table,1
Club Level,Mezzanine and Club Level (200s),"214-219, 221-223, 225-227, 234-236, 238-239, 241-247",24,"""Club Level seats are located on the second tier of Coors Field, running from the first base side through the third base side in Sections 214–227 and 234–247."" / ""Elevated Views: Located on the second tier of Coors Field (Sections 214–227 and 234–247) with excellent sightlines of the field."" (discovery.numbering_direction places 247 at the high end of the 234-247 block, i.e. the THIRD BASE / left-field-corner end, and the official Rockies Access Guide puts Gate E and an elevator at lower-level Section 147 on that same side; the RYS page itself does not state which side 247 is on)",5 different row ranges - see the section table,varies by section
Reserve Level Outfield,Upper Reserve Level (300s),301-310,10,"""Reserve Level Outfield is the highest tier of outfield seating on the right field side of Coors Field."" (same ""Center field seats will have a tough viewing angle to the videoboard, and fans closer to the right field corner will stay closer to the Blue Moon Brewery down the first base line."")",3 different row ranges - see the section table,varies by section
Reserve Level Down the Line,Upper Reserve Level (300s),"311-319, 342-347",15,"""Sitting on the Reserve Level between the corner bases and the foul poles will leave you with some of the furthest views for a Rockies game at Coors Field."" (RYS Expert Review headed ""Reserve Level Down the Line"", carried on the Section 312 page.) The page gives NO location sentence specific to Section 312 itself - only the zone review.",5 different row ranges - see the section table,varies by section
Reserve Level Infield,Upper Reserve Level (300s),"321, 323, 325-336, 338, 340",16,"The Reserve Level is located on the highest tier of the inner seating bowl at Coors field. These Infield oriented sections will have more aerial views from behind home plate and the dugouts."" (RYS Expert Review headed ""Reserve Level Infield"", carried on the Section 331 page.) The page flags this section as behind home plate: Section Insights list ""Home Plate View"", Seating Notes read ""For baseball games, desirable view from behind home plate"", and a fan review states ""We had seats in the upper deck, right behind home plate.",3 different row ranges - see the section table,varies by section
Rockpile Seats,The Rockpile (401-403),401-403,3,"""Rockpile seating is located beyond the center field wall at Coors Field. These sections sit above the outfield concourse and feature a bleacher-style layout rather than individual stadium chairs."" and ""Because the Rockpile sits in straightaway center field, it is also the furthest seating area from home plate in the stadium."" and ""Center Field Bleachers: Located beyond the center field wall, offering a straightaway view of the field."" and ""Close to Kids Attractions: Located above Dinger's Playground in the Platte River Rendezvous area.""",2 different row ranges - see the section table,varies by section
Toyota Clubhouse,"Clubs, suites and other named areas","A, B, C, D, F",5,"Located directly behind home plate in Sections A–F at field level. ""Located in Sections A–F, with every seat within about six rows of the field."" All seats are within roughly six rows of the field, making them the closest seats to home plate at Coors Field.",2 different row ranges - see the section table,UNKNOWN
Toyota Clubhous,"Clubs, suites and other named areas",E,1,"Located directly behind home plate in Sections A–F at field level. ""Located in Sections A–F, with every seat within about six rows of the field."" All seats are within roughly six rows of the field, making them the closest seats to home plate at Coors Field.",1-6,UNKNOWN
