zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Home Plate Club,DEX Imaging Home Plate Club (HPC103-HPC108),"HPC103, HPC107, HPC104, HPC108",4,"Home Plate Club seating is located in four exclusive sections directly behind home plate, positioned at field level just steps from the batter's box.",D-J,UNKNOWN
not named by the source,100 Level (101-150),"101-109, 113, 143-145, 149, 102-110, 150",15,"NOT STATED on the page - no sentence explicitly states where Section 110 is located within the ballpark. (Section 101's page separately states ""Home Plate Box seating is located on the Lower Level in the front of sections 101-110"", which is a category statement covering 110, not a 110-specific location line.)",8 different row ranges - see the section table,varies by section
Fieldside Boxes,100 Level (101-150),"111, 115-119, 112-120",9,"Located within ~12 rows of the field near the dugouts"" / ""Fieldside Box seating is located on the Lower Level near the dugouts and along the baselines"" / ""These seats are located behind the Rays dugout"" / ""For football games, these seats are located behind the visitor sideline",4 different row ranges - see the section table,varies by section
Lower Level Infield,100 Level (101-150),"121-125, 122-126",6,"""Lower Level Infield seating at Tropicana Field includes sections 101-126. Odd number sections are on the third base side, while even sections are on the first base side."" Q&A text ""Section 126, down the right field line at the Trop, features just 10 seats in each row"". Chalk Box text ""Located at the very front of Sections 122, 124, and 126 along the first base line"" and ""located along the first base line on the right field side"".",3 different row ranges - see the section table,varies by section
Lower Level Down the Line,100 Level (101-150),"127-137, 128-138",12,"""Located on the 100 level at Tropicana field and in the corners between the endzones and sidelines, the lower level corner sections offer a unique corner viewing angle for the lowest seating tier. Even numbered sections from 132-140 are closest to the right field corner, where some views many be difficult due to the right field foul pole."" 132 is EVEN, so the ""even numbered sections from 132-140 are closest to the right field corner"" sentence DOES cover this section.",6 different row ranges - see the section table,varies by section
Lower Level Outfield,100 Level (101-150),"139, 147, 140-142, 148",5,"""Located on the 100 level at Tropicana field and in the corners between the endzones and sidelines, the lower level corner sections offer a unique corner viewing angle for the lowest seating tier. Even numbered sections from 132-140 are closest to the right field corner, where some views many be difficult due to the right field foul pole."" Outfield ""The outfield at Tropicana Field is an inexpensive way to get close to the field."" 139 is ODD, so the ""even numbered sections from 132-140"" sentence is zone text about the other parity, not a statement about 139.",4 different row ranges - see the section table,varies by section
"Baseball)"" and ""Lower Level Sideline",100 Level (101-150),141,1,"""The outfield at Tropicana Field is an inexpensive way to get close to the field."" ""Sections 141-145 see a fair share of home run balls in the first ten rows"". the page gives NO sentence explicitly placing section 141 in left field or on the third-base side.","T-Z, AA-WW","""Entrances to this section are located at Rows WW and W"" (two entrances stated)"
"Football)"" and ""Lower Level Outfield",100 Level (101-150),144-146,2,"""even numbered sections from 142-150 are located in Right Field"". ""The outfield at Tropicana Field is an inexpensive way to get close to the field...Sections 141-145 see a fair share of home run balls in the first ten rows."" and ""Sections 141-145 see a fair share of home run balls in the first ten rows, while Right Field home runs tend to land evenly among most rows in even sections 142-148."" and ""Seats beyond the right field wall will also be very close to the featured Tropicana Field aquarium which houses 30 cownose rays on display.""",2 different row ranges - see the section table,varies by section
Press Level,200 Level (203-224),"203, 209, 208, 214-218, 222-224",8,"""Middle level seating is located in the 200 level of Tropicana field along the 1st base line."" ""Press Level seating at Tropicana Field is located in sections 203-224 on the 200 level, wrapping around the infield."" ""Even-numbered sections: First base side (Rays side)"" and ""Baseline Orientation: Even sections on the first base (Rays) side, odd sections on the third base side.""",A-H,H
not named by the source,200 Level (203-224),"207, 204-206",3,"""Home Plate View"". Tier location text ""Middle level corner seating is located on the second tier up from the playing surface and behind home pate."" . NO SENTENCE ON THIS PAGE NAMES A BASE SIDE FOR 206 SPECIFICALLY - the ""even numbered sections 204-210 closer to 1st base"" line that appears on 204, 205, 208 and 209 was not rendered on this page.",A-H,H
