section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,100 Level (100s),Bleacher Seats,"Bleacher seating at Chase Field is located behind the outfield walls in two main areas: Right Field: Sections 101-105 / Left Field: Sections 139-144"" and ""Sections in right-center field (Section 101) are among the best in this area, offering slightly better angles toward home plate and proximity to key attractions.",21,toward first base / right field,22-31,31,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 31.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 22-31""; ""Behind/Side Stage (most shows)"". RYS Expert Review served on this page is ""Bleacher Seats (2026 Review)"", which states ""Home Run Territory: Sections 101-105 (right field) and 139-144 (left field) behind the outfield walls"", ""Classic Bleacher Seating: Long bench-style rows with up to ~40 rows per section"", ""Sun Exposure: Right field bleachers get the most sun when the roof is open"" and ""Social Atmosphere: Close to attractions like the pool area, Strike Zone, and Picnic Pavilion"". ""101 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance."" this is the ONLY section in the batch whose entrance row is at the middle/top of a short row range (Row 31) rather than Row 40W; recorded exactly as printed.","HIGH - zone, rows, location and seat direction stated by the source"
102,100 Level (100s),Bleacher Seats,Bleacher seating at Chase Field is located behind the outfield walls in two main areas: Right Field: Sections 101-105 / Left Field: Sections 139-144,20,toward first base / right field,"14-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 14-39, 40C-40W""; ""Behind/Side Stage (most shows)"". RYS Expert Review served on this page is ""Bleacher Seats (2026 Review)"" with the same 101-105 right field / 139-144 left field text. ""102 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance.""","HIGH - zone, rows, location and seat direction stated by the source"
103,100 Level (100s),Bleacher Seats,Bleacher seating at Chase Field is located behind the outfield walls in two main areas: Right Field: Sections 101-105 / Left Field: Sections 139-144,19,toward first base / right field,"1W, 14-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 1W, 14-39, 40C-40W""; ""Behind/Side Stage (most shows)"". Row Numbers block also states ""For football games, row 14 is usually the first row"". RYS Expert Review served on this page is ""Bleacher Seats (2026 Review)"". ""103 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance."" NOTE the isolated front wheelchair row label ""1W"" sitting ahead of Row 14, while the stated entrance is at Row 40W at the back.","HIGH - zone, rows, location and seat direction stated by the source"
104,100 Level (100s),Bleacher Seats,Bleacher seating at Chase Field is located behind the outfield walls in two main areas: Right Field: Sections 101-105 / Left Field: Sections 139-144,18,toward first base / right field,"1W, 14-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","""In section 104, rows 14 to 39 all have 22 seats. Seat 1 is on the right, when looking at the field, and seat 22 is on the left."" (RYS Seating and Ticket Q&A, marked ""Verified Feb 2026"")","""Top Pick for Outstanding Convenience Rows 37-40W""; ""Rows 1W, 14-39, 40C-40W""; ""Behind/Side Stage (most shows)"". Row Numbers block also states ""For football games, row 14 is usually the first row"". ""For baseball games, we recommend rows 37-40W for outstanding convenience"". Seating and Ticket Q&A : ""How many seats are in row 38 of Section 104, and when facing the field, how are they numbered?"" - ""In section 104, rows 14 to 39 all have 22 seats. Seat 1 is on the right, when looking at the field, and seat 22 is on the left. Verified Feb 2026"". This independently corroborates the park-wide seat-1-on-the-right rule. ""104 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance.""","HIGH - zone, rows, location and seat direction stated by the source"
105,100 Level (100s),Bleacher Seats,"Bleacher seating at Chase Field is located behind the outfield walls in two main areas: Right Field: Sections 101-105 / Left Field: Sections 139-144"" and ""Fans looking to be near the action can sit: Near the visiting bullpen (Section 105)",17,toward first base / right field,"17-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 17-39, 40C-40W"". Unlike 101-104 this page carries NO ""Behind/Side Stage (most shows)"" concert flag.","HIGH - zone, rows, location and seat direction stated by the source"
106,100 Level (100s),100 Level Outfield,"seats in Row 25 of sections 106-108 overlooking the visitor bullpen"" and Fan Feedback ""The Visitor Bullpen at Chase Field is in Front of Sections 106-108",16,toward first base / right field,"22-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 22-39, 40C-40W"". RYS Expert Review served on this page is ""100 Level Outfield (Baseball)"": ""100 Outfield is the most affordable option for fans that want to be right up against the field within the inner seating bowl. These sections are also home to some of the best seats for watching the action in the bullpens, with seats in Row 25 of sections 136-138 overlooking the Diamondbacks bullpen, and seats in Row 25 of sections 106-108 overlooking the visitor bullpen."" Fan Feedback : ""The Visitor Bullpen at Chase Field is in Front of Sections 106-108 - Sit in row 25 to be in the first row behind the Visitor bullpen.""","HIGH - zone, rows, location and seat direction stated by the source"
107,100 Level (100s),100 Level Outfield,"seats in Row 25 of sections 106-108 overlooking the visitor bullpen""; also ""Team Store Kiosks (Sections 107, 111, and 133)",15,toward first base / right field,"25-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 25-39, 40C-40W"". RYS Expert Review served on this page is ""100 Level Outfield (Baseball)"", which also states ""offer many family friendly concessions such as Cold Stone Creamery (Section 137), Team Store Kiosks (Sections 107, 111, and 133) and Family Restrooms (Sections 109 and 135)."" Fan Feedback : ""The Visitor Bullpen at Chase Field is in Front of Sections 106-108 - Sit in row 25 to be in the first row behind the Visitor bullpen."" NOTE the section's first labelled row IS Row 25, so on this page the ""Row 25"" bullpen-front claim coincides with the very front row of the section.","HIGH - zone, rows, location and seat direction stated by the source"
108,100 Level (100s),100 Level Outfield,"seats in Row 25 of sections 106-108 overlooking the visitor bullpen"" and Fan Feedback ""The Visitor Bullpen at Chase Field is in Front of Sections 106-108",14,toward first base / right field,"11-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience Rows 37-40W""; ""Rows 11-39, 40C-40W"". ""For baseball games, we recommend rows 37-40W for outstanding convenience"". Fan Feedback : ""The Visitor Bullpen at Chase Field is in Front of Sections 106-108 - Sit in row 25 to be in the first row behind the Visitor bullpen."" Fan Feedback : ""Great view of the field and hovers right over the opposing team's bullpen."" CONTRADICTION ON THE SAME PAGE, RECORDED UNRECONCILED: a 5-star fan review from Sec 108 / Row 32 states ""Just okay, but cheap - These seats were right next to the D-Back's dugout. The view was only okay seeing as the foul pole blocked a bit of our view...""","HIGH - zone, rows, location and seat direction stated by the source"
109,100 Level (100s),100 Level Outfield,"Family Restrooms (Sections 109 and 135)"" within the ""100 Level Outfield (Baseball)"" zone, described as ""right up against the field within the inner seating bowl",13,toward first base / right field,"5-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Top Pick for Outstanding Convenience Rows 37-40W""; ""Rows 5-39, 40C-40W"". ""For baseball games, we recommend rows 37-40W for outstanding convenience"". RYS Expert Review served on this page is ""100 Level Outfield (Baseball)"". The page does not name Section 109 in any bullpen or foul-pole sentence; the only section-specific mention is the Family Restrooms line.","HIGH - zone, rows, location and seat direction stated by the source"
110,100 Level (100s),100 Level Outfield,"""100 Outfield is the most affordable option for fans that want to be right up against the field within the inner seating bowl.""",12,toward first base / right field,"3-39, 40C-40W",40W,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 40W.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"""Rows 3-39, 40C-40W"". The ONLY content block is the ""100 Level Outfield (Baseball)"" RYS Section 110 is not named in any of its section lists (136-138 / 106-108 bullpens, 137 / 107, 111, 133 / 109, 135 concessions).","HIGH - zone, rows, location and seat direction stated by the source"
