section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
11,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-11,11,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 11.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 12, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Premium seating area as part of the Clover Home Plate Club. Clover Gold Rows 1-6, Clover Silver Rows 7 and higher. Fan Feedback item on this page reads 'Front of sections 107-128 are behind the netting or fencing — There is some amount of netting or screening in front of sections 107-128... The netting extends from sections 111-124, and there is a protective fence that extends down the right and left field lines until sections 107 and 128.'","HIGH - zone, rows, location and seat direction stated by the source"
12,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-12,12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 13, with seat numbers counting up toward the edge facing section 11. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Premium seating area as part of the Clover Home Plate Club. Fan Feedback item on this page reads 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124, and there is a protective fence that extends down the right and left field lines until sections 107 and 128.'","HIGH - zone, rows, location and seat direction stated by the source"
13,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-12,12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 14, with seat numbers counting up toward the edge facing section 12. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Section Insights list 'Top Pick for Great Views of the Field' and 'Home Plate View'. 'For baseball games, we recommend these seats for great views of the field' and 'For baseball games, desirable view from behind home plate.' Fan Feedback item on this page : 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124, and there is a protective fence that extends down the right and left field lines until sections 107 and 128.'","HIGH - zone, rows, location and seat direction stated by the source"
14,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-12,12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 15, with seat numbers counting up toward the edge facing section 13. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Section Insights list 'Top Pick for Great Views of the Field' and 'Home Plate View'. 'For baseball games, we recommend these seats for great views of the field' and 'For baseball games, desirable view from behind home plate.' Fan Feedback item on this page : 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124, and there is a protective fence that extends down the right and left field lines until sections 107 and 128.'","HIGH - zone, rows, location and seat direction stated by the source"
15,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-12,12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 16, with seat numbers counting up toward the edge facing section 14. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Section Insights list 'Top Pick for Great Views of the Field' and 'Home Plate View'. 'For baseball games, we recommend these seats for great views of the field' and 'For baseball games, desirable view from behind home plate.' Fan review (Row 9): 'Right behind home plate, great views. Row 9 is the first row in the box section, just the wall in front of you.' Another fan review (Row 1) mentions 'access to Clover Fiserv Club.' Fan Feedback item on this page : 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124...'","HIGH - zone, rows, location and seat direction stated by the source"
16,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,"1-9, 10WC",10WC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 10WC.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 17, with seat numbers counting up toward the edge facing section 15. This section is behind home plate, so seat 1 is on its third-base side.",not published,"'Wheelchair seating is available behind Row 9' and 'An entrance to this section is located at Row 10WC' — indicates a designated wheelchair (WC) row at the back of the section. Section Insights list 'Top Pick for Great Views of the Field' and 'Home Plate View'. 'For baseball games, we recommend these seats for great views of the field' and 'For baseball games, desirable view from behind home plate.' Fan Feedback item on this page : 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124...'","HIGH - zone, rows, location and seat direction stated by the source"
17,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-12,12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 18, with seat numbers counting up toward the edge facing section 16. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Section Insights list 'Top Pick for Great Views of the Field' and 'Home Plate View'. 'For baseball games, we recommend these seats for great views of the field' and 'For baseball games, desirable view from behind home plate.' Fan Feedback item on this page : 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124...'","HIGH - zone, rows, location and seat direction stated by the source"
18,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-12,12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 19, with seat numbers counting up toward the edge facing section 17. This section is behind home plate, so seat 1 is on its third-base side.",not published,"Fan review notes a 'Row 1-WC' seat, implying a wheelchair-designated row exists at Row 1 for this section (Section Insights/Row Numbers text itself did not spell out a WC row, but the fan review location field reads 'Sec 18 / Row 1-WC'). Fan Feedback item on this page : 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124...'","HIGH - zone, rows, location and seat direction stated by the source"
19,Clover Home Plate Club (11-19),Clover Home Plate Club,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",0,behind home plate,1-11,11,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 11.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 18. This section is behind home plate, so seat 1 is on its third-base side.",not published,Fan review (Row 1): 'Best seats for fans of the visiting team. Right next to the on deck circle.' — places Section 19 at the visiting-team/on-deck-circle end of the 11-19 run. Fan Feedback item on this page : 'Front of sections 107-128 are behind the netting or fencing — ...The netting extends from sections 111-124...',"HIGH - zone, rows, location and seat direction stated by the source"
101,Field Level (100s),not named by the source,not stated by the source,16,toward first base / right field,5-15,15,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 15.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the far edge of the section, with no further section beyond it on that side. Seat 1 is the end of the row closest to home plate, and higher seat numbers run away from home plate.",not published,"'Top Pick for Visiting Team Fans', 'Rows 11 & Above - Covered', 'Rows 5-15', 'Behind/Side Stage (most shows)'. 'For baseball games, we recommend these seats for visiting team fans'; 'Rows 11 and above are under cover.' '101 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance.'","MEDIUM - rows confirmed, ticket zone not named by the source"
