section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Field Level (100s),Field Level,"Closest Standard Seating"" — ""Field Level sections are labeled in the 100s"" and form ""the main lower bowl of the stadium",13,toward third base / left field,"AA-BB, A-Z",Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 102. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Varies by row (9-21 seats depending on row letter),Field Level has no roof coverage (uncovered); rows M and above receive shade during late afternoon games. Not directly adjacent to a dugout — the Angels dugout is in front of sections 110-112.,"HIGH - zone, rows, location and seat direction stated by the source"
102,Field Level (100s),Field Level,"Closest Standard Seating"" — sections labeled in the 100s forming ""the main lower bowl of the stadium",12,toward third base / left field,"AA, A-Z",Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Row AA: 11; Rows A-B: 12; Rows C-D: 14; Row E: 15; Rows F-H: 16; Rows J-L: 18; Rows M-P: 20; Rows R-S: 22; Rows T-U: 24; Row V: 25; Rows W-Y: 26; Row Z: 28,Afternoon Shade in Select Rows; rows M and above receive shade during most late afternoon games. Field Level seats are uncovered.,"HIGH - zone, rows, location and seat direction stated by the source"
103,Field Level (100s),Field Level,Field Level sections are labeled in the 100s and sit closest to the field,11,toward third base / left field,A-Z,Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 102, with seat numbers counting up toward the edge facing section 104. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows A-B: 12 (1-12); Rows C-E: 14 (1-14); Rows F-H: 16 (1-16); Rows J-L: 18 (1-18); Rows M-P: 20 (1-20); Rows R-S: 22 (1-22); Rows T-V: 24 (1-24); Rows W-Y: 26 (1-26); Row Z: 28 (1-28),"a large foul pole blocks sightlines. ""Rows H and above are shaded during most late afternoon games."" Seats positioned along the left field area, not directly adjacent to a dugout.","HIGH - zone, rows, location and seat direction stated by the source"
104,Field Level (100s),Field Level,Field Level sections are labeled in the 100s and sit closest to the field.,10,toward third base / left field,A-Z,Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",Rows A-E: 9 (1-9); Rows F-L: 10 (1-10); Rows M-S: 11 (1-11); Rows T-Y: 12 (1-12); Row Z: 13 (1-13),"""Rows Z and above are shaded during most day games""; ""Afternoon Shade in Select Rows."" Not directly adjacent to a dugout — ""The Angels dugout sits in front of Sections 110-112.""","HIGH - zone, rows, location and seat direction stated by the source"
105,Field Level (100s),Field Level,Field Level sections are labeled in the 100s and sit closest to the field,9,toward third base / left field,A-Z,Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 104, with seat numbers counting up toward the edge facing section 106. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","18 seats, labeled 1-18","rows Z and above receive shade during most day games; ""Afternoon Shade in Select Rows."" Fan review notes front-row (Row A) seats require ""leaning forward and craning your neck."" Not directly adjacent to a dugout — Angels dugout is in front of Sections 110-112.","HIGH - zone, rows, location and seat direction stated by the source"
106,Field Level (100s),Field Level,Field Level sections are labeled in the 100s and sit closest to the field,8,toward third base / left field,A-Z,Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","18 seats, labeled 1-18",One fan review noted neck strain from people sitting in front blocking the view in Row E. rows Z and above receive shade during most day games; rows nearer home plate move into shade sooner than baseline seats. Not directly adjacent to a dugout — Angels dugout is in front of Sections 110-112.,"HIGH - zone, rows, location and seat direction stated by the source"
107,Field Level (100s),Field Level,Field Level sections are labeled in the 100s and sit closest to the field,7,toward third base / left field,A-Z,Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 106, with seat numbers counting up toward the edge facing section 108. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","18 seats, labeled 1-18","""Afternoon Shade in Select Rows""; rows Z and above are shaded during most day games. Not directly adjacent to a dugout — Angels dugout sits in front of Sections 110-112.","HIGH - zone, rows, location and seat direction stated by the source"
108,Field Level (100s),Field Level,Field Level sections are labeled in the 100s and sit closest to the field,6,toward third base / left field,A-Z,Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","18 seats, labeled 1-18","""Rows Z and above are shaded during most day games""; ""Afternoon Shade in Select Rows."" Not directly adjacent to a dugout — Angels dugout is in front of Sections 110-112.","HIGH - zone, rows, location and seat direction stated by the source"
109,Field Level (100s),Diamond Field Box,"Located in Row AA at the front of Sections 109 and 127"" and ""directly beside the Angels and visiting team dugouts",5,toward third base / left field,"AA, A-Z",Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 108, with seat numbers counting up toward the edge facing section 110. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","Rows A-Z: 18 seats, labeled 1-18. Row AA: UNKNOWN","Row AA sits directly beside the Angels dugout; Section 109 is closest to the Angels dugout. ""Afternoon Shade in Select Rows""; rows Z and above are shaded during most day games; Field Level seats are uncovered. Row AA features padded chairs with extra legroom and a drink rail, plus Diamond Club Lounge access.","HIGH - zone, rows, location and seat direction stated by the source"
110,Field Level (100s),Field Level,These seats are located behind the Angels dugout,4,toward third base / left field,C-Z,Z,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row Z.","Facing the field, seat 1 is on your left. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.","18 seats, labeled 1-18","""There is some amount of netting or screening in front of sections 110-126."" ""Rows Z and above are shaded during most day games."" ""The Angels dugout sits in front of Sections 110-112.""","HIGH - zone, rows, location and seat direction stated by the source"
