zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Clover Home Plate Club,Clover Home Plate Club (11-19),11-19,9,"""The Clover Home Plate Club is located in Sections 11–19 directly behind home plate at Citi Field, positioned just behind the field-level Delta Sky360 Club seats."" (from RYS Expert Review on this page)",3 different row ranges - see the section table,varies by section
not named by the source,Field Level (100s),"101-103, 109-110, 125-126, 132-139",15,"'Right field, the section just inside in fair territory behind the home run wall.' (fan-review-sourced, not an official RateYourSeats description sentence)",12 different row ranges - see the section table,varies by section
Baseline Club,Field Level (100s),"104-108, 127-131",10,"""Baseline Box seats are located in Sections 104–106 and 129–132, positioned farther down the lines toward the outfield corners."" 'Fans seated in Sections 104 and 132 will have an excellent view of balls hit down the line and into the corner, making it easy to track whether a ball lands fair or foul.'",8 different row ranges - see the section table,varies by section
Metropolitan Club,Field Level (100s),"111-114, 121-124",8,"Third base side, behind visiting team dugout. 'Sections 121–124 are positioned on the third base side directly behind the visiting team dugout.'",1-32,32
Hyundai Club,Field Level (100s),115-120,6,"Third base side, closest to home plate. 'Third Base Side: Sections 118, 119, and 120 extend down the third base line, with Section 118 located closest to home plate. These seats are positioned on the visitor dugout side of the field.' 'Home Plate Views: Sections 117 and 118 sit closest to home plate.'",2 different row ranges - see the section table,1
Big Apple Reserved,Field Level (100s),140-142,3,"Center field just to the right of the Home Run Apple, beyond the outfield wall (per Big Apple Reserved review text attached to this page): 'The Big Apple Reserved seating area is located in center field just to the right of the famous Home Run Apple at Citi Field.'",2 different row ranges - see the section table,varies by section
Citi Pavilion,Field Level (100s),143,1,"Right-center field, just beyond the outfield wall near Shea Bridge, directly behind the Mets bullpens (per Citi Pavilion review text on this page): 'The Citi Pavilion at Shea Bridge is located in right-center field just beyond the outfield wall, positioned near the iconic Shea Bridge walkway and directly behind the bullpens.'",1-3,3
Coca-Cola Corner,Excelsior Level (300s),301-305,5,"Right field, upper deck beyond the right-field wall (per Coca-Cola Corner review text on this page): 'The Coca-Cola Corner is located in Sections 301–305 in right field at Citi Field, positioned beyond the outfield wall on the upper deck.'",2 different row ranges - see the section table,varies by section
Excelsior Gold,Excelsior Level (300s),"306-308, 313-325",16,"""Located in Row 1 of Sections 313–325 on the second seating tier."" ""This level represents the second seating tier of the stadium, positioned above the lower-level sections.""",4 different row ranges - see the section table,varies by section
Excelsior Box,Excelsior Level (300s),"309-312, 326-329",8,"""Second Level Seating: Located on the Excelsior Level along the infield."" ""Third Base Side: Sections 326–329."" (from the Excelsior Box RYS Expert Review shown on this section's page)",2 different row ranges - see the section table,varies by section
not named by the source,Excelsior Level (300s),330-333,4,not stated by the source,2 different row ranges - see the section table,varies by section
The Porch,Excelsior Level (300s),334-339,6,"The Porch is made up of Sections 334–339 in left field at Citi Field. This area has been known by several names over the years, including Thomas Tew, Budweiser Landing, and Left Field Landing."" ""These sections are located above and slightly behind the Outfield Reserved seating, giving fans a higher vantage point over the left-field corner.",2 different row ranges - see the section table,varies by section
Promenade Baseline,Promenade Level (400s),"401-410, 419-428",20,"Per the Promenade Level review shown on this page: ""Promenade Baseline: Sections 401–410 and 419–428."" ""The 400 level sections are the lower tier of the Promenade Level and include Promenade Baseline and Promenade Box seating... Because these sections sit lower than the 500 level, they provide closer views of the field while still maintaining an elevated perspective of the game.""",4 different row ranges - see the section table,varies by section
Promenade Silver,Promenade Level (400s),"411-412, 418",3,"Promenade Level, 400 level, behind home plate per Promenade Level review: 'Promenade Silver: Sections 411-418 (behind home plate)'.",2 different row ranges - see the section table,varies by section
Promenade Silver / Promenade Gold,Promenade Level (400s),413-417,5,"Promenade Level, 400 level, behind home plate.",2 different row ranges - see the section table,varies by section
Promenade Box,Promenade Level (400s),429-437,9,"Promenade Level, 400 level, left-field corner.",3 different row ranges - see the section table,varies by section
Promenade Outfield,Promenade Level (500s),"501-505, 532-538",12,"RYS Expert Review ""Upper Promenade Outfield"" ""Outfield views do not get any further than in the Upper Promenade Outfield sections. Exclusive to the left field side and located on the highest tier of seating beyond the outfield wall, these seats will not only have a difficult time following the action, but also have a tough angle to the center field videoboard.""",1-17,1
Promenade Reserved,Promenade Level (500s),"506-509, 519-531",17,"RYS Seating and Ticket Q&A ""Rows 5 and 6 in section 519 are on the third base side of the field, about in line with the home plate side edge of the visitors' dugout."" ""The third base side of the field is much better for shade coverage but rows 5 and 6 will most likely not see full shade until mid afternoon due to their location near the front of this section.""",1-17,1
Promenade Infield,Promenade Level (500s),510-518,9,"Section Insights list ""Home Plate View""; ""For baseball games, desirable view from behind home plate""",1-17,varies by section
Home Plate Club,"Clubs, suites and other named areas","A, AA, C, D, E, F, G, H, HH",9,"Located in the first 8 rows directly behind home plate."" The club spans ""Sections A–H as well as sections AA and HH."" ""Sections C & E are centered directly behind the plate.",3 different row ranges - see the section table,UNKNOWN
Home Plate Clu,"Clubs, suites and other named areas",B,1,"Located in the first 8 rows directly behind home plate."" The club spans ""Sections A–H as well as sections AA and HH.",1-6,UNKNOWN
