section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Field Level (100s),Outfield Bleachers,Right field bleachers; bleacher sections run from right field (101-111) to left field (189-197),24,toward first base / right field,1-13,13,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 13.","Facing the field, seat 1 is on your right. That puts seat 1 on the far edge of the section, with no further section beyond it on that side, with seat numbers counting up toward the edge facing section 103. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Bleacher seats with back support but no armrests. One of the least shaded areas in Busch Stadium. Positioned above/near the Cardinals bullpen (beneath Sections 107-109). Prime seating for catching home run balls. For concerts, 101 is behind the stage or to the side of the stage for most concerts, which may restrict or limit your view.","HIGH - zone, rows, location and seat direction stated by the source"
103,Field Level (100s),Outfield Bleachers,Right field; part of bleacher sections 101-111 in right field,23,toward first base / right field,"1-12, WC",WC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row WC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 101, with seat numbers counting up toward the edge facing section 105. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Bench-style seating with back support but no armrests. One of the least shaded areas in Busch Stadium, with very little shade. beneath Sections 107-109. Prime seating for catching home run balls. 'Section 103 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view.' Row WC indicates a wheelchair-accessible row.","HIGH - zone, rows, location and seat direction stated by the source"
105,Field Level (100s),Outfield Bleachers,"Right field bleacher section, positioned in the right outfield area",22,toward first base / right field,"1-12, WC",WC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row WC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 103, with seat numbers counting up toward the edge facing section 107. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Bench-style seating, meaning there are no individual seat dividers or armrests, but each spot includes a backrest. 'These sections receive very little shade throughout the day, making them one of the hottest seating areas during summer games.' Sit in rows 1-8 to be directly next to the Cardinals bullpen. Prime seating for catching home run balls - best chances near the corners. '105 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view.' Row WC indicates a wheelchair-accessible row. Obstructed views not otherwise stated.","HIGH - zone, rows, location and seat direction stated by the source"
107,Field Level (100s),Outfield Bleachers,Right field bleachers section,21,toward first base / right field,"11-13, 20-33",13,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 13.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 105, with seat numbers counting up toward the edge facing section 109. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"Bench-style seating with back support but no armrests. One of the least shaded areas in Busch Stadium. Cardinals bullpen in right field (107-109), with this section positioned directly above it. 'There is a walkway betweeen Rows 13 and 20.' Prime seating for catching home run balls - best chances near the corners. '107 is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance.'","HIGH - zone, rows, location and seat direction stated by the source"
109,Field Level (100s),Bleacher Seats / Outfield Bleachers,"Right field outfield bleachers, positioned directly above the Cardinals bullpen",20,toward first base / right field,"11-13, 20-33",13,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 13.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 107, with seat numbers counting up toward the edge facing section 111. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Bleacher seats with back support but no armrests. One of the least shaded areas in Busch Stadium. 'There is a walkway betweeen Rows 13 and 20.' Cardinals bullpen is directly in front of this section. Straight-on look at the field from the outfield. behind the stage or to the side of the stage for most concerts.,"HIGH - zone, rows, location and seat direction stated by the source"
111,Field Level (100s),Outfield Bleachers,Right field area; part of bleacher sections running from right field (101-111) to left field (189-197),19,toward first base / right field,"WC, 20-33",UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 109, with seat numbers counting up toward the edge facing section 127. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,Bench-style seating with back support but no armrests. One of the least shaded areas in Busch Stadium. Located above the Cardinals bullpen (beneath Sections 107-109). Prime seating for catching home run balls - best chances near the corners. '111 is behind the stage or to the side of the stage for most concerts' and 'may restrict or limit your view of the performance.' Row WC indicates a wheelchair-accessible row. Entrance row not stated on the page.,"HIGH - zone, rows, location and seat direction stated by the source"
127,Field Level (100s),Field Level Outfield,"Located on the first base side, with higher numbered sections being closer to the Cardinals dugout",18,toward first base / right field,1-11,11,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 11.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 111, with seat numbers counting up toward the edge facing section 128. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Sections 127-129 are the only sections located in fair territory on the right field side' and 'provide a good opportunity to catch a home run ball.' 'The Cardinals Bullpen is to the Right of Section 127'; rows 4-12 sit directly next to the Cardinals bullpen. 'We recommend rows 1-5 for getting a ball.' 'Section 127 May Have a Limited View' as it is behind the stage or to the side of the stage for most concerts. Obstructed views, sun/shade, netting, wheelchair rows and seat type not stated.","HIGH - zone, rows, location and seat direction stated by the source"
128,Field Level (100s),Field Level Outfield,"Located on the lowest tier of Busch stadium, between the corner bases and wrapping to the corners of the outfield walls, on the first base side",17,toward first base / right field,"1-12, 20-29",12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 127, with seat numbers counting up toward the edge facing section 129. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'Sections 127-129 are the only sections located in fair territory on the right field side' and provide a good opportunity to catch a home run ball. 'Rows 21 & Above - Covered.' 'There is a walkway betweeen Rows 12 and 20.' For concerts, 'Section 128 May Have a Limited View' as it is behind the stage or to the side of the stage for most concerts. Netting, dugout adjacency, wheelchair rows and bench vs individual seats not stated.","HIGH - zone, rows, location and seat direction stated by the source"
129,Field Level (100s),Field Level Outfield,Located on the first base side; 'Sections 127-129 are the only sections located in fair territory on the right field side',16,toward first base / right field,"1-12, 20-29",12,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row 12.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 128, with seat numbers counting up toward the edge facing section 130. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,"'There is a walkway betweeen Rows 12 and 20.' 'Rows 21 & Above - Covered.' 'Rows 9-12 for outstanding convenience.' Section provides a good opportunity to catch a home run ball. Obstructed views, netting, wheelchair access and bench vs individual seating not stated.","HIGH - zone, rows, location and seat direction stated by the source"
130,Field Level (100s),Field Level Outfield,"Located on the first base side, with higher numbered sections being closer to the Cardinals dugout",15,toward first base / right field,"4-18, 20-29",WC,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal is at row WC.","Facing the field, seat 1 is on your right. That puts seat 1 on the edge facing section 129, with seat numbers counting up toward the edge facing section 131. Seat 1 is the end of the row farthest from home plate, and higher seat numbers run back toward home plate.",not published,'There is a walkway betweeen Rows WC and 20.' 'Rows 21 and above are under cover.' rows 9-12 for outstanding convenience. Lower sections extend to the field. A wheelchair row (WC) is referenced as the entrance row. Obstructed views and bench vs individual seats not stated.,"HIGH - zone, rows, location and seat direction stated by the source"
