zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Bleacher Seats,100 Level (100s),"101-105, 139-144",11,"LEFT FIELD BLEACHERS, behind the outfield wall ( Bleacher Seats 2026 Review served on this page): ""Home Run Territory: Sections 101-105 (right field) and 139-144 (left field) behind the outfield walls""; ""Bleacher seating at Chase Field is located behind the outfield walls in two main areas: Right Field: Sections 101-105 / Left Field: Sections 139-144""; ""Fans looking to be near the action can sit: Near the visiting bullpen (Section 105) / Near the Diamondbacks bullpen (Section 139)"".",6 different row ranges - see the section table,varies by section
100 Level Outfield,100 Level (100s),"106-112, 132-138",14,"LEFT FIELD CORNER ( football corner review served on this page): ""In the left field corner, Sections 136-138 offer an interesting option as you can find some more affordable lower level seats. However the foul pole can cause some viewing obstructions in many of the areas, so we recommend staying in the lower numbered seats of Section 136 or the higher numbered seats of Section 138 where the sight lines are more clear.""",6 different row ranges - see the section table,40W
100 Level Infield,100 Level (100s),113-131,19,"Section Insights list ""Home Plate View""; Seating Notes state ""For baseball games, desirable view from behind home plate"". ""100 Level Infield seating provides fans with close views of the field from 1st base to 3rd base inside the inner seating bowl. Located just behind the Field Level sections, none of the 100 Level Infield sections extend to the field, but will keep you close to the action regardless.""",3 different row ranges - see the section table,40W
Club Level,Club Level (200s),"200-209, 211-220",20,"""Upgraded 200 Level Seating: Sections 200-220 wrap around the infield at an ideal mid-level height for balanced, full-field views"" and ""The Club Level (also known as the Diamond Level) includes sections 200-220, wrapping around the infield at an ideal height for viewing the game."" The only positional flag on the page is the Section Insight ""Midfield View"", which is a FOOTBALL-configuration descriptor (""For football games, desirable view from near midfield"") and is NOT a baseball placement.",2 different row ranges - see the section table,varies by section
All You Can Eat Seats,Club Level (200s),221-223,3,"These seats are located in sections 221-223 on the 200 level, positioned down the left field line in the corner."" and ""Corner Outfield Location: Positioned in the left field corner with limited views of home plate",1-13,13
300 Level Outfield,Upper Deck (300s),"300-306, 326-332",14,"""Sections 324-326 keep you close to the 50 yard line, offering good viewing height and optimal sight lines for seeing both ends of the field."" (RYS '300 Level Sideline (Football)' block - FOOTBALL configuration). For baseball the only placement statement is zone-level ""300 Level Outfield seating is the furthest of any seating area at Chase Field."" - no baseball sentence names Section 326 individually.",4 different row ranges - see the section table,varies by section
300 Level Infield,Upper Deck (300s),307-325,19,"""Sections 324-326 keep you close to the 50 yard line, offering good viewing height and optimal sight lines for seeing both ends of the field."" (RYS '300 Level Sideline (Football)' block - this is a FOOTBALL-configuration statement; no BASEBALL-configuration sentence on this page names Section 324 or a range containing it, so the baseball placement is UNKNOWN from this source.)",5 different row ranges - see the section table,varies by section
1st/3rd Base Boxes,"Clubs, suites and other named areas","A, B, R",3,"""Sections A and B (first base side)"" are ""located just beyond the dugouts along the infield""; the positioning places fans ""just past the dugouts"".",2 different row ranges - see the section table,G
not named by the source,"Clubs, suites and other named areas","AW, BW, RFW, 100W, 145W, 214L, 215L, 224W",8,"""100W is behind the stage or to the side of the stage for most concerts. This may restrict or limit your view of the performance."" The page places 100W only relative to a concert stage (""Behind/Side Stage (most shows)""); it states no baseball-configuration location at Chase Field.",3 different row ranges - see the section table,varies by section
Dugout Box,"Clubs, suites and other named areas","C, D, E, F, N, O, P, Q",8,"Sections N-Q (third base side), directly behind the team dugouts on the lower level"" ""These seats are located behind the Diamondbacks dugout",6-18,18
Clubhouse Box / Home Plate Box,"Clubs, suites and other named areas","G, H, I, J, K, L, M",7,"Sections G-M directly between the dugouts at field level"" ""directly behind home plate between the dugouts",6 different row ranges - see the section table,M
1st/3rd Base Boxe,"Clubs, suites and other named areas",S,1,Sections R and S (3rd base side) just beyond the dugouts along the infield,"AA, A-G",G
Club Level,"Clubs, suites and other named areas","210A, 210B, 210C, 210D, 210E, 210F, 210G, 210H, 210I",9,"Sections 200-220 wrap around the infield at an ideal mid-level height."" ""The most desirable seats on this level are the 210-level sections labeled 210A-210I, which sit directly behind home plate and provide the best combination of view and location.",2 different row ranges - see the section table,varies by section
300 Level Outfield,"Clubs, suites and other named areas","300W, 332W",2,"300 Level Outfield seating is the furthest of any seating area at Chase Field."" ""The Chase Field Sandlot is located on this upper tier closest to section 332W.",4C-4W,4W
