section,level,zone,location_in_stadium,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
101,Lower Bowl (100 level),not named by the source,"""outfield"" (aviewfrommyseat.com location tag)",8,toward first base / right field,1 to 18,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,Rated 3-star seat view. Fan photos exist for rows 9 and 10.,"MEDIUM - rows confirmed, no seat numbering published for this section"
102,Lower Bowl (100 level),not named by the source,along the 1st base line,7,toward first base / right field,AA to 24,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""can be in the shade during a day game""; ""is a folding chair""; ""is near the visitor's dugout""; ""is on the aisle""; ""is under an overhang"". Row BB Seat 5 - ""Great seat! You are at the edge of the netting so you can talk to the players while they warm up. On the aisle.""; Row BB Seat 18 - ""No shade during day games. Right next to ballboy and gate so chance to get a ball. Netting is really high so less chance of catching foul ball""; Row 23 Seat 13 - ""There is an awning overhead. Good spot for shade during day games. Not too good for catching foul balls. Close to bathroom/food""; Row CC Seat 13 - ""First base coach can block view of home plate"". Visitor's dugout side (1st base). aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
103,Lower Bowl (100 level),not named by the source,along the 1st base line,6,toward first base / right field,AA to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""has an obstructed view of the scoreboard""; ""is a folding chair""; ""is near the visitor's dugout""; ""is on the aisle""; ""is under an overhang"". Rows carry an accessibility icon tagged ""is accessible"" and the last row is labelled WC. Row 20 Seat 1 - ""Very clear view, can see everything. Though there is no shades so can be hot in the sun during summer.""; Row BB Seat 8 - ""Obstructed views. 1st base A's coach blocked line of sight to batter & 1st base ump often blocked view of pitcher. Luckily, Red Sox coach stood where he didn't block the batter view.""; Row 5 Seat 7 - ""Photo doesn't do too much justice. It was a lot better in person."" aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
104,Lower Bowl (100 level),not named by the source,along the 1st base line,5,toward first base / right field,AA to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""can be in the shade during a day game""; ""is near the visitor's dugout""; ""is on the aisle""; ""is under an overhang"". Row 24 Seat 1 - ""Super duper hot, plus the people in fromt of me restricted my view.""; Row 29 Seat 16 - ""Last Row in Section; Under overhang from above Club Level""; Row 6 Seat 15 - ""Zoomed in but great seats just passed 1st base line"". Last row WC indicates wheelchair/accessible row at the top. aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
105,Lower Bowl (100 level),not named by the source,"along the 1st base line"" and ""behind away team dugout",4,toward first base / right field,4 to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""is on the aisle"". Rows carry an accessibility icon; last row labelled WC (wheelchair/accessible). Behind the AWAY team dugout (1st base side). aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
106,Lower Bowl (100 level),not named by the source,"along the 1st base line"" and ""behind away team dugout",3,toward first base / right field,4 to 30,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""is a folding chair""; ""is near the visitor's dugout""; ""is on the aisle"". Behind the AWAY team dugout (1st base side). aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
107,Lower Bowl (100 level),not named by the source,"along the 1st base line"" and ""behind away team dugout",2,toward first base / right field,4 to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""has extra leg room""; ""is near the visitor's dugout"". Row 4 Seat 4 - ""Legacy Club included""; Row 5 Seat 12 - ""Right behind away team dugout. Great view. Can hear players, managers etc.""; Row 14 Seat 14 - ""10th row of section. Good views of everything."" (note: this review implies row 14 is the 10th physical row, consistent with the section starting at row 4). Last row WC = wheelchair/accessible. aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
108,Lower Bowl (100 level),not named by the source,along the 1st base line,1,toward first base / right field,1 to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""is a bleacher seat""; ""is a folding chair""; ""is near the visitor's dugout""; ""is on the aisle"". Last row WC = wheelchair/accessible. Review Row 1 Seat 6 - ""6/18/24 RR beat SAC 5-0. A group of regulars sit in front of here and yell at the players. Willie mays passed away that afternoon and really overshadowed the game."" aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
109,Lower Bowl (100 level),not named by the source,behind home plate,0,behind home plate,1 to 30,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""is near the visitor's dugout""; ""is on the aisle"". Row 12 Seat 8 - ""Great view and angle right down the third base line""; Row 4 Seat 9 - ""4th row from a railing then two more rows exist beyond that in an excl..."" (review text truncated on the page). aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
110,Lower Bowl (100 level),not named by the source,behind home plate,0,behind home plate,1 to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""can be in the shade during a day game""; ""has a foul pole in view""; ""has extra leg room""; ""has wait service""; ""is a folding chair""; ""is near the visitor's dugout""; ""is on the aisle"". Row 1 Seat 1 - ""Batters warm up circle directly in front of seats. You can literally talk to the players. Unobstructed view no one in front of you.""; Row 1 Seat 1 - ""Completely unobstructed view""; Row 10 Seat 1 - ""This is such a great view for a game. Right field foul line near the warning track is out of view though. I was extremely happy with this seat.""; Row 22 Seat 11 - ""Fantastic view and was the second to last row in the shade during a 1pm game in April. Was hot outside, but very comfortable here in the shade!""","MEDIUM - rows confirmed, no seat numbering published for this section"
111,Lower Bowl (100 level),not named by the source,behind home plate,0,behind home plate,1 to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""has wait service""; ""is on the aisle"". Rows carry an accessibility icon tagged ""is accessible""; last row labelled WC. Row 5 Seats 5 and 6 - ""Behind home plate with great views of the field and the away team dugout. No longue access though. 45pm for a late May game.""; Row 5 Seat 7 - ""Excellent seats!""; Row 25 Seat 17 - ""On the aisle"". aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
112,Lower Bowl (100 level),not named by the source,behind home plate,0,behind home plate,1 to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""can be in the shade during a day game""; ""club seat""; ""has wait service""; ""is near the home team dugout""; ""is near the visitor's dugout""; ""is on the aisle"". Row 1 Seats 3 & 4 - ""Great seats. Included free food drinks at legacy club upstairs. In the sun for a day game the whole time. Even though it's Row 1, there are 2 more rows lower in front for diamond club. Seats go 4, 3, 2, 1 from center to aisle. Definitely on TV."" (this is the only seat-numbering-direction statement found for any section at this park); Row 15 Seat 1 - ""On the aisle, great view, no obstructions!""; Row 18 Seat 7 - ""Diamond Club Seats""; Row 25 Seat 7 - ""Fireworks Saturdays"" / ""Diamond Club Seats""; Row 8 Seat 13 - ""Sick views, chill day, still very much minor league and almost disturbingly quiet atmosphere.""","MEDIUM - rows confirmed, no seat numbering published for this section"
113,Lower Bowl (100 level),not named by the source,behind home plate,0,behind home plate,1 to WC (WC is the wheelchair-accessible row),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. The entry portal row is not published for this section.","No source publishes which side seat 1 is on at this ballpark, so this guide does not state one. Seat 1 is against one side aisle of the section and the numbers count up to the other; check the seat numbers on your own ticket.",not published,"""is on the aisle"" (only tag listed). Last row WC = wheelchair/accessible. aviewfrommyseat.com.","MEDIUM - rows confirmed, no seat numbering published for this section"
