zone,level,sections,section_count,where_it_is,typical_rows,entry_row
Field Level,Field Level (100s),"101-108, 110-112, 123-135",24,"Field Level seating at Angel Stadium includes all sections labeled in the 100s. These seats form the main lower bowl of the stadium, placing fans close to the playing surface and within easy viewing distance of the infield and dugouts.",7 different row ranges - see the section table,Z
Diamond Field Box,Field Level (100s),109,1,"Located in Row AA at the front of Sections 109 and 127"" and ""directly beside the Angels and visiting team dugouts","AA, A-Z",Z
not named by the source,Field Level (100s),113,1,Field Level,C-Z,Z
Lexus Diamond Club,Field Level (100s),114-122,9,"Located in Sections 114-122 directly behind home plate"" and ""located directly behind home plate on the lower level",4 different row ranges - see the section table,varies by section
Terrace Level,Terrace Level (200s),"201-213, 221, 224-230",21,"Located directly behind Field Level (100-level) seating""; part of ""Sections 201 through 230, located directly above the Field Level (100-level) seating.",3 different row ranges - see the section table,varies by section
not named by the source,Terrace Level (200s),"222-223, 231-233, 237, 242, 246",8,"Identified as part of outfield seating, ""Located in left field and right field""; exact field side for Section 242 not explicitly stated",4 different row ranges - see the section table,varies by section
Outfield Seats,Terrace Level (200s),"236, 240-241, 243-245, 247-249, 260",10,"Located in left field and right field, often among the most affordable tickets""; ""These seats sit closer to the field and provide some of the best opportunities for catching home run balls",3 different row ranges - see the section table,varies by section
Outfield,Terrace Level (200s),238-239,2,"Located in left field and right field, often among the most affordable tickets""; part of the ""Lower Right Field Sections (236-240)"" which ""sit closer to the field and provide some of the best opportunities for catching home run balls","A-Z, VV-YY",Z
Outfield seating,Terrace Level (200s),"257, 259",2,"Located in left field and right field, often among the most affordable tickets""; part of the ""Left Field Pavilion includes Sections 257-260, located behind the outfield bullpens.",2 different row ranges - see the section table,WC
Top Pick for Partying and Socializing,Terrace Level (200s),258,1,"Part of the ""Left Field Pavilion""; ""The bullpens are in front of sections 258-259.""","G-Z, WC",WC
Club Level,Club Level (300s),"301-322, 330-351",44,"Club Level sections are located on the 300 level at Angel Stadium""; sections ""wrap around the stadium, running from Section 301 down the third base side across home plate and around to Section 351 on the first base side",3 different row ranges - see the section table,varies by section
View Level,View Level (400s),401-436,36,The View Level is the highest seating tier at Angel Stadium and includes all sections labeled in the 400s and 500s. These sections wrap around the stadium from foul pole to foul pole.,2 different row ranges - see the section table,J
View Level,Upper View Level (500s),501-540,40,"""The highest seating tier at Angel Stadium and includes all sections labeled in the 400s and 500s. These sections wrap around the stadium from foul pole to foul pole."" (Upper View / 500 Level)",A-R,A
Clubs and suites,"Clubs, suites and other named areas","Don Julio Club, Dugout Suites",2,"The Don Julio Club is located on the Terrace Level (200 Level) directly behind home plate, in Sections 216 through 218."" ""These sections sit at an ideal height above the field, providing a balanced perspective of the entire diamond while still keeping fans relatively close to the action.",UNKNOWN,UNKNOWN
Clubs and,"Clubs, suites and other named areas",Suites,1,"Most Luxury Suites at Angel Stadium are located between the 300 and 400 levels, creating an elevated viewing perspective above the main seating bowl."" ""Suites extend from the left field foul pole across home plate to the right field foul pole, providing a wide range of viewing angles depending on the suite location.",UNKNOWN,UNKNOWN
